Stock 1,Stock 2,Average Ratio,Total Capital Used,Standard Dev,Average Hold,Trade Count,Largest Winner,Max Open Loss,R Squared,Total Return
tjx,sbux,1.3084005858081045,17248.872257011826,3.815820655551233,8.813186813186814,13,0.046097106298617,-0.03094927954093,0.8834866373911064,0.3223777759305689
amzn,tsla,2.031558104099704,70566.35961545093,28.14383697676304,17.653061224489797,7,0.0692721259105969,-0.0676653283450554,0.8530017993565359,0.3430331929149322
vz,chtr,9.528699481191936,105893.9494857544,27.54763417409647,11.818181818181818,11,0.0806239861447366,-0.0293261842742585,0.8443002857719109,0.4140328706637557
cmcsa,chtr,10.854841081006862,109014.4380701264,30.04307535262563,24.142857142857142,5,0.050588450677674,-0.0251682531496346,0.8295776867698216,0.1700830399358206
goog,amzn,1.0576122525667118,32051.14371779477,10.08127798830843,27.42857142857143,6,0.0542447094127373,-0.018361917170921,0.8009397340307507,0.2358279194553771
avgo,asml,1.0199598303299553,134697.5750885494,36.728316042938566,24.357142857142858,6,0.0469224924176197,-0.0254425346193602,0.7947182950078423,0.2359182760727228
pfe,jnj,3.5812176210149302,36981.17121176264,7.694095724781003,21.119047619047617,6,0.0370445900651927,-0.0212712812141411,0.794567361455036,0.1625494894321999
nvda,avgo,3.1480625469798653,152794.58463224332,78.11104379984891,30.47619047619048,3,0.1835461261648026,-0.0923718646676908,0.7897284396152596,0.2976073545608925
amd,msft,3.2124249545502965,70106.88120843773,28.684786859923005,29.371428571428574,5,0.1269608695301356,-0.0701463141907715,0.7889211937527375,0.3222260583470741
amd,adbe,4.524496695647924,100401.70766783218,30.846467936660865,13.88888888888889,9,0.0947368539174953,-0.0580793647981144,0.784173349010414,0.4011086372616183
ko,pg,2.334998988808829,30040.178862008663,4.287296306337963,14.428571428571429,9,0.0336986863460051,-0.0136596949516197,0.7702395600826772,0.1575035387515573
ge,ba,2.596437491187671,38487.64210159062,15.098886906184298,30.678571428571427,4,0.0508027808613981,-0.0675365246566801,0.7691275306739551,0.1726812968377271
msft,adbe,1.4156660713391032,89394.98003342203,25.48379727124591,20.714285714285715,6,0.0349063062367263,-0.037452601568758,0.7615874917094176,0.1913125021152967
googl,chtr,3.906959651910986,112927.81216401064,34.3052348019034,12.839285714285714,8,0.0384763456560006,-0.0421374978916879,0.7532504823774143,0.278208946433059
goog,msft,2.4485798685828915,66093.21689525523,17.408096921743756,34.464285714285715,4,0.0639979054991262,-0.0273966649976114,0.7277479484868602,0.1526192757476473
qcom,adbe,2.83436449627758,90303.32902151068,24.585447417899687,17.174603174603178,9,0.0455469117597727,-0.0392586833260199,0.7237614362580526,0.3026297479515955
klac,asml,1.5595364337787143,129234.97500060665,41.76862800687297,31.642857142857142,4,0.0853805338612181,-0.0178496013359343,0.7061313874216796,0.1938384269532237
txn,asml,3.2649528450986134,131475.84404241818,53.40010857736659,30.80952380952381,3,0.0822468349888616,-0.0442110204204104,0.7060954219399478,0.1771952420185128
lrcx,avgo,1.1913100666965546,130117.0719179024,31.45341699061975,14.968253968253968,9,0.0351116240656061,-0.0387303666361681,0.7031980484493173,0.2566866629561126
goog,tsla,2.158774892873568,67069.60863124502,41.033286026911696,44.61904761904762,3,0.0789795337182045,-0.0746312289091562,0.7028610245073844,0.2090638333702757
cat,de,1.8048782737311249,80742.37057948559,25.901279689901333,33.31428571428572,5,0.0442343320749253,-0.0426447755930773,0.7016510513515246,0.1790598990363643
tsm,lrcx,5.438835002281334,114717.32592349264,30.068311038891068,14.339285714285714,8,0.0454219706469853,-0.0515043910148231,0.7012846861086104,0.2701194199868768
crm,msft,1.5681973424751343,65259.25493039065,17.11755231175468,12.821428571428571,8,0.0478167903341687,-0.0307624375673377,0.7010804703846754,0.2865185061666671
cmcsa,vz,1.141629323906498,10562.209252899089,3.0828399218166416,13.36734693877551,7,0.0334588703373833,-0.0429892684552729,0.700803858800011,0.1887674337013775
amd,tsm,1.0448340454636809,23474.867691283536,8.209303862244901,29.51428571428572,5,0.0799116570645029,-0.0529488936192339,0.7006497177667154,0.2176892242699254
adi,asml,3.413207171422369,127614.84212860506,45.13618241769792,45.0,3,0.1018436374342536,-0.0441515162124473,0.6975731381180065,0.1875885681794774
csco,avgo,11.632816305667893,127686.08918471924,29.6141540668574,17.514285714285712,5,0.0447763547177538,-0.0265177588535242,0.6969055404821481,0.1544571729879068
ma,avgo,1.5872174422773375,121133.48675940902,30.491713720037986,21.942857142857143,5,0.0584273790132581,-0.0482469077174749,0.695703969310749,0.1731978825874206
jpm,cb,1.6273174814340066,44549.921341097055,9.636988185875946,10.642857142857142,8,0.0303103219021253,-0.0349639792599727,0.688599352237686,0.1958450302723057
de,lmt,1.1756919329714373,92195.3656418353,29.45130255292713,26.0,6,0.0607182025987668,-0.0536548024259077,0.6861318124350807,0.2684891822150748
goog,adbe,3.459801256506016,94907.9579080958,26.30973601152303,23.71428571428571,6,0.049808045711947,-0.0305507581692549,0.6852437393628132,0.2207446291088018
meta,msft,1.6572252912389611,68589.29219007053,40.80639789297827,47.333333333333336,3,0.097868635819531,-0.0563646835565324,0.6804040085742383,0.2649193664735003
amd,crm,2.0521331064093973,46743.57272030215,16.806090088056038,17.392857142857142,8,0.0661371560767312,-0.0707862354685197,0.677891105836662,0.3647443114507603
