,schw,cb,Ratio,Spread
0,90.7699966430664,199.5800018310547,2.1987441799283123,42.529427208629556
1,90.62000274658203,199.67999267578125,2.203486941334403,42.024903245987645
2,90.9800033569336,200.2899932861328,2.201472696152288,42.38582327154418
3,91.16639709472656,200.15499877929688,2.1954909391815227,43.02352116616191
4,91.56849670410156,200.43499755859375,2.188907809705429,43.82798390500392
5,91.88999938964844,201.25,2.1901186346364385,43.880073304337856
6,91.73999786376953,201.1699981689453,2.1928275872392677,43.55552144102157
7,89.51000213623047,199.41000366210938,2.2277957647528117,39.30122372835214
8,90.26000213623047,198.3300018310547,2.1973188249177404,42.403973454806106
9,89.94000244140625,196.91000366210938,2.1893484358129913,42.96093334477263
10,90.26499938964844,197.89999389648438,2.1924333377792,42.84745896782172
11,90.55999755859375,198.02999877929688,2.186727077274581,43.51306331885024
12,90.72000122070312,197.4600067138672,2.1765873463062193,44.51458481199717
13,91.63999938964844,198.80999755859375,2.16946746925722,45.6458264472777
14,92.27999877929688,195.67999267578125,2.120502766192952,50.50190788804778
15,93.20999908447266,195.3699951171875,2.0960197085736603,53.32011365999489
16,93.02999877929688,197.9199981689453,2.127485765516219,50.284650290283025
17,93.41999816894531,199.0,2.1301648886796016,50.256475718719514
18,93.625,199.6999969482422,2.132977270475217,50.10936813356915
19,93.94999694824219,199.56500244140625,2.1241618831701317,51.12087849782918
20,93.91999816894531,199.49000549316406,2.1240418375468573,51.114968822488294
21,94.16999816894531,198.80999755859375,2.1111819201899045,52.46922605552504
22,94.31999969482422,197.89999389648438,2.098176362773505,53.78378341200539
23,94.37000274658203,198.1300048828125,2.099501951005173,53.68863051595281
24,94.12000274658203,198.0,2.1036973461753363,53.144386100298874
25,94.69000244140625,197.89999389648438,2.0899777040236533,54.781679781259726
26,94.91000366210938,197.7899932861328,2.083974140284391,55.48502306649465
27,94.81999969482422,197.8800048828125,2.0869015557865884,55.15227102261014
28,94.1449966430664,198.89999389648438,2.112698507500908,52.311800672496645
29,94.5,199.75,2.113756613756614,52.41923762644382
30,94.01000213623047,199.14999389648438,2.1183915474004023,51.69772086637283
31,94.16000366210938,198.91000366210938,2.1124680960707325,52.34226479511881
32,93.91000366210938,198.48269653320312,2.1135415695153097,52.09532262555862
33,93.69999694824219,197.92999267578125,2.1123799265982197,52.08163896498775
34,93.38999938964844,197.67999267578125,2.1167147871048444,51.49557641935519
35,94.31999969482422,195.77999877929688,2.0756997393209304,55.90377852919289
36,94.63999938964844,194.27999877929688,2.0528317839417367,58.26681680817168
37,94.80000305175781,194.85000610351562,2.055379745052684,58.12833891167017
38,94.12999725341797,194.6428985595703,2.0678094575478445,56.52844269761917
39,94.71499633789062,194.64500427246094,2.055060041158376,58.10407787396531
40,95.01000213623047,195.33999633789062,2.0559940211116046,58.204715618832296
41,95.5999984741211,196.22000122070312,2.0525105057801842,58.915929203701836
42,91.47000122070312,193.2899932861328,2.113151751466075,50.70734613513082
43,89.86000061035156,194.57000732421875,2.165257133347993,45.085164968804634
44,89.86000061035156,193.7100067138672,2.155686683709553,45.945165579156196
45,90.04000091552734,193.33999633789062,2.147267818436342,46.80063627308681
46,91.44000244140625,194.89999389648438,2.1314521948025336,49.01643890119618
47,91.87000274658203,194.8800048828125,2.1212582895025864,50.19613753128854
48,92.1500015258789,194.9600067138672,2.115680992789953,50.87129162228334
49,91.5999984741211,193.1199951171875,2.1082969250457784,51.22794653175464
50,91.3499984741211,194.9949951171875,2.1345922098994716,48.678697233288204
51,91.55999755859375,195.25900268554688,2.1325798153346502,48.981056606465955
52,91.83000183105469,194.59620666503906,2.119091830391659,50.37205339213267
53,91.5,193.47500610351562,2.1144809410220287,50.603239941331054
54,91.80500030517578,193.30499267578125,2.105604183140372,51.59583833625271
55,91.51000213623047,191.88999938964844,2.0969292417235743,52.215222388544504
56,92.55999755859375,196.7449951171875,2.125594212474357,50.19206136869104
57,93.04000091552734,198.21499633789062,2.1304277126765454,50.01662785468395
58,93.16500091552734,197.1699981689453,2.116352667110681,51.39875067286246
59,93.0199966430664,197.1522979736328,2.119461460852765,51.02537475224926
60,92.83999633789062,196.22999572753906,2.1136364009899475,51.46221668038896
61,92.45999908447266,195.02000427246094,2.1092364936569825,51.64735660932217
62,91.43000030517578,193.11000061035156,2.1121076229441917,50.77945645398276
63,89.21499633789062,196.2899932861328,2.200190565975131,41.62560429403203
64,90.62999725341797,196.25999450683594,2.165508114913181,45.471856571823565
65,89.77999877929688,194.35499572753906,2.16479169492211,45.0844118516257
66,89.43499755859375,193.72999572753906,2.166154201554218,44.77894452750914
67,89.4000015258789,193.60000610351562,2.165548129744423,44.8145499495042
68,88.94999694824219,192.5399932861328,2.1645868453280226,44.66090168377406
69,89.18000030517578,191.8800048828125,2.1516035459317697,45.94120849532396
70,86.5999984741211,190.75999450683594,2.2027713379676475,40.10296117277764
71,86.58999633789062,191.11000061035156,2.207067891129179,39.72597933591578
72,85.87000274658203,188.7899932861328,2.1985558081707106,40.104165964773955
73,86.09249877929688,189.89999389648438,2.20576701325982,39.594236530300606
74,86.83999633789062,190.81500244140625,2.197317025428622,40.69522680332753
75,87.26499938964844,192.99000549316406,2.21153964181494,39.6664557895449
76,88.70999908447266,196.0800018310547,2.2103483694587878,40.47361957373201
77,87.62000274658203,192.55999755859375,2.197671667684413,41.053906781578036
78,88.19999694824219,193.4199981689453,2.192970576659415,41.75814890556228
79,87.98999786376953,193.53500366210938,2.1995114031227714,41.07677647086109
80,88.58999633789062,193.52000427246094,2.1844453355021862,42.70997006153783
