,nem,apd,Ratio,Spread
0,56.90203094482422,290.9444274902344,5.113076328898566,-23.83373906553392
1,56.392940521240234,287.7066650390625,5.101820589240219,-23.02850887152023
2,55.88386154174805,288.4283752441406,5.161210540697338,-26.18269665167817
3,56.19123458862305,289.803466796875,5.1574497146847005,-26.089100488307693
4,57.180580139160156,292.0660095214844,5.107783251073782,-23.624359308782815
5,57.804927825927734,294.7381591796875,5.098841400983224,-23.31325527100735
6,57.910587310791016,296.4643249511719,5.119345852255394,-24.534559640080673
7,58.227561950683594,297.8394470214844,5.115093901299567,-24.395115730519436
8,59.159278869628906,296.3668518066406,5.0096427385423885,-18.470597330951662
9,59.57231140136719,298.1995849609375,5.005674246074222,-18.329781366732576
10,58.5733528137207,289.9178771972656,4.949654804963681,-14.821290453042154
11,58.04506301879883,293.45599365234375,5.055658110962914,-20.883677465456643
12,57.949012756347656,298.1799621582031,5.145557240326599,-26.066592655239347
13,56.354522705078125,292.0838928222656,5.182971637446693,-27.589304391877036
14,57.084529876708984,291.48602294921875,5.1062174564416924,-23.50331942044052
15,58.04506301879883,289.2220458984375,4.982715684273929,-16.649729711550393
16,58.5061149597168,291.6134338378906,4.984324015338827,-16.838122531565105
17,59.092044830322266,293.7794189453125,4.971556150897721,-16.204421680162014
18,58.899940490722656,288.4281921386719,4.896918226667856,-11.771106468727469
19,58.80387878417969,285.5467224121094,4.855916451704058,-9.34863810816667
20,58.832698822021484,280.8913269042969,4.774408322726091,-4.555534899609897
21,62.38667297363281,279.8818664550781,4.4862444672016375,13.435499675555418
22,61.32048034667969,281.2637634277344,4.586783434141248,6.959128642379296
23,60.60008239746094,276.8435974121094,4.568369983333699,7.937094278102377
24,60.590476989746094,277.1768493652344,4.574594278439858,7.5579458338490735
25,60.79219055175781,273.8641662597656,4.504923474119602,11.834455253011681
26,59.25532913208008,270.9043273925781,4.571813731533456,7.450873767034166
27,58.26598358154297,270.3554382324219,4.640021872351313,3.272479023056162
28,57.49755859375,272.1000061035156,4.732374952231328,-2.14377168358091
29,58.75585174560547,276.5005798339844,4.705924118522623,-0.5319779856830724
30,58.9095458984375,278.9606018066406,4.7354057403121095,-2.2576196455679725
31,59.65876007080078,278.6861572265625,4.671336730696853,1.596714787796925
32,59.36099624633789,275.2852783203125,4.637477396402279,3.5748206964297378
33,58.52532958984375,257.8398132324219,4.405610614060794,17.02730928351967
34,60.8690299987793,249.3131103515625,4.095894256185163,36.75266486288153
35,61.05153274536133,247.77438354492188,4.058446568055209,39.163425000959464
36,60.65771484375,254.1939239501953,4.190628094134126,30.86214668678609
37,58.14111328125,247.35296630859375,4.254355521402837,25.678296562216687
38,61.339691162109375,239.52210998535156,3.904847015814593,48.79257506701866
39,61.81035614013672,238.64002990722656,3.860842176126292,51.92358321042927
40,60.7825813293457,242.89358520507812,3.9961051323071994,42.759121589211404
41,61.74311828613281,240.4531707763672,3.8944124859720883,49.789166903390694
42,65.076171875,235.81739807128906,3.6237134311503945,70.35091266582445
43,64.99932861328125,237.1503143310547,3.648504059818827,68.65082447703263
44,64.51905059814453,233.36720275878906,3.617027848291065,70.13907503816544
45,65.55643463134766,229.99571228027344,3.508362124536506,78.4673865585351
46,64.08682250976562,230.44654846191406,3.595849184546454,70.99446014370578
47,65.22025299072266,235.5919952392578,3.612252090968888,71.26476286477991
48,63.587337493896484,231.59326171875,3.642128619412313,67.4611111208399
49,66.28644561767578,225.93817138671875,3.408512393165197,86.0130607778389
50,67.03565979003906,228.68240356445312,3.4113545578682203,86.84871845339124
51,67.89054107666016,227.24168395996094,3.347177388133728,92.37422576830015
52,71.34845733642578,223.87998962402344,3.137839246732041,112.25851109154205
53,74.7775650024414,217.08802795410156,2.903117104000563,135.43541073010235
54,74.54703521728516,214.4124298095703,2.876203314922103,137.0094930875549
55,73.4925765991211,222.47850036621094,3.0272241178828336,123.90501582810309
56,74.75985717773438,223.0665283203125,2.9837741368337993,129.37229896126334
57,74.38257598876953,215.01026916503906,2.890599932939965,135.6258358109097
58,71.33529663085938,213.92239379882812,2.998829526227639,122.15322252658937
59,70.97736358642578,218.19554138183594,3.074156750217265,116.16980180515172
60,70.24214935302734,220.1262969970703,3.133820633687417,110.72605074586049
61,70.91932678222656,223.99761962890625,3.1584848558523455,110.09041251120867
62,71.54812622070312,227.0554656982422,3.1734648787006465,110.03709146634485
63,73.81182098388672,229.53506469726562,3.1097331245543125,118.37386275580273
64,73.55061340332031,231.82846069335938,3.151958222593068,114.83236654782745
65,76.33670806884766,230.5543670654297,3.020229361442911,129.4189579785636
66,75.67887878417969,237.58154296875,3.139337511147368,119.24854684525643
67,76.37539672851562,241.6488800048828,3.1639623537910926,118.50930691878607
68,75.5918197631836,243.36402893066406,3.2194492696839747,113.05007608567375
69,75.98844909667969,247.31375122070312,3.254622961261483,110.99552526845899
70,77.35246276855469,248.117431640625,3.207621616172894,116.70936531706614
71,76.85908508300781,246.5095977783203,3.2072928985830362,115.95974541584143
72,80.08049774169922,245.60211181640625,3.066940375528126,132.25976253306183
73,78.60039520263672,249.21231079101562,3.170624144427401,121.57734808674006
74,77.25572204589844,248.2554931640625,3.2134253177592633,116.10905795764249
75,76.94615936279297,246.69700622558594,3.2060990212966414,116.18839467568226
76,78.3875732421875,247.94972229003906,3.163125378610327,121.82303220326604
77,79.44202423095703,247.78204345703125,3.1190298315746507,127.02908128436609
78,78.68746185302734,246.43067932128906,3.1317655128027,124.77500080885419
79,79.80963134765625,244.4085693359375,3.0623944154218297,132.1590531274883
