,ge,rtx,Ratio,Spread
0,93.19000244140625,83.81999969482422,0.8994527041409461,24.448343526941443
1,93.1500015258789,84.13999938964844,0.9032742674327567,24.081366581473887
2,93.51499938964844,84.33399963378906,0.9018232388837971,24.316021429461372
3,93.6500015258789,84.53929901123047,0.9027154045253185,24.269269152941902
4,93.07659912109375,84.22000122070312,0.9048461376541262,23.915160644289216
5,93.12999725341797,84.1500015258789,0.9035756899777049,24.047871339924555
6,93.08999633789062,84.06999969482422,0.9031045547544514,24.080895920335905
7,93.91000366210938,84.8550033569336,0.9035778942384466,24.258912456423232
8,94.06999969482422,84.98999786376953,0.9034761150152925,24.311817992166226
9,94.08000183105469,84.94999694824219,0.90295488196091,24.363565460353
10,94.07009887695312,85.09449768066406,0.9045860342080702,24.20743465519891
11,94.11000061035156,85.12809753417969,0.904559525896083,24.220695572399393
12,94.0,85.02999877929688,0.9045744550989029,24.189609128011654
13,94.0199966430664,84.87000274658203,0.90268034223378,24.373089306050957
14,94.32990264892578,84.7645034790039,0.8985963209829433,24.84254354618909
15,94.52999877929688,84.87000274658203,0.897810259627016,24.972038051760435
16,94.55000305175781,84.94000244140625,0.898360652562952,24.92553146225508
17,94.4800033569336,84.98300170898438,0.899481357848065,24.800324246049726
18,94.5199966430664,85.27549743652344,0.9021953075024669,24.554796809159598
19,94.43000030517578,85.25,0.9027851289261023,24.474602151731347
20,94.66000366210938,85.23999786376953,0.9004858923102863,24.754721239162365
21,96.00499725341797,86.2300033569336,0.8981824469961498,25.34428211890763
22,95.86000061035156,86.08999633789062,0.8980804901913811,25.31400444436362
23,95.55999755859375,85.96070098876953,0.8995469148694956,25.090974893656934
24,95.2699966430664,86.12000274658203,0.9039572350278833,24.591094788676074
25,95.16000366210938,85.96499633789062,0.9033731928293315,24.616924958091317
26,95.38249969482422,85.9749984741211,0.9013707834162202,24.868223138571025
27,95.33000183105469,86.02999877929688,0.9024441112647892,24.75156911192343
28,94.83000183105469,85.4800033569336,0.9014025277487744,24.714362341236665
29,94.87999725341797,85.7300033569336,0.9035624561408305,24.52307718454503
30,94.63999938964844,85.7699966430664,0.9062763862659934,24.201229354546626
31,95.05500030517578,85.91000366210938,0.9037925767849536,24.548601230934523
32,94.98500061035156,85.85240173339844,0.903852199628687,24.52399521101823
33,95.05999755859375,85.97000122070312,0.9043762195313789,24.494472468673294
34,94.80999755859375,85.9000015258789,0.9060226108833264,24.27087106697249
35,95.33000183105469,86.19539642333984,0.9041791122179633,24.58617146788046
36,95.16000366210938,86.05000305175781,0.9042664957990227,24.53191824422413
37,94.88999938964844,85.98979949951172,0.9062050801203014,24.275027594626337
38,94.87999725341797,86.01799774169922,0.9065978101996677,24.235082799779406
39,95.13500213623047,86.19999694824219,0.9060807800772042,24.35256244608837
40,95.0199966430664,86.26000213623047,0.907808936894178,24.157494302502613
41,94.70999908447266,85.80999755859375,0.9060289133997255,24.24343638764651
42,94.29499816894531,85.77999877929688,0.9096982920091649,23.78605627151252
43,94.3302993774414,85.7300033569336,0.9088278519492907,23.877509587968248
44,93.98999786376953,85.62000274658203,0.9109480231149798,23.587858608067066
45,94.55999755859375,85.9000015258789,0.9084179752928958,23.977269970447466
46,94.71170043945312,86.08999633789062,0.9089689651694709,23.965435687101007
47,94.81999969482422,86.22000122070312,0.9093018508563597,23.962617924807702
48,94.47000122070312,86.05999755859375,0.9109769921304254,23.71158184378092
49,97.33000183105469,87.08999633789062,0.8947908630379083,26.040380325529867
50,96.76000213623047,86.72000122070312,0.8962381077525008,25.74096530104009
51,96.08999633789062,86.5,0.9001977656012351,25.174108773460404
52,95.80500030517578,86.68000030517578,0.904754449444879,24.659407877443186
53,96.36499786376953,87.05500030517578,0.9033881827948025,24.94207146646103
54,96.625,87.08999633789062,0.9013194963817918,25.21242308293064
55,96.2300033569336,86.97000122070312,0.903772193565415,24.86853241000614
56,99.43460083007812,88.80999755859375,0.893149837352487,26.792029400261725
57,98.47000122070312,89.36000061035156,0.9074845079981962,25.10919633642348
58,98.65039825439453,89.55000305175781,0.9077510545961599,25.131052962623855
59,98.86000061035156,89.66000366210938,0.9069391372502291,25.267210278445148
60,98.94000244140625,89.8949966430664,0.9085809018076745,25.126171798774777
61,99.23999786376953,89.94000244140625,0.9062878312922806,25.433481940268322
62,99.41000366210938,90.02999877929688,0.9056432498011492,25.543141157610464
63,100.75,91.20999908447266,0.9053101646101505,25.936838429011488
64,100.37000274658203,90.58000183105469,0.9024608882372405,26.120565241309407
65,100.75,90.69000244140625,0.9001489076070099,26.456835072077894
66,100.76499938964844,90.66999816894531,0.8998163917843462,26.494454693530784
67,100.19000244140625,90.04399871826172,0.8987323737308203,26.44517520620458
68,99.61000061035156,89.55000305175781,0.8990061490116253,26.25801417837178
69,99.37000274658203,89.56999969482422,0.9013786577348676,25.956162991439783
70,99.93000030517578,90.13999938964844,0.902031413132896,26.043826885633408
71,100.05999755859375,90.30000305175781,0.902458577403816,26.03649256811906
72,100.57099914550781,90.71299743652344,0.9019796781105689,26.22362068832942
73,100.52999877929688,90.4800033569336,0.9000298861593842,26.408463758009432
74,100.27999877929688,90.55999755859375,0.9030713867269228,26.034868459824253
75,100.2699966430664,90.2699966430664,0.9002692696241205,26.31312282269215
76,99.94999694824219,90.08999633789062,0.9013506662190551,26.11731408271568
77,101.6500015258789,91.16000366210938,0.8968027771145788,27.043799590863728
78,101.63999938964844,90.83000183105469,0.8936442579347881,27.362054869258984
79,102.05999755859375,91.16000366210938,0.8932001356336838,27.525300729967682
