,nue,alb,Ratio,Spread
0,95.37000274658203,211.44000244140625,2.2170493483495686,-38.63461884686436
1,95.3499984741211,211.97000122070312,2.2230729377330176,-39.201248397333565
2,95.4800033569336,211.85499572753906,2.218841519470417,-38.84818480318686
3,92.8499984741211,205.24000549316406,2.210447052946027,-37.049121128127275
4,93.02999877929688,205.6199951171875,2.210254733045817,-37.0995036643289
5,95.7300033569336,210.77999877929688,2.2018175220718863,-37.31540100911139
6,96.12999725341797,208.11000061035156,2.1648809586640456,-33.9129550632695
7,97.0999984741211,207.1199951171875,2.1330586856022324,-31.146734372984984
8,95.77999877929688,203.47500610351562,2.124399756700533,-29.918859346490994
9,95.98999786376953,205.39999389648438,2.1398062138514806,-31.459307865425277
10,97.4800033569336,205.52999877929688,2.10843241384314,-28.860893088278434
11,96.7300033569336,205.41000366210938,2.1235397139825034,-30.114258508590783
12,97.62999725341797,198.8000030517578,2.0362594350559395,-21.856236429676077
13,99.80000305175781,200.92999267578125,2.0133265183526685,-20.01262561425185
14,99.19000244140625,200.64999389648438,2.022885260185499,-20.849627856431827
15,99.01000213623047,201.3125,2.033254172876482,-21.841741047769265
16,97.9800033569336,198.89999389648438,2.0300059918543485,-21.315314513799397
17,99.7300033569336,203.44500732421875,2.0399578910680396,-22.65582002070082
18,99.79499816894531,206.1699981689453,2.06593518665049,-25.261795785481898
19,102.77999877929688,215.8699951171875,2.1003113220572494,-29.495816676831087
20,102.2300033569336,215.0500030517578,2.1035899050195264,-29.68294728990711
21,100.79989624023438,218.1300048828125,2.163990371209784,-35.381686025591655
22,101.16000366210938,216.9237060546875,2.144362378428212,-33.5159774341814
23,101.93000030517578,218.3800048828125,2.142450742950931,-33.56229892418009
24,101.26000213623047,218.1750030517578,2.1546019992991443,-34.58416248702756
25,101.38999938964844,220.77000427246094,2.1774337272064406,-36.94111957729388
26,106.63999938964844,222.3699951171875,2.0852400261620123,-28.92758665952164
27,105.69999694824219,224.7100067138672,2.1259225468464327,-32.98888126710913
28,105.77999877929688,222.97019958496094,2.1078672920971937,-31.102578994605214
29,105.75060272216797,223.47999572753906,2.113273967002101,-31.66620365027524
30,106.16999816894531,223.34609985351562,2.10366491198494,-30.76433290130365
31,106.83000183105469,224.2100067138672,2.0987550582320686,-30.41967578279338
32,107.45999908447266,225.22000122070312,2.0958496476783064,-30.276052467525947
33,108.30000305175781,223.10000610351562,2.0600184655294385,-26.6178862836548
34,110.0197982788086,223.00999450683594,2.0269987583661195,-23.37867615709232
35,110.69000244140625,222.75,2.012376864097665,-21.891439051616718
36,110.47000122070312,222.1199951171875,2.010681566603985,-21.66428882842482
37,111.50499725341797,221.4600067138672,1.9860993871920727,-19.109070148038573
38,112.18000030517578,221.84500122070312,1.9775806794187323,-18.258034582906337
39,111.95999908447266,221.4199981689453,1.9776705964590642,-18.235886190769154
40,113.83999633789062,219.0749969482422,1.924411489772027,-12.448332918796272
41,114.63999938964844,219.02999877929688,1.9105896715407211,-10.938411254966159
42,114.01000213623047,217.1199951171875,1.9043942728617,-10.182025414960126
43,112.58999633789062,218.2899932861328,1.938804515376561,-13.952263485853283
44,113.10990142822266,217.77999877929688,1.9253840382620775,-12.4902461332743
45,112.54499816894531,216.58999633789062,1.9244746533538493,-12.33466481693009
46,112.23999786376953,215.1300048828125,1.9166964449155188,-11.433173872590405
47,111.19999694824219,216.9199981689453,1.9507194615293946,-15.127562113855138
48,110.75499725341797,214.9949951171875,1.9411764746403135,-14.017419088858734
49,111.70999908447266,215.80999755859375,1.9318771759670588,-13.083672426250875
50,112.12999725341797,217.4499969482422,1.939266942607669,-13.954593267830408
51,111.90499877929688,216.5800018310547,1.9353916643009101,-13.496603517783686
52,112.37000274658203,218.1699981689453,1.9415323737329124,-14.235109057740576
53,111.2699966430664,216.27000427246094,1.943650676706814,-14.349388459359293
54,110.80999755859375,222.81309509277344,2.010767078800404,-21.734805399539514
55,112.08999633789062,223.19000244140625,1.9911678984144963,-19.767846332793287
56,110.82009887695312,220.22500610351562,1.9872298286616585,-19.12821940759972
57,112.0,221.0800018310547,1.973928587777274,-17.822642281079684
58,112.26499938964844,221.92999267578125,1.9768404567973001,-18.18738018686665
59,112.07499694824219,221.49000549316406,1.976265996201198,-18.09531547765741
60,111.13999938964844,219.94000244140625,1.9789455070115056,-18.25743075874141
61,116.0250015258789,220.3800048828125,1.8994182459343267,-9.752274320812578
62,114.87000274658203,223.11000061035156,1.9422825391809284,-14.597243040814053
63,115.0250015258789,224.85000610351562,1.9547924635578269,-16.053422924848807
64,114.79000091552734,225.1649932861328,1.9615383874056171,-16.798730860192965
65,114.05999755859375,224.02999877929688,1.9641417111569763,-17.000480090230358
66,115.12000274658203,226.25999450683594,1.9654272855162325,-17.289450091465145
67,115.56999969482422,226.47000122070312,1.9595916052498314,-16.675446071050775
68,118.58999633789062,237.36000061035156,2.00151790151049,-22.035386510073383
69,118.68499755859375,235.6699981689453,1.9856763956421457,-20.17142283196316
70,117.80999755859375,234.77000427246094,1.9927850703476688,-20.87368289589526
71,118.70999908447266,235.3699951171875,1.9827309993465752,-19.825638301512843
72,119.55000305175781,236.05999755859375,1.9745712382491054,-18.977469676235476
73,120.16999816894531,236.17999267578125,1.9653823439669118,-17.96216235690577
74,120.06999969482422,236.38999938964844,1.9687682184598052,-18.355281014997107
75,122.33000183105469,241.50999450683594,1.9742499051081206,-19.336879134098954
76,123.11000061035156,242.43499755859375,1.96925510808753,-18.833589462144264
77,122.33999633789062,243.4600067138672,1.9900279058490031,-21.26858992608985
