,amat,nvda,Ratio,Spread
0,144.8072967529297,277.75030517578125,1.9180684358031972,-33.83222342431045
1,143.67776489257812,276.9310302734375,1.9274452834124145,-34.92879876653023
2,150.0288848876953,290.4783935546875,1.9361497872368123,-37.703739221114226
3,150.92062377929688,293.725341796875,1.9462240112816702,-39.43816866367268
4,154.06149291992188,296.12310791015625,1.9221098166566204,-36.508564100277646
5,161.22506713867188,309.1609191894531,1.9175735180407127,-37.395912076423734
6,158.17335510253906,302.93670654296875,1.915219578838572,-36.34784669588972
7,159.5010528564453,299.729736328125,1.8791708954917608,-30.888908071995466
8,156.52862548828125,295.5835876464844,1.8883676179001117,-31.784428333160996
9,155.914306640625,293.8352355957031,1.8845944411822275,-31.07805035662667
10,158.460693359375,300.9285888671875,1.899074038409688,-33.85236156377109
11,156.90512084960938,292.6263732910156,1.864989311416372,-28.188623110628917
12,152.3275909423828,275.7821350097656,1.810454253911748,-19.108541025493103
13,154.9036865234375,281.5167541503906,1.8173663937158533,-20.4737275522859
14,149.42446899414062,272.2154846191406,1.8217597589710357,-20.466007509983505
15,148.2156982421875,273.7440185546875,1.8469299932547236,-24.044792369864517
16,151.04940795898438,277.9101257324219,1.8398623965999588,-23.404515908046072
17,158.08419799804688,279.7284240722656,1.7694901047334386,-13.290787635912489
18,155.73594665527344,265.501708984375,1.7048196944028062,-3.0470482101239553
19,165.4657440185547,269.1683349609375,1.6267314818392502,9.789476642714908
20,150.9602508544922,258.7880554199219,1.714279447437875,-4.433669006272021
21,141.75559997558594,250.43580627441406,1.7666731072179562,-11.693845907769083
22,137.87159729003906,241.27438354492188,1.749993387233742,-9.120256382622665
23,133.81918334960938,233.52163696289062,1.7450535201130586,-8.240992976558227
24,138.01031494140625,233.5016632080078,1.691914573973282,-1.112250742455268
25,131.76820373535156,223.0314483642578,1.6926044526811865,-1.2295639716102413
26,134.3343963623047,227.50726318359375,1.6935890534692135,-1.3527430269447165
