,adi,asml,Ratio,Spread
0,173.71499633789062,806.9600219726562,4.6453100710030215,-191.61955223044725
1,174.27999877929688,809.1400146484375,4.642758895546637,-191.78658207687312
2,174.5399932861328,809.969970703125,4.6405981543456205,-191.69024252689968
3,174.63999938964844,810.1699829101562,4.639086038373967,-191.5339579211515
4,175.17999267578125,813.2999877929688,4.6426533953463744,-192.74010135943405
5,175.02000427246094,810.4600219726562,4.6306707929853514,-190.47013433100318
6,175.4199981689453,811.1900024414062,4.624273235142534,-189.77503627515767
7,174.77000427246094,806.7188720703125,4.61588860988218,-187.61967209734684
8,174.19000244140625,807.2750244140625,4.634450962164791,-190.24222635604298
9,174.50999450683594,807.2000122070312,4.625523108221813,-189.02716220198755
10,174.58999633789062,806.6649780273438,4.6203390511915385,-188.20710144472872
11,174.80999755859375,807.375,4.618585957758965,-188.13331391987919
12,175.0399932861328,808.0399169921875,4.616315973409049,-187.97881347858737
13,174.4199981689453,804.77001953125,4.613977915260268,-186.91780403975116
14,175.41000366210938,796.8900146484375,4.5430134998656015,-175.51065641816245
15,175.89999389648438,798.6799926757812,4.54053451045483,-175.55492140736595
16,175.3300018310547,798.5167236328125,4.554364428754475,-177.42239198010878
17,175.46499633789062,802.989990234375,4.576354298540934,-181.41470681135405
18,175.27000427246094,802.280029296875,4.577394932048462,-181.39945398653452
19,175.3800048828125,801.6900024414062,4.571159654015799,-180.41752238231282
20,175.4499969482422,801.1500244140625,4.566258411793544,-179.6281800766323
21,176.4550018310547,800.5900268554688,4.53707754695436,-175.4876006936716
22,176.3699951171875,803.5999755859375,4.556330429402079,-178.8004071513289
23,176.25399780273438,806.6799926757812,4.576803946192626,-182.2936937515097
24,176.23500061035156,806.280029296875,4.575027812321614,-181.96141263258363
25,176.22000122070312,806.3099975585938,4.575587288464193,-182.04481997989325
26,175.83999633789062,804.2000122070312,4.573476051840314,-181.2886972809792
27,174.77999877929688,800.219970703125,4.578441333631094,-181.0851627941858
28,175.3881072998047,800.1199951171875,4.56199686190512,-178.818648166488
29,175.42999267578125,800.5499877929688,4.5633587255087855,-179.09941369074664
30,175.22000122070312,798.1654052734375,4.555218580714918,-177.46297836948662
31,175.8300018310547,799.0599975585938,4.544503152120571,-176.18429056851522
32,175.92999267578125,798.27001953125,4.537429959440571,-175.03807009165308
33,176.47500610351562,798.5499877929688,4.525003315906164,-173.3762913959635
34,175.83999633789062,796.1500244140625,4.527695865531051,-173.23870948801044
35,177.00999450683594,797.3599853515625,4.504604316683199,-170.28025865964463
36,176.17999267578125,793.6201171875,4.504598423090954,-169.49748007921568
37,176.61000061035156,792.6699829101562,4.488250836140339,-167.01533474283377
38,176.11500549316406,792.8250122070312,4.501745947126606,-168.93390822746636
39,176.5500030517578,795.9879760742188,4.508569596800658,-170.5470842492595
40,177.08999633789062,795.77001953125,4.493591032736303,-168.4052662617608
41,177.13999938964844,797.489990234375,4.502032251226134,-169.9470885584961
42,177.22999572753906,778.540283203125,4.3928245893544915,-150.67674701370123
43,174.52000427246094,769.1099853515625,4.407001870976502,-150.90147304728424
44,175.0449981689453,770.2218017578125,4.400136021107157,-150.14286709459503
45,175.5500030517578,773.7000122070312,4.407291362899717,-151.82187105682175
46,175.3000030517578,771.1749877929688,4.399172700329487,-150.18753431144665
47,176.11000061035156,777.8300170898438,4.416728262983855,-153.9567442598962
48,175.50999450683594,779.2999877929688,4.440202906864178,-157.56438711317531
49,176.72999572753906,763.239990234375,4.318678258845466,-137.15782938232616
50,176.0850067138672,760.5,4.318936712401582,-136.71577419161673
51,175.91000366210938,765.3499755859375,4.350804159245164,-142.18924201828764
52,175.7100067138672,763.25,4.343804967482046,-140.80180569464784
53,174.78500366210938,754.6950073242188,4.317847592824262,-135.54236826566222
54,173.69000244140625,747.7838745117188,4.305278737985977,-132.53245179107404
55,172.8300018310547,745.6699829101562,4.3144707227340415,-133.4825279443267
56,173.09500122070312,735.9099731445312,4.251480215804825,-122.77839142442355
57,173.4550018310547,745.3599853515625,4.297137456304338,-130.94581121401444
58,173.72999572753906,752.7100219726562,4.332642839369732,-137.3161131448564
59,173.58999633789062,756.844970703125,4.359957294024802,-141.9498447952597
60,173.86000061035156,760.0900268554688,4.371851053647203,-144.23294304370796
61,173.52000427246094,763.4299926757812,4.399665594043233,-148.78423104625273
62,173.47000122070312,762.8200073242188,4.397417432157016,-148.35239410107982
63,169.6199951171875,755.8099975585938,4.455901540596188,-155.05899617854556
64,168.14999389648438,754.3499755859375,4.486173077415194,-158.83622204683223
65,168.61000061035156,760.9600219726562,4.5131369386042115,-163.80737920333132
66,168.0800018310547,760.5399780273438,4.5248689299265905,-165.27558876657525
67,167.97999572753906,759.4450073242188,4.5210443305167525,-164.53691487622956
