,nke,mcd,Ratio,Spread
0,159.644775390625,255.96725463867188,1.6033550362820288,90.40291680061586
1,155.31130981445312,255.99656677246094,1.648280264188707,80.91232104844676
2,164.85874938964844,258.59832763671875,1.5686054188456453,99.15554719573134
3,163.68141174316406,259.1362609863281,1.5831746453466828,96.04712489399213
4,163.90896606445312,260.1241455078125,1.5870037604015217,95.55606120434777
5,165.7986602783203,262.36395263671875,1.582425046114955,97.44203576105565
6,164.6510009765625,262.0118408203125,1.5913164163369342,95.28845554868275
7,166.9858856201172,262.60845947265625,1.572638660431904,99.78960574682702
8,165.70962524414062,261.35650634765625,1.5771956877133644,98.2550912800661
9,164.8983154296875,262.1976623535156,1.5900566459413983,95.64259727186419
10,162.91958618164062,262.69647216796875,1.6124302689738355,90.82361500174488
11,164.6212921142578,262.6280822753906,1.595346986422083,94.60735054102685
12,160.5253143310547,261.33697509765625,1.6280109849758375,86.95568274564084
13,159.32815551757812,263.7821960449219,1.6555905965773872,81.8966971632467
14,155.3014373779297,261.2098388671875,1.6819537750415485,75.67749439875467
15,148.84085083007812,258.61785888671875,1.7375462276950153,64.16403368842373
16,148.70233154296875,256.3780212402344,1.7241022287949255,66.10144127312014
17,150.592041015625,255.20431518554688,1.6946733271187127,71.40096232803535
18,147.9998779296875,255.68357849121094,1.7275931714800625,65.2622124728519
19,146.6048583984375,252.06460571289062,1.7193468788588053,65.83543002216783
20,145.38795471191406,250.86158752441406,1.7254633509460655,64.38157446558483
21,143.5675048828125,249.62916564941406,1.7387581253374487,61.63939637125111
22,141.21278381347656,247.58497619628906,1.7532759394030226,58.54250797627583
23,141.4304656982422,249.01296997070312,1.7606741853060168,57.58978047873626
24,144.4480438232422,248.054443359375,1.7172572005399647,65.13660506529959
25,143.93357849121094,245.18861389160156,1.7034844576352528,66.87919902269158
26,142.45941162109375,244.37680053710938,1.7154135185331965,64.47245424770642
27,143.10247802734375,243.2911376953125,1.7001182722274375,66.96212816286652
28,144.3590087890625,250.48011779785156,1.7351194075033676,62.51653985677092
29,146.49603271484375,253.76654052734375,1.7322417257626581,63.895895383891
30,146.64443969726562,253.31658935546875,1.727420350054992,64.669864487133
31,147.12924194335938,256.5345153808594,1.7435997901737166,62.510410363386654
32,143.765380859375,254.93045043945312,1.7732394886416705,56.770135489701374
33,143.8445281982422,254.36312866210938,1.7683198092287096,57.51026016751814
34,143.59719848632812,254.15777587890625,1.7699354761653276,57.17561637972318
35,142.00430297851562,254.38272094726562,1.7913733289177312,53.47289217387009
36,144.7052764892578,254.16754150390625,1.7564497140004038,59.58512467595904
37,143.2805938720703,251.2430419921875,1.7535036336917522,59.39910534993629
38,138.68991088867188,249.5705108642578,1.7994856962925816,51.048768418908764
39,140.0849151611328,247.83926391601562,1.7692073670526072,55.82573728154176
40,144.03250122070312,248.25006103515625,1.7235697424622172,64.03373051876804
41,144.93283081054688,247.54583740234375,1.7080038802659587,66.70364960936155
42,141.2820587158203,245.4331512451172,1.7371855526170525,60.8455812729552
43,141.4304656982422,245.11041259765625,1.7330807148767147,61.492337851783134
44,136.7210693359375,247.16436767578125,1.807800135533415,49.15632702129818
45,135.3755340576172,242.36192321777344,1.7902933857651249,51.021055542037516
46,135.71189880371094,239.6623992919922,1.7659645278313563,54.45496680886896
47,137.32460021972656,243.98556518554688,1.776706903170715,53.65282242119315
48,135.09848022460938,240.7399139404297,1.7819587129343355,52.03817138119183
49,130.81451416015625,235.6845245361328,1.801669532232365,47.740349773458036
50,134.23773193359375,236.97296142578125,1.7653230430249651,53.9258465456025
51,132.54592895507812,232.75360107421875,1.7560222551467617,54.45148243465377
52,130.08172607421875,231.9274139404297,1.782936165900062,49.89755936813623
53,123.39816284179688,220.63644409179688,1.7880042863738963,46.59626207819372
54,120.19520568847656,219.12179565429688,1.8230493837018715,41.11787330046491
55,125.88713836669922,218.80706787109375,1.7381209129857744,53.85983477429846
56,124.974853515625,218.3448028564453,1.7471098922244124,52.33030233145104
57,121.60331726074219,223.13462829589844,1.834938662219654,40.179379826291836
58,116.5856704711914,222.4559783935547,1.9080902266503161,29.902968810687444
59,118.40036010742188,228.7407684326172,1.9319262899630207,27.58020247434428
60,124.14188385009766,234.2190704345703,1.8867046573692385,34.63740665705228
61,126.34329223632812,233.5601043701172,1.8486149936099296,40.10272198998308
62,130.1412353515625,234.98622131347656,1.8056246406351273,46.96867898792624
63,129.1000213623047,231.44549560546875,1.7927610945620451,48.23611541126513
64,131.97573852539062,234.1993865966797,1.7745639404141118,51.76079643313443
65,131.88648986816406,232.23231506347656,1.7608499194695368,53.5330107916958
66,130.9741973876953,236.3041534423828,1.8042038672922838,47.46935829798696
67,132.58062744140625,237.60243225097656,1.7921353732918823,49.67840868910389
68,133.68133544921875,238.94004821777344,1.787385257746315,50.743975685199246
69,137.97508239746094,244.0839385986328,1.7690436153935902,54.974650983654726
70,137.38011169433594,244.9297637939453,1.7828618769716982,52.82982237688202
71,133.4334259033203,243.20858764648438,1.8226961198066072,45.93417373017536
72,132.4021453857422,245.14613342285156,1.85152689715593,41.745026482558956
73,133.21527099609375,242.7659912109375,1.8223585734255354,45.90047113582773
74,131.19235229492188,244.41831970214844,1.8630531081010981,39.83149106811584
75,127.28533935546875,247.31976318359375,1.943034165882261,28.39984078772756
76,128.2967987060547,250.1719970703125,1.9499473065067692,27.755932689259286
77,127.07709503173828,247.31976318359375,1.946218263187588,27.945179599332395
78,123.93364715576172,246.3263702392578,1.9875665397764906,22.075462321276408
79,123.99313354492188,245.0674591064453,1.976459922417067,23.46425047500549
