,adm,cost,Ratio,Spread
0,88.26000213623047,566.5599975585938,6.4192157698353665,-48.60134675679012
1,86.68000030517578,569.6436767578125,6.571800585512899,-60.95735313558782
2,86.52999877929688,566.3870239257812,6.545556823251623,-58.58099246401366
3,86.63999938964844,565.906005859375,6.531694481140407,-57.45442979817352
4,87.12999725341797,568.3099975585938,6.522552685335932,-56.98284222851697
5,87.25,569.1699829101562,6.523438199543338,-57.13858489700999
6,87.83999633789062,569.97998046875,6.4888433997222705,-54.486156670930086
7,88.6050033569336,574.8300170898438,6.4875570826877205,-54.84670775104462
8,88.63999938964844,575.5499877929688,6.493118138042121,-55.36130232172377
9,88.88500213623047,576.4949951171875,6.485852295234429,-54.86849762474526
10,88.65499877929688,575.6099853515625,6.492696331591193,-55.333275141623744
11,88.9260025024414,576.0800170898438,6.478195363319383,-54.21290670536678
12,88.94000244140625,575.4299926757812,6.469867066339188,-53.48072288362209
13,89.31999969482422,576.47998046875,6.454097429896823,-52.30067600714949
14,90.30000305175781,580.1500244140625,6.424695512817805,-50.219516641192286
15,90.0999984741211,585.3400268554688,6.496559786553077,-56.583256887714356
16,90.55999755859375,583.1699829101562,6.439598041429231,-51.71368315091411
17,90.5199966430664,585.1799926757812,6.464648855249427,-53.95844047756236
18,90.45999908447266,584.6199951171875,6.46274597649799,-53.750541873743714
19,90.33999633789062,581.27001953125,6.434248871974464,-51.10480897087575
20,90.26399993896484,575.5999755859375,6.3768498623498795,-45.880754050043834
21,90.94000244140625,579.4299926757812,6.371563416760573,-45.74361347357865
22,91.06999969482422,578.0621948242188,6.347449179326963,-43.61291962883024
23,90.375,575.3099975585938,6.365809101616528,-44.939366092254545
24,90.58999633789062,573.989990234375,6.336129963991345,-42.35764099774531
25,90.86000061035156,576.2299194335938,6.341953726202646,-43.01303535343743
26,91.04000091552734,573.6599731445312,6.301185933387777,-39.38674742653029
27,91.13999938964844,575.5700073242188,6.315229440187941,-40.709935090419435
28,90.27999877929688,575.8101196289062,6.378047490192831,-45.99700802330722
29,90.29000091552734,579.6649780273438,6.420035132900942,-49.793168338109126
30,89.88140106201172,578.2249755859375,6.433199402254575,-50.751056489523194
31,90.11000061035156,574.125,6.371379381991106,-45.309531948610015
32,90.2708969116211,573.239990234375,6.35021928269529,-43.48029343714916
33,90.25,572.8150024414062,6.346980636469875,-43.17794031319477
34,90.43000030517578,575.1900024414062,6.3606104224295255,-44.49659867535013
35,91.02999877929688,580.8200073242188,6.380534055948112,-46.60547968985338
36,91.33000183105469,580.72998046875,6.358589388216633,-44.754868513470456
37,90.88999938964844,579.6080932617188,6.377028244624798,-46.21515970417488
38,91.26000213623047,579.6635131835938,6.3517806225589135,-44.0991982667249
39,90.9800033569336,578.5999755859375,6.35963897820457,-44.67884882271176
40,90.93000030517578,576.5399780273438,6.34048142628816,-42.91229690877674
41,90.9000015258789,575.3300170898438,6.329263008054508,-41.87838544866429
42,92.98999786376953,576.8049926757812,6.202871340214474,-31.08810319239558
43,93.1500015258789,579.4249877929688,6.220343298996008,-32.7691080654904
44,92.98999786376953,579.9000244140625,6.236154831013296,-34.18313493067683
45,92.93000030517578,583.6699829101562,6.280748746297469,-38.305192381545794
46,92.62999725341797,582.844970703125,6.292183827972838,-39.24076449542872
47,92.5,584.2000122070312,6.315675807643581,-41.35870199252088
48,92.83999633789062,584.780029296875,6.298794187459589,-39.94343197394642
49,92.19100189208984,599.9199829101562,6.507359401651437,-58.89204499566483
50,92.69000244140625,597.1500244140625,6.4424426441411455,-53.1936744780719
51,93.11000061035156,601.1400146484375,6.456234676273919,-54.71888248198229
52,93.45999908447266,607.02001953125,6.494971383239609,-58.544902172741104
53,93.875,607.5880737304688,6.4723097068492015,-56.67750079655343
54,94.31999969482422,607.5499877929688,6.441369696339257,-54.02790980625957
55,93.97000122070312,607.739990234375,6.46738301947026,-56.27189743971962
56,94.38999938964844,598.3699951171875,6.3393367834136205,-44.43712009206752
57,94.54000091552734,601.4650268554688,6.362016300305362,-46.65185966989168
58,94.9800033569336,604.3300170898438,6.362707893563444,-46.934671506531004
59,95.37000274658203,602.7449951171875,6.320068970940543,-43.06091678079781
60,95.61000061035156,601.8599243164062,6.29494739540085,-40.76740538739671
61,95.87999725341797,601.8699951171875,6.277325952840823,-39.19298611817055
62,95.31999969482422,600.1099853515625,6.295740529509757,-40.71935265983154
63,95.4749984741211,586.3223266601562,6.1411085208771325,-26.02207515291002
64,94.97000122070312,589.7899780273438,6.210276618368323,-32.453330527666594
65,95.16000366210938,589.7050170898438,6.19698396800978,-31.253329868686365
66,94.9198989868164,587.8900146484375,6.193538140301757,-30.84739484916838
67,94.80999755859375,589.0700073242188,6.213163405685842,-32.67235006863427
68,94.63999938964844,584.47998046875,6.175824009279098,-29.079966767374685
69,94.56999969482422,584.6699829101562,6.182404407284301,-29.680766247191627
70,95.0999984741211,586.6300048828125,6.168559561464642,-28.530461389949437
71,96.19999694824219,589.7952880859375,6.130928345073243,-25.240343372254415
72,95.93000030517578,586.559814453125,6.114456505651423,-23.58935980944932
73,95.625,585.6900024414062,6.124862770629085,-24.50945877370293
74,95.2300033569336,583.8400268554688,6.130841187384669,-24.97754259590056
75,94.37999725341797,579.2708129882812,6.137643884783044,-25.396636046796857
76,95.06999969482422,581.1799926757812,6.113179704863528,-23.256498660305738
77,94.4000015258789,585.510009765625,6.2024364438713775,-31.518436656869426
78,94.48500061035156,588.8699951171875,6.232417752164064,-34.37960023132746
79,94.98999786376953,588.530029296875,6.195705258788602,-31.076030403445884
