,mu,klac,Ratio,Spread
0,84.02999877929688,393.0899963378906,4.677972177178459,76.73182514541197
1,83.83999633789062,393.5199890136719,4.693702364056814,75.22671149624564
2,83.91999816894531,395.4599914550781,4.7123450915591,73.73939611422408
3,81.51000213623047,380.92999267578125,4.673414092654787,74.63253180181694
4,81.9636001586914,381.1099853515625,4.649746773124749,77.01920481635194
5,81.37999725341797,363.8999938964844,4.471614723250688,90.9269033169602
6,80.80000305175781,364.6000061035156,4.512376142733125,86.94501785592531
7,80.375,366.25,4.556765163297045,82.89016173074721
8,78.91999816894531,359.8299865722656,4.5594272037611026,81.07710734470602
9,78.92949676513672,360.1300048828125,4.562679601954367,80.83083644870557
10,78.83999633789062,363.93499755859375,4.616121441696288,76.51940929899321
11,78.70999908447266,361.010009765625,4.586583838962875,78.70881299842246
12,76.48999786376953,348.5400085449219,4.556674314015275,78.61702893019255
13,77.81500244140625,354.7099914550781,4.5583753816903165,79.94452974027236
14,77.30999755859375,358.6000061035156,4.63846872885658,73.19696580375644
15,77.25789642333984,359.1000061035156,4.648068647064929,72.4021536801118
16,76.0999984741211,354.20001220703125,4.654402356229772,70.75022981685056
17,77.61990356445312,361.44000244140625,4.656537638458644,72.1105598103447
18,79.26000213623047,366.6499938964844,4.625914509392693,76.18099843756507
19,80.06999969482422,376.9201965332031,4.707383514047491,70.49413355792736
20,80.69999694824219,379.20001220703125,4.698885087322063,71.77913134287179
21,81.19999694824219,382.3399963378906,4.708620821520456,71.46837657724548
22,80.83000183105469,380.2449951171875,4.704255678627218,71.4697756968692
23,81.13999938964844,384.9599914550781,4.744392338560826,68.50888775082656
24,80.82499694824219,382.9849853515625,4.738447260280308,68.70146553964885
25,82.30000305175781,389.6199951171875,4.734143143010075,70.41271693795262
26,81.44999694824219,381.0950012207031,4.678882940448382,74.12798637704954
27,81.67140197753906,382.0799865722656,4.678259186457258,74.39581224648101
28,81.22000122070312,384.6700134277344,4.73614882598255,69.25155283755494
29,81.1500015258789,387.1000061035156,4.770178666972281,66.42546977746566
30,80.61499786376953,384.1000061035156,4.764622170586698,66.39817363477154
31,81.19000244140625,386.4599914550781,4.759945557754863,67.29182795559548
32,81.45999908447266,388.0299987792969,4.763442218762073,67.2495854935324
33,83.54000091552734,388.67999267578125,4.652621360021297,78.3691961173649
34,82.9000015258789,388.20001220703125,4.682750362626312,75.22776645226573
35,83.08550262451172,389.17999267578125,4.68409024898847,75.29743629458558
36,83.52999877929688,390.82000732421875,4.678798192692953,76.17258479385079
37,83.7300033569336,390.4700012207031,4.663441843614458,77.6543085458281
38,84.44999694824219,394.6000061035156,4.6725875709072975,77.59835768563535
39,84.52999877929688,395.5799865722656,4.679758574291513,77.07106427627004
40,85.03500366210938,386.5,4.545187080084998,89.00860013661402
41,83.69999694824219,383.5400085449219,4.58231807083688,84.41451119637954
42,83.21499633789062,380.135009765625,4.568107029916873,85.0751540377512
43,83.45999908447266,382.0400085449219,4.57752231890449,84.55649318883958
44,83.07499694824219,380.75,4.58320811299237,83.66798303476004
45,82.86000061035156,379.1300048828125,4.5755491442206,84.0714302467921
46,81.99810028076172,373.67999267578125,4.557178658972585,84.64441500906408
47,81.7300033569336,378.79998779296875,4.634772693433802,78.00740451263023
48,81.16000366210938,377.69000244140625,4.653646936905399,75.89207011465164
49,82.08499908447266,374.7699890136719,4.56563310219448,84.0461319656987
50,83.0999984741211,379.29998779296875,4.564380201656561,85.25946534417581
51,83.375,379.5,4.551724137931035,86.61553792214552
52,83.54000091552734,380.2300109863281,4.5514724302050595,86.81917780681802
53,83.01000213623047,379.4599914550781,4.571256254545491,84.59022111821925
54,83.87999725341797,383.57598876953125,4.572913702067404,85.39705527007858
55,84.12000274658203,385.2200012207031,4.579410231133824,85.11110399706071
56,84.72599792480469,393.3599853515625,4.642730625618291,80.4001185730357
57,86.0199966430664,397.80499267578125,4.62456415019921,83.27714959337693
58,86.5999984741211,398.0450134277344,4.596362822646968,86.31904526604156
59,87.40499877929688,397.614990234375,4.549110414592853,91.30412946425072
60,87.93499755859375,399.5249938964844,4.543412804785362,92.39310202199012
61,88.30000305175781,399.5400085449219,4.524801752393237,94.44345589301487
62,88.125,400.42999267578125,4.543886441710993,92.56322421607827
63,92.80000305175781,400.9700012207031,4.320797284856425,118.47652750433112
64,92.61000061035156,401.7900085449219,4.338516422599088,116.58139920672728
65,93.07499694824219,402.9100036621094,4.328874744805659,118.09256667731178
66,91.87200164794922,398.0899963378906,4.333093752146161,116.1054747418781
67,91.72000122070312,394.3500061035156,4.299498482938338,118.98537683166786
68,91.0999984741211,392.70001220703125,4.3106478461532145,117.12711077384212
69,91.0199966430664,389.7099914550781,4.281586528544054,119.66444446641061
70,92.94999694824219,391.44000244140625,4.211296560443931,128.85526055670667
71,93.6050033569336,387.4800109863281,4.13952243032131,136.52157874355592
72,93.29000091552734,388.25,4.161753630504886,133.9691614151907
73,92.5999984741211,383.8699951171875,4.145464378430498,134.444815959385
74,90.0,372.2699890136719,4.136333211263021,131.33283799781165
75,89.69000244140625,368.7099914550781,4.110937467037682,133.13872716455742
76,89.75,368.9100036621094,4.110417868101497,133.2782086667576
77,92.33999633789062,370.17999267578125,4.00888030492462,146.6636070430982
78,91.55000305175781,370.25,4.044237986433262,142.12345531195163
79,91.58000183105469,370.0400085449219,4.040620235273261,142.50319362164547
80,90.26000213623047,367.1449890136719,4.06763771686528,137.92904935550476
81,89.4800033569336,362.17999267578125,4.047608170409359,138.4804547909301
82,89.33000183105469,364.5799865722656,4.081271455269611,135.23168345075297
