,tsla,hd,Ratio,Spread
0,347.4366760253906,379.57000732421875,1.0924868717558185,72.00975710293247
1,345.8752746582031,374.3800964355469,1.0824135862429383,75.16438330506301
2,346.0,373.8999938964844,1.0806358205100703,75.80706516774941
3,341.4966735839844,373.3900146484375,1.093392830828291,70.44696418810744
4,342.9666748046875,372.3599853515625,1.0857031096785537,73.39313819739758
5,348.5733337402344,371.8999938964844,1.066920380586639,81.16140240923224
6,349.9633483886719,372.0,1.0629684557334103,82.87327862341235
7,354.9166564941406,364.8500061035156,1.027987837222114,96.47990330467755
8,347.5601501464844,366.5,1.0544937325108565,85.2407127861878
9,348.1807861328125,364.80999755859375,1.0477602788208942,87.73971344255361
10,344.8666687011719,364.8500061035156,1.0579451110123355,83.37975706117774
11,347.2266845703125,366.9200134277344,1.056716058219408,84.38602740610727
12,347.0566711425781,366.44000244140625,1.055850622997721,84.64442610667348
13,343.5066833496094,366.80999755859375,1.0678394783523528,79.64702643850077
14,341.3332824707031,364.1600036621094,1.066875169705625,79.46399506709949
15,334.7866516113281,364.9649963378906,1.090142019047994,70.1254774332061
16,341.6852111816406,364.4849853515625,1.0667274246113083,79.5977520025622
17,336.9730529785156,362.1199951171875,1.074625973550102,75.82045004165391
18,334.1100158691406,360.7850036621094,1.0798389348597572,73.42347628383695
19,333.88665771484375,361.0899963378906,1.081474769939085,72.82733653939815
20,331.8433532714844,359.6499938964844,1.0837944781803452,71.6038942503811
21,342.1300048828125,359.94000244140625,1.0520562280548709,84.72252293371642
22,344.6933288574219,361.125,1.0476704066105522,86.87881489990653
23,345.489990234375,360.0299987792969,1.0420851803407043,89.01226320727531
24,343.4666748046875,355.87310791015625,1.0361212135428384,90.53176499976652
25,340.0406188964844,355.7099914550781,1.046080884717375,86.22902195725717
26,334.63665771484375,352.82000732421875,1.054337590309277,82.07494959451398
27,332.0633850097656,349.54998779296875,1.0526604364485679,81.99071144352936
28,320.9477844238281,354.3500061035156,1.1040736945408482,62.70152197578064
29,327.5,358.5799865722656,1.094900722358063,67.01234613634986
30,319.8466491699219,350.1708984375,1.0948087133202014,65.44530124566259
31,318.8507995605469,350.70001220703125,1.0998875106801684,63.61809878308119
32,317.85333251953125,350.3500061035156,1.1022379514677183,62.667907873470334
33,315.2466735839844,347.80999755859375,1.1032947425087873,61.810139827411625
34,314.3233337402344,348.80999755859375,1.1097171610137608,59.60656752118077
35,291.8033752441406,350.12451171875,1.1998645026837484,28.93731624355521
36,293.58966064453125,352.0199890136719,1.1990203886637758,29.370259685036352
37,287.1199951171875,347.67999267578125,1.210922257552548,25.277055276750126
38,294.7856750488281,351.0299987792969,1.190797343599388,31.91925316681661
39,294.5149841308594,354.45001220703125,1.2035041723022875,28.146394473473173
40,299.5466613769531,358.9100036621094,1.1981772789997907,30.245187877818942
41,310.0433349609375,364.010009765625,1.174061715635612,38.82758237549418
42,308.60333251953125,356.8900146484375,1.1564684403589525,44.07053615073928
43,305.0,358.9800109863281,1.176983642578125,37.28360047896776
44,303.3133239746094,358.5143127441406,1.181993286830196,35.550718677756514
45,306.8133239746094,358.2699890136719,1.1677132673785733,40.35728793496386
46,314.92333984375,358.989990234375,1.139928181926715,50.208682034479544
47,309.2066650390625,359.135009765625,1.1614724078481782,42.61198420165672
48,306.1333312988281,359.0,1.1726916454241527,38.74090736483631
49,316.135009765625,362.0,1.145080389129879,48.77808246341399
50,316.4700012207031,363.010009765625,1.1470597793326556,48.20473363133922
51,318.5,363.05999755859375,1.1399058008119114,50.80084665269387
52,319.6066589355469,363.8599853515625,1.1384618410749068,51.44338736781773
53,323.36334228515625,363.70001220703125,1.1247410100255097,56.50019245724288
54,312.9765319824219,356.8599853515625,1.140213239284041,49.801025358216656
55,312.7900085449219,356.6099853515625,1.1400939147976248,49.80789229582634
56,290.4366760253906,359.05999755859375,1.236276363138118,18.220339718814465
57,288.5199890136719,359.9949951171875,1.2477298240162096,14.786943090114526
58,286.9100036621094,358.5,1.2495207396888166,14.183324359221807
59,284.9366760253906,354.7099914550781,1.2448730588247265,15.40110285174088
60,283.9933166503906,355.42498779296875,1.2515258879507856,13.456438774221475
61,278.9333190917969,356.4800109863281,1.278011576913874,5.805715230289955
62,276.4433288574219,356.42999267578125,1.289341993344369,2.6100344527224806
63,274.7266540527344,358.3800048828125,1.3044966682192427,-1.577661168180306
64,283.07000732421875,361.0,1.2753028956067496,6.677894040583475
65,280.3333435058594,360.29998779296875,1.2852555578549576,3.8106684580440273
66,278.1233215332031,361.57000732421875,1.3000348382544882,-0.3401118899902613
67,272.7566833496094,359.67999267578125,1.3186844342683137,-5.445503254902782
68,276.1877746582031,364.1000061035156,1.3183060204388428,-5.393093547076184
69,282.10333251953125,366.7200012207031,1.2999491992719139,-0.30216655254722724
70,300.8500061035156,363.2300109863281,1.2073458654388358,27.62408873890248
71,305.8299865722656,362.9100036621094,1.1866397004740936,34.43549423934993
72,305.3333435058594,364.93499755859375,1.1952019172501238,31.763126740551932
73,307.32666015625,365.6700134277344,1.18984149712824,33.62639657758793
74,311.6485595703125,365.69000244140625,1.17340507828948,39.239997926436295
75,308.3216857910156,364.32501220703125,1.1816392715690307,36.26841244149099
76,312.27667236328125,366.8599853515625,1.1747915160463307,38.888759239139766
77,308.0,363.5799865722656,1.1804545018580053,36.59412105880616
78,312.0199890136719,366.0950012207031,1.1733062435453834,39.31915695184377
79,309.96722412109375,366.5849914550781,1.1826572712470584,36.15339030358003
80,311.11663818359375,366.239990234375,1.1771790553298929,37.996651285714925
