,amat,qcom,Ratio,Spread
0,144.8072967529297,173.06280517578125,1.195124893955179,10.039544722892654
1,143.6777801513672,172.935546875,1.2036345960579933,8.7286482939387
2,150.0288848876953,175.78404235839844,1.1716679924001452,13.966684077950301
3,150.92062377929688,177.54598999023438,1.1764196671349163,13.340141187285521
4,154.06149291992188,178.87725830078125,1.161077014836914,16.0079781610882
5,161.22506713867188,182.391357421875,1.13128411517421,21.614885433572734
6,158.17335510253906,180.9132843017578,1.1437658648922073,19.207372372412916
7,159.5010528564453,182.2641143798828,1.14271417721565,19.547030775641527
8,156.5286102294922,178.86746215820312,1.1427141779126457,19.159026431047092
9,155.91432189941406,179.00450134277344,1.1480953074872473,18.239845871926914
10,158.460693359375,182.27389526367188,1.1502782892050751,18.21261426518981
11,156.90512084960938,183.27232360839844,1.1680455208600968,15.233556366837629
12,152.3275604248047,182.55775451660156,1.198455184390088,10.119755900830167
13,154.9036865234375,182.01939392089844,1.1750488190825479,13.938163844237575
14,149.4244842529297,176.5965118408203,1.1818445465864666,12.384662709048197
15,148.21568298339844,175.88189697265625,1.186661852729557,11.560173804251857
16,151.04940795898438,181.48101806640625,1.2014679204547773,9.569087307576492
17,158.0841827392578,182.47946166992188,1.1543182784510537,17.52765647295399
18,155.73594665527344,180.00294494628906,1.1558214324450822,17.01428634937687
19,165.4657440185547,184.70147705078125,1.1162520565590273,24.70419906987527
20,150.9602508544922,175.0792694091797,1.1597706576278506,15.857316861730478
21,141.75559997558594,168.8243408203125,1.190953590894388,10.392442325306714
22,137.87159729003906,162.98052978515625,1.1821182389168654,11.290954792211405
23,133.81918334960938,161.44371032714844,1.206431740846666,7.6680463921145146
24,138.01031494140625,166.4750518798828,1.2062507932871653,7.973054666684329
25,131.7681884765625,161.9527130126953,1.2290729263649376,4.547618630340646
26,134.3343963623047,163.46995544433594,1.2168883016636454,6.297795201890007
27,128.9542694091797,157.79257202148438,1.22363201113411,5.124942857060939
28,131.233154296875,163.28396606445312,1.244228007314927,2.5351343908135346
29,136.9105224609375,172.04476928710938,1.25662196151648,1.003028706820852
30,137.33657836914062,173.38584899902344,1.2624884867379442,0.20442381879723381
31,139.46681213378906,184.22181701660156,1.3209007519285627,-7.919228363995676
32,135.25587463378906,175.31419372558594,1.2961669443213202,-4.373172732868203
33,134.3245086669922,175.67637634277344,1.3078505038741506,-5.921215184617158
34,134.87936401367188,171.3889617919922,1.2706833476366302,-0.927332185260302
35,137.47528076171875,174.81495666503906,1.2716101083513327,-1.0480813062412198
36,142.8751983642578,180.06167602539062,1.2602724481706513,0.5806335054494651
37,138.48590087890625,170.39053344726562,1.230381810465003,4.663111932874211
38,131.27279663085938,161.1598358154297,1.2276712308385798,4.709739161449586
39,130.64859008789062,161.6394805908203,1.237207998050965,3.4353246669947977
40,138.5552520751953,169.34312438964844,1.2222064617062964,5.798822260979985
41,139.66497802734375,168.9515838623047,1.2096918371993528,7.603319113697263
42,135.2162322998047,163.27420043945312,1.2075044368743957,7.616346031651996
43,132.12490844726562,164.09642028808594,1.241979443668496,2.8581043365742245
44,129.29598999023438,162.3834228515625,1.2559045556155854,0.9691870660569135
45,126.91374206542969,158.2036590576172,1.2465447514427253,2.1157585052193566
46,132.43260192871094,164.42922973632812,1.2416068803423579,2.917064991610853
47,134.715576171875,167.31686401367188,1.24200087894961,2.9362230545728165
48,133.2068328857422,168.3544921875,1.2638577807183933,-0.022409458551043038
49,128.6508026123047,160.22991943359375,1.245463815071984,2.3012069592581055
50,132.19436645507812,166.36351013183594,1.258476549289028,0.6794517608691093
51,129.67315673828125,162.53001403808594,1.2533821041013102,1.302822679079493
52,124.80943298339844,159.49270629882812,1.277889839624887,-1.8525960210386119
53,118.33769226074219,147.5401153564453,1.246771950152275,1.8598641281954214
54,123.231201171875,148.1888427734375,1.2025269685292865,7.441787040566761
55,127.66812133789062,154.43055725097656,1.2096250468216385,6.849372195618993
56,124.04513549804688,152.0714874267578,1.2259367271129484,4.595482622758364
57,122.7249755859375,149.7418975830078,1.220142003435575,5.2441815269856376
58,119.2409439086914,138.88034057617188,1.1647034653006378,11.6697022433878
59,123.4892807006836,141.75054931640625,1.1478773583594253,14.20867973597171
60,129.5143585205078,147.88412475585938,1.1418357504542078,15.746522451520658
61,131.01318359375,150.22354125976562,1.1466291951624024,15.315481942395817
62,134.13987731933594,151.36376953125,1.128402474760809,18.15631013671668
63,133.2068328857422,152.9364776611328,1.1481128583870295,15.395605067816145
64,134.4773406982422,154.92202758789062,1.1520307196996473,15.027726645120136
65,130.4473876953125,150.26284790039062,1.151903848403322,14.555776817784785
66,137.5643310546875,155.75753784179688,1.1322523552989678,18.12272062251719
67,136.045654296875,155.27587890625,1.1413512596838362,16.670727446031716
68,136.64122009277344,155.7476806640625,1.1398294054921099,16.957228633970512
69,140.3932342529297,158.32301330566406,1.1277111332903154,19.159140437468434
70,134.79498291015625,150.125244140625,1.1137302064178953,20.228947396623536
71,130.82460021972656,150.21371459960938,1.14820694538579,15.08519520277903
72,126.46707916259766,144.48313903808594,1.14245651907818,15.267565886603872
73,128.4820556640625,151.18682861328125,1.1767155174461414,11.129441068826221
74,120.80925750732422,142.97923278808594,1.1835122219786645,9.567662150744663
75,118.4468765258789,136.90463256835938,1.155831513534658,12.634365561161669
76,121.49414825439453,136.8456573486328,1.1263559547089792,16.573273349467282
77,119.07221221923828,134.3588104248047,1.1283809036605483,15.976395112232947
78,115.37974548339844,133.05149841308594,1.1531616563691434,12.582281316493916
