,nke,tsla,Ratio,Spread
0,143.14500427246094,293.29632568359375,2.0489455931367058,11.440797950474018
1,143.11000061035156,292.6433410644531,2.044883934151038,12.01874007788258
2,142.7899932861328,292.13665771484375,2.0459182817484933,11.839376724525618
3,143.25,285.6666564941406,1.9941825933273343,19.295561902615997
4,142.6999969482422,282.8133239746094,1.9818733708676028,20.96977209674095
5,142.77000427246094,283.3181457519531,1.9844374677699905,20.615035302861326
6,142.2100067138672,280.3899841308594,1.9716614224976194,22.342647906271292
7,143.5500030517578,285.7550048828125,1.9906304340500907,19.850374119848265
8,143.11000061035156,285.1666564941406,1.9926396148272651,19.49542464819508
9,142.97999572753906,285.6600036621094,1.9979018897612755,18.723366918082842
10,140.9149932861328,285.1433410644531,2.0235131437394998,14.81298047864966
11,138.07000732421875,273.02593994140625,1.977445683046002,20.831167329268123
12,136.85000610351562,269.38665771484375,1.9684811523579706,21.85495374765925
13,137.14500427246094,269.1706848144531,1.9626721822087054,22.703357551561634
14,137.68980407714844,270.663330078125,1.9657470783128626,22.378679648308843
15,138.4040985107422,274.4850158691406,1.9832145060923652,20.088331748732298
16,138.1999969482422,273.8733215332031,1.981717276272969,20.262463587107458
17,138.57000732421875,267.3416748046875,1.9292896057887594,27.587355904991295
18,138.5,262.375,1.894404332129964,32.403945726214666
19,139.57000732421875,265.8233337402344,1.904587803902104,31.249543847453264
20,138.07000732421875,260.11334228515625,1.8839235785245734,33.74376498551812
21,137.3800048828125,258.6993408203125,1.8830931112645357,33.6785068705346
22,137.57000732421875,257.4850158691406,1.8716653497176288,35.30016796252932
23,136.83999633789062,254.663330078125,1.8610299392971368,36.55682197959323
24,134.25,252.0066680908203,1.8771446412724047,33.66092840385682
25,133.60000610351562,253.711669921875,1.8990393587654086,30.56243918709931
26,134.14999389648438,251.74330139160156,1.8765807890073927,33.709897330271765
27,134.35000610351562,252.09999084472656,1.8764419753765065,33.78200342275438
28,135.73500061035156,255.5366973876953,1.8826146258418133,33.31451302932522
29,136.1855926513672,261.6566467285156,1.9213239934884465,28.160564028891894
30,137.1999969482422,266.8466491699219,1.944946465782999,25.145289072379864
31,137.0,265.23333740234375,1.9360097620609034,26.329838006857653
32,138.1999969482422,268.5133361816406,1.9429330109334415,25.622448938669958
33,138.1999969482422,268.52667236328125,1.943029510079137,25.609112757029333
34,138.16000366210938,267.0899963378906,1.93319332120965,26.96004930080279
35,138.5399932861328,268.6333312988281,1.9390309247670292,26.231353909003712
36,138.4600067138672,268.1233215332031,1.9364676334827142,26.569884711394433
37,138.7899932861328,269.9433288574219,1.9449768853356753,25.457318069912173
38,136.67999267578125,284.010009765625,2.077919410189942,6.867118940610123
39,137.9499969482422,289.4800109863281,2.098441590360737,4.119812414480247
40,136.64500427246094,288.3266296386719,2.110041498946921,2.4754892883384616
41,135.9550018310547,289.296630859375,2.1278851602596514,0.026228487808065193
42,135.3350067138672,285.82666015625,2.1119935417785927,2.1670245945699196
43,135.61000061035156,287.86334228515625,2.122729452028206,0.7198872721131795
44,136.57000732421875,290.3333435058594,2.125893885445907,0.307993447801731
45,134.77000427246094,294.3833312988281,2.1843386656253356,-7.600925268084371
46,133.85499572753906,289.1700134277344,2.160322906560305,-4.349245609372748
47,132.55999755859375,288.6999816894531,2.177881615921446,-6.655491652612103
48,131.89999389648438,287.1666564941406,2.177154433528709,-6.537113247787193
49,132.25,288.6750183105469,2.182797870023039,-7.295115571887425
50,131.75,287.8899841308594,2.185123219209559,-7.5820048312043475
51,132.22000122070312,288.163330078125,2.1794231388420537,-6.847740128805231
52,134.9199981689453,286.57666015625,2.1240487996257005,0.5273098211921581
53,135.9199981689453,285.64666748046875,2.101579394707001,3.6011493749822523
54,135.40499877929688,283.010009765625,2.0901001611241594,5.133727256151769
55,136.2899932861328,287.9049987792969,2.1124441482277962,2.136030953015062
56,136.1699981689453,289.8299865722656,2.128442318201953,-0.04620799731241165
57,135.77999877929688,291.7416687011719,2.148635081190289,-2.7939891001417902
58,135.67999267578125,293.2966613769531,2.161679519528057,-4.5633795487268465
59,135.4199981689453,287.6666564941406,2.1242553565482822,0.5092369223059552
60,134.9600067138672,285.4800109863281,2.1152933964473117,1.709731185238478
61,134.8000030517578,284.1700134277344,2.108086105299452,2.6767053923490596
62,135.55999755859375,285.73333740234375,2.107799812248004,2.7426932685238046
63,135.27999877929688,284.0482482910156,2.099706171304949,3.8275078710100376
64,134.2449951171875,280.8800048828125,2.0922940526581404,4.776861909472256
65,134.0500030517578,279.7933349609375,2.0872310972861894,5.445498700639302
66,131.85000610351562,281.02972412109375,2.131435048250638,-0.5073470486349163
67,131.24000549316406,277.5433349609375,2.11477692276837,1.671294207435675
68,131.76499938964844,279.3999938964844,2.120441658943568,0.9401417978405209
69,132.29010009765625,282.4483337402344,2.135067805767262,-0.982462532406704
70,131.8000030517578,280.2966613769531,2.126681751796931,0.11851680910383378
71,130.92999267578125,277.8066711425781,2.12179551426772,0.7433380151061999
72,131.17999267578125,279.5199890136719,2.1308126590959744,-0.43401813648533905
73,126.51000213623047,279.0975646972656,2.206130424349558,-10.023338458625847
74,124.49500274658203,279.7361755371094,2.2469671020171886,-14.981799449157098
75,124.52999877929688,276.6199951171875,2.221312116186864,-11.790592893756799
76,124.66999816894531,272.7933349609375,2.188123357403634,-7.663795483085881
77,125.20829772949219,272.44000244140625,2.17589414904436,-6.156431131242687
78,125.3550033569336,270.4599914550781,2.157552424812077,-3.8619057435379784
79,124.45999908447266,268.1933288574219,2.1548556229330798,-3.513995261201661
