,amd,ibm,Ratio,Spread
0,114.36000061035156,136.69509887695312,1.1953051604354386,47.23100189312866
1,115.51499938964844,135.66000366210938,1.174392973889988,50.14007753075374
2,114.91000366210938,135.25999450683594,1.1770950326010372,49.558483787741224
3,111.21990203857422,133.80999755859375,1.203111989005211,45.021307134996405
4,110.70999908447266,134.11000061035156,1.2113630360345726,43.893988790242005
5,107.7699966430664,133.2899932861328,1.236800570084348,39.94385512653811
6,106.37999725341797,133.49000549316406,1.2548412195872194,37.48857504341014
7,104.58999633789062,133.56500244140625,1.277034201338992,34.50930950840724
8,103.1500015258789,132.2050018310547,1.2816771679628747,33.53292489049092
9,103.45339965820312,132.39999389648438,1.2798032189750856,33.8301949559616
10,102.48999786376953,133.02000427246094,1.297882789004173,31.647069419690226
11,102.56999969482422,132.50999450683594,1.2918981661410935,32.28688180317981
12,101.37999725341797,133.4720001220703,1.3165516249564742,29.394102477851234
13,103.7605972290039,133.2899932861328,1.2845916161407236,33.4386222693761
14,103.43319702148438,133.47999572753906,1.2904947306212877,32.71741443597831
15,102.9104995727539,133.6699981689453,1.2988956299298264,31.679337690497945
16,100.84989929199219,132.67779541015625,1.3155967070032693,29.328225586499073
17,103.11109924316406,133.75360107421875,1.29717947006647,31.92120686528493
18,105.23999786376953,134.5,1.2780311927990229,34.628936557310126
19,110.15499877929688,132.8730926513672,1.20623752098248,44.230411203111586
20,111.1729965209961,132.6199951171875,1.1929155394506339,46.1352055811107
21,111.76000213623047,133.39999389648438,1.1936291280119673,46.30762082226984
22,111.30000305175781,133.42999267578125,1.1988318869473196,45.53127555823998
23,112.49150085449219,133.22000122070312,1.1842672576039612,47.67446694056865
24,112.48999786376953,132.6300048828125,1.1790382025203114,48.26202468264397
25,114.25,133.55999755859375,1.1690152959176696,50.18762770658897
26,115.22000122070312,133.00250244140625,1.1543351938231703,52.31894552407253
27,115.44000244140625,133.5449981689453,1.1568346790076394,52.13340080633161
28,115.04000091552734,133.7449951171875,1.162595567218354,51.28440314742541
29,115.16000366210938,134.0500030517578,1.1640326397094736,51.174099139652
30,113.5199966430664,134.74000549316406,1.1869274971599793,47.82319254665744
31,115.4541015625,135.75,1.1757919221822795,49.95127473703677
32,116.81999969482422,135.5,1.159904129035907,52.41743842947584
33,124.86000061035156,135.34230041503906,1.0839524247432886,65.62000402201333
34,122.16999816894531,136.36000061035156,1.1161496492926464,60.23778673561081
35,122.41000366210938,136.25999450683594,1.1131442727749354,60.72720069272022
36,124.2571029663086,136.3249969482422,1.0971203552460556,63.65910872173849
37,122.30000305175781,136.42999267578125,1.1155354805514075,60.378727018875836
38,122.80000305175781,137.18899536132812,1.1171742015633797,60.430972126994234
39,122.80000305175781,137.24000549316406,1.117589593506118,60.3799619951583
40,124.62000274658203,136.5399932861328,1.0956507003437512,64.03291567598474
41,123.35140228271484,137.32000732421875,1.1132423692232425,61.19460298318883
42,121.83989715576172,137.07000732421875,1.1250010097184067,58.99219258447992
43,122.4000015258789,137.5399932861328,1.1236927415973346,59.430973491525535
44,121.71859741210938,138.5699005126953,1.1384447689906543,57.2954910971831
45,121.61000061035156,138.1300048828125,1.1358441262194579,57.55918889541566
46,120.08000183105469,137.7899932861328,1.1474849365841533,55.41678422406507
47,122.5083999633789,137.25,1.120331340879709,59.89684276417562
48,121.05000305175781,136.50999450683594,1.1277157460993028,58.27060570365798
49,121.375,137.5800018310547,1.1335118585462796,57.72790449385808
50,122.77999877929688,137.52000427246094,1.1200521716868554,60.06750637206578
51,123.76000213623047,137.75999450683594,1.113122108346401,61.41756725988465
52,124.52269744873047,137.75,1.1062240284082794,62.66503154572952
53,123.5999984741211,137.1199951171875,1.1093850874593432,61.79796141380389
54,126.44000244140625,136.83999633789062,1.0822524018955462,66.68585409802215
55,125.83999633789062,137.30999755859375,1.0911475012277116,65.24234562199352
56,124.43000030517578,137.3000030517578,1.1034316701359574,62.964627787596086
57,125.84649658203125,137.41000366210938,1.0918858084582483,65.15288613591265
58,125.72000122070312,137.8000030517578,1.0960865551524144,64.55764858069155
59,124.8949966430664,137.61000061035156,1.1018055511352707,63.40908473535474
60,123.70999908447266,137.24000549316406,1.1093687374409626,61.856426542726425
61,123.36299896240234,136.74159240722656,1.1084489965171944,61.79183346180169
62,125.97000122070312,136.64999389648438,1.0847820320099035,66.11328163279761
63,126.30999755859375,136.82000732421875,1.0832080592888107,66.49491076299931
64,127.54000091552734,136.80999755859375,1.072683052975718,68.5005955476508
65,126.31999969482422,136.91000366210938,1.0838347371189794,66.42114284700652
66,127.52999877929688,136.64999389648438,1.0715125476710037,68.64437078786237
67,128.22000122070312,137.02000427246094,1.0686320618310594,69.39388632831474
68,129.2429962158203,137.5,1.0638874370444915,70.57369546621455
69,131.0198974609375,137.27499389648438,1.0477415763312727,73.68171599905493
70,130.94000244140625,137.36000061035156,1.0490300752195125,73.46707996854862
71,131.75660705566406,137.5399932861328,1.0438944684422953,74.61202467599442
72,132.4199981689453,137.8800048828125,1.041232493500726,75.34836223328783
73,132.44369506835938,137.67999267578125,1.039536027779346,75.58682255505182
74,132.89999389648438,137.80999755859375,1.0369451007344197,76.19716050737621
75,130.6750030517578,136.2100067138672,1.0423570195741039,74.18711352468311
76,130.0950927734375,135.66000366210938,1.0427757171314929,73.7962147088186
77,130.15499877929688,135.08999633789062,1.0379163121269126,74.46341926319876
78,127.52999877929688,134.22000122070312,1.0524582647647003,71.07436346364362
79,127.6500015258789,133.72999572753906,1.0476301929414982,71.75907288360459
