,jnj,lly,Ratio,Spread
0,177.98379516601562,289.19500732421875,1.6248389751127068,52.115103160906074
1,177.77999877929688,288.7950134277344,1.6244516560395297,52.12428750530415
2,177.24000549316406,288.2200012207031,1.6261565802750972,51.66378314758691
3,176.94920349121094,288.04998779296875,1.627868236249372,51.27614095659857
4,176.92999267578125,288.0899963378906,1.6282711143599415,51.19929284698094
5,177.5500030517578,288.9519958496094,1.6274401063534571,51.526254441126355
6,177.75999450683594,288.57000732421875,1.6233686782270997,52.310932473540845
7,178.0,288.6099853515625,1.6214044120874298,52.73120028662578
8,179.6999969482422,290.20001220703125,1.6149138404861278,54.40116766651818
9,179.00999450683594,290.6300048828125,1.6235406614221983,52.64799380285575
10,178.5850067138672,288.8299865722656,1.6173249473010651,53.633035500291896
11,179.02000427246094,289.2650146484375,1.6158250907434248,54.03217923535658
12,178.72000122070312,288.44500732421875,1.6139492242282112,54.276886574282685
13,179.66000366210938,290.0299987792969,1.6143270225284134,54.49448808466752
14,179.60000610351562,290.1700134277344,1.615645899591394,54.23941929136606
15,179.86000061035156,288.2699890136719,1.602746514152302,56.63802142016334
16,180.00999450683594,289.75,1.6096328472972463,55.44564579599512
17,179.8699951171875,290.1000061035156,1.6128315671244218,54.82717026747264
18,179.82000732421875,290.19000244140625,1.6137803949601024,54.64131498284388
19,178.71499633789062,289.05999755859375,1.6174356012747662,53.6522987408448
20,177.22999572753906,286.4700012207031,1.616374248866439,53.394587949461084
21,175.98500061035156,289.9700012207031,1.647697248146311,47.50712666061537
22,176.4499969482422,290.2550048828125,1.6449703026515357,48.113821882174534
23,176.27999877929688,290.44500732421875,1.6476344981591293,47.59782294332945
24,176.9499969482422,291.04998779296875,1.6448148788502142,48.27766252718175
25,178.10000610351562,292.30999755859375,1.6412688800734616,49.2229644950163
26,177.89849853515625,291.635009765625,1.6393337333760136,49.51153188181172
27,178.1999969482422,292.6700134277344,1.642368229179823,49.05469578032472
28,176.47940063476562,293.375,1.6623753194128112,45.050212659481645
29,176.24000549316406,292.6400146484375,1.6604630363552066,45.32612260952561
30,176.35000610351562,292.8450012207031,1.6605896857684606,45.33207838983486
31,176.5800018310547,292.3349914550781,1.6555385005306185,46.28313879776266
32,176.61000061035156,292.6600036621094,1.657097574603348,46.01565366316339
33,176.1199951171875,291.7250061035156,1.6563991266829547,46.01099360374678
34,176.4499969482422,291.3699951171875,1.6512893179740582,46.998831647799534
35,178.98500061035156,293.2799987792969,1.6385730523741724,49.95007043300228
36,178.97000122070312,294.7699890136719,1.647035743438175,48.43131666241129
37,178.4499969482422,293.42999267578125,1.6443261288532718,48.77412830985958
38,179.06500244140625,293.55999755859375,1.639404649463273,49.8234869338483
39,178.35499572753906,292.8039855957031,1.641692089427089,49.21795657357882
40,178.07940673828125,292.8500061035156,1.6444911372257085,48.64345363687818
41,177.66000366210938,292.54998779296875,1.6466845759463566,48.139204850341855
42,180.02000427246094,297.2799987792969,1.6513720237966583,47.93484221482413
43,180.13999938964844,299.3999938964844,1.6620406068108886,46.04495538736455
44,180.63999938964844,300.0050048828125,1.6607894480540186,46.39876795619989
45,181.1999969482422,301.67498779296875,1.6648730291046248,45.802662746071064
46,180.99000549316406,301.5299987792969,1.66600358930143,45.54496225271902
47,181.38999938964844,303.3500061035156,1.672363455120157,44.4920020682419
48,182.2899932861328,306.1600036621094,1.6795217232881408,43.40787520455331
49,181.55999755859375,311.8599853515625,1.7176690325241817,36.30801931763392
50,182.3800048828125,311.54998779296875,1.70824640559229,38.1905015519626
51,182.38189697265625,310.3999938964844,1.701923266775876,39.34412380906832
52,182.41000366210938,311.30999755859375,1.7066498070755742,38.488018858769635
53,181.9199981689453,308.55999755859375,1.69613017075803,40.29836124075922
54,181.74000549316406,308.3399963378906,1.6965994663705921,40.17320002687046
55,181.8699951171875,308.5199890136719,1.696376517824602,40.24248157797024
56,180.91000366210938,309.07000732421875,1.7084185565629493,37.85153842765425
57,182.36000061035156,310.3500061035156,1.7018535044131755,39.35212210613685
58,182.8699951171875,310.7099914550781,1.699075844869836,39.97012624689086
59,183.0,311.8900146484375,1.704317019936817,39.03940654138529
60,182.19000244140625,311.0299987792969,1.7071737999417755,38.34613293291676
61,182.52000427246094,311.32000732421875,1.7056760904930106,38.688951445719454
62,182.24000549316406,311.7799987792969,1.7108208372556921,37.69202114062762
63,181.3000030517578,309.32000732421875,1.7061224606593834,38.349419630242835
64,181.4199981689453,309.5299987792969,1.7061514822144943,38.36953646489269
65,180.72000122070312,310.54998779296875,1.7184040819793467,36.007200326186535
66,180.3800048828125,310.3500061035156,1.7205344145829287,35.55518902076193
67,180.50999450683594,310.2200012207031,1.7185752072523333,35.93446813045546
68,180.02999877929688,308.57000732421875,1.7139921647308467,36.6639996070553
69,179.91000366210938,309.20001220703125,1.7186371291934528,35.80388643451488
70,179.0164031982422,305.3949890136719,1.7059609262480737,37.895299280552535
71,180.5399932861328,308.3999938964844,1.7082087369290515,37.81200252710619
72,180.39999389648438,308.8599853515625,1.7120842339317925,37.08354164702121
73,180.3249969482422,309.2449951171875,1.71493137585328,36.554714200316255
74,180.47000122070312,307.6099853515625,1.7044937289903124,38.46779099001105
75,179.4600067138672,306.8800048828125,1.7100189089600617,37.26095841128108
76,179.88999938964844,307.95001220703125,1.7118795555721809,37.01552529923595
77,179.6699981689453,303.32501220703125,1.6882340696737361,41.218640594086196
78,180.07000732421875,302.95001220703125,1.6824012877478547,42.36071699480061
79,180.0850067138672,303.010009765625,1.6825943219530233,42.32948297242285
