,adi,klac,Ratio,Spread
0,170.02999877929688,427.93499755859375,2.516820564787887,-54.122785097153844
1,169.92999267578125,428.5050048828125,2.5216561134112485,-54.913957321596236
2,170.57000732421875,433.9800109863281,2.5442926209261443,-58.97356205572215
3,169.72999572753906,433.9200134277344,2.5565311044035446,-60.77126192193936
4,169.76499938964844,437.19000244140625,2.5752658322576725,-63.9638398460304
5,170.77000427246094,441.0899963378906,2.582947738492401,-65.6412513518634
6,172.0,445.3500061035156,2.5892442215320677,-67.18110831887277
7,169.8000030517578,427.9200134277344,2.520141376542245,-54.61643974277764
8,168.24000549316406,422.010009765625,2.508380860596038,-52.1563925559907
9,168.02000427246094,424.4200134277344,2.526008824160578,-55.05293200257126
10,167.97999572753906,422.94000244140625,2.5177998166365496,-53.661400474343004
11,167.77000427246094,419.2699890136719,2.4990759869849635,-50.45578609404186
12,167.24000549316406,417.5400085449219,2.496651487864181,-49.89790535741998
13,166.50999450683594,412.70001220703125,2.4785299731067383,-46.6723385521047
14,167.08999633789062,414.57000732421875,2.48111805859324,-47.25965148705229
15,164.0,400.9800109863281,2.4450000669898055,-40.50322537874457
16,164.77999877929688,406.4700012207031,2.4667435625189023,-44.268237375458405
17,165.3300018310547,403.0400085449219,2.4377911091828044,-39.6219052384991
18,164.625,397.4800109863281,2.4144571662039676,-35.62102911491184
19,164.75999450683594,397.2838134765625,2.4112880961529717,-35.12628936036766
20,163.0399932861328,393.1600036621094,2.4114328989950296,-34.806286363584384
21,163.9499969482422,402.3550109863281,2.45413247011739,-41.988807828856416
22,164.57000732421875,404.4700012207031,2.4577382464585926,-42.73263642289164
23,164.4600067138672,403.2900085449219,2.452207175490263,-41.79591163934601
24,164.00999450683594,399.885009765625,2.43817464275909,-39.38612116602946
25,163.1300048828125,395.8699951171875,2.426714787396519,-37.31721591045085
26,160.94000244140625,389.7099914550781,2.4214613243650263,-36.00043335601561
27,158.6300048828125,383.2799987792969,2.416188532947748,-34.679032672156104
28,158.25,375.3599853515625,2.3719430353969195,-27.59940537124033
29,162.1999969482422,385.80999755859375,2.3786066881475048,-29.31394393985375
30,161.1999969482422,379.9100036621094,2.3567618539353337,-25.62546406550178
31,160.33999633789062,380.1700134277344,2.371024211741826,-27.787377239961707
32,160.11000061035156,379.17999267578125,2.3682467755313104,-27.30599526449175
33,159.50999450683594,375.1700134277344,2.352015712793822,-24.622937927734718
34,159.55999755859375,373.5199890136719,2.34093754530491,-22.862331063560426
35,156.27999877929688,375.5799865722656,2.4032505087402165,-32.17609191514641
36,155.5399932861328,377.0,2.4238139145760877,-35.23263786746811
37,152.36000061035156,369.760009765625,2.426883750881942,-35.025246025861755
38,154.6199951171875,374.4649963378906,2.421840694368676,-34.73222305631743
39,156.8865966796875,378.7349853515625,2.41406846325323,-33.98959093193333
40,159.58999633789062,382.94000244140625,2.3995238500452727,-32.216001770232886
41,161.49000549316406,391.5299987792969,2.424484398174539,-36.60410121905637
42,158.33999633789062,381.2099914550781,2.407540736843221,-33.25038331157027
43,157.39999389648438,376.1499938964844,2.3897713372458136,-30.26921433298515
44,156.99000549316406,372.3800048828125,2.371998164552121,-27.405920422167817
45,157.22500610351562,373.8999938964844,2.37812039676635,-28.406202290837548
46,159.24000549316406,377.5150146484375,2.3707297263604006,-27.565023637994905
47,157.07000732421875,372.7449951171875,2.373113756516096,-27.59398548536911
48,155.77999877929688,369.9100036621094,2.3745667387389293,-27.61186601605636
49,161.44500732421875,386.8599853515625,2.396233812140493,-32.03360187291481
50,161.6300048828125,390.32000732421875,2.414898196700635,-35.084499150680706
51,162.97999572753906,393.0899963378906,2.411891070331335,-34.86896448148941
52,163.61000061035156,393.5199890136719,2.405231877914766,-33.905692524918955
53,163.67999267578125,395.4599914550781,2.4160557743817153,-35.69090653218945
54,159.60499572753906,380.92999267578125,2.386704695171729,-30.17282064407693
55,159.80999755859375,381.1499938964844,2.3850197091501557,-29.939457440839824
56,159.58999633789062,363.8999938964844,2.2802180728547676,-13.175993225311013
57,158.25999450683594,364.6000061035156,2.3038039855850427,-16.817323131181475
58,157.41000366210938,366.25,2.3267263291993756,-20.34708369946282
59,154.82000732421875,359.8299865722656,2.324182725419474,-19.654883490245204
60,154.86000061035156,360.1300048828125,2.3255198467223805,-19.866456087718184
61,154.7050018310547,363.93499755859375,2.352444932297847,-24.01423073732787
62,154.58999633789062,361.010009765625,2.3352740689414198,-21.34357920511372
63,152.38999938964844,348.5400085449219,2.2871580152299518,-13.738902084096717
64,155.16000366210938,354.7099914550781,2.286091667202632,-13.782981704338917
65,155.4600067138672,358.6000061035156,2.3067026284357426,-17.009535397131465
66,155.71499633789062,359.1000061035156,2.3061363038168383,-16.94562226810536
67,153.77000427246094,354.20001220703125,2.303440218284925,-16.347005597255027
68,156.22000122070312,361.44000244140625,2.3136602203118293,-18.168793226410806
69,158.5500030517578,366.6499938964844,2.3125196268636676,-18.22595296051731
70,161.21499633789062,376.9201965332031,2.337997116243552,-22.602485576064574
71,160.73599243164062,379.20001220703125,2.359148106596605,-25.9416251052208
72,161.4600067138672,382.3399963378906,2.3680167251290776,-27.480441498711976
73,161.8350067138672,380.2449951171875,2.349584325655083,-24.556122519709227
74,161.9600067138672,384.9599914550781,2.3768830297419186,-28.994679604833273
75,162.16000366210938,382.9849853515625,2.361772179961115,-26.577377445896396
76,163.97000122070312,389.260009765625,2.3739708902098635,-28.849566879103357
77,162.49000549316406,381.0950012207031,2.3453442571071594,-23.957589638330155
78,163.2899932861328,382.0799865722656,2.3398861062033816,-23.173390768207533
