,fcx,apd,Ratio,Spread
0,39.59000015258789,294.9599914550781,7.45036600955399,-19.228983104037756
1,39.68000030517578,295.8999938964844,7.457157046893665,-19.525921727701476
2,39.744998931884766,296.42999267578125,7.458296657242459,-19.59149612728766
3,39.970001220703125,295.9700012207031,7.404803407096233,-17.52383149957757
4,39.85499954223633,295.5799865722656,7.416384141694063,-17.95552010691438
5,39.92499923706055,296.1199951171875,7.416906719495009,-17.995370933208907
6,40.150001525878906,297.19000244140625,7.4019923075183645,-17.45770508479575
7,40.904998779296875,299.54998779296875,7.323065560011191,-14.423128291656045
8,40.85960006713867,299.4649963378906,7.329122063011461,-14.662517055072957
9,40.88999938964844,299.82000732421875,7.332355387613923,-14.800320583104568
10,41.14310073852539,299.7449951171875,7.285425496297454,-12.916863445653409
11,41.10499954223633,300.4599914550781,7.309572918164093,-13.904098219165295
12,40.904998779296875,300.1300048828125,7.337245173925208,-15.003145381499795
13,41.119998931884766,299.4200134277344,7.281615301686251,-12.756947431623022
14,41.58000183105469,299.4599914550781,7.202019679359938,-9.510139692420982
15,41.789798736572266,300.3699951171875,7.187639189425415,-8.921114795873851
16,41.974998474121094,300.5199890136719,7.1594997007314225,-7.74783037728253
17,41.89500045776367,300.19000244140625,7.165294167833748,-7.989440944926121
18,41.959999084472656,300.6868896484375,7.166036611275977,-8.021903772246677
19,41.85499954223633,301.67999267578125,7.207740914471944,-9.765243377531423
20,41.9900016784668,302.2300109863281,7.197666084907945,-9.350652333188865
21,42.130001068115234,303.07000732421875,7.193686200819675,-9.190333233824791
22,41.82500076293945,303.80999755859375,7.263837226939049,-12.109593780740969
23,41.86000061035156,303.5899963378906,7.2525081679720715,-11.639513700724141
24,41.9900016784668,303.510009765625,7.228149503058253,-10.63065111248574
25,41.939998626708984,303.760009765625,7.242728176251753,-11.2379299885493
26,42.025001525878906,303.5299987792969,7.2226053006181035,-10.400561266843912
27,42.0,304.0,7.238095238095238,-11.049201925578874
28,41.970001220703125,305.1449890136719,7.270549919906811,-12.408536459647738
29,41.849998474121094,304.3500061035156,7.272401844691045,-12.470990144182455
30,41.86800003051758,304.6000061035156,7.275246151750567,-12.592366478013393
31,42.0,304.989990234375,7.261666434151786,-12.039192159953874
32,42.0099983215332,305.3699951171875,7.268983749534287,-12.347757621484508
33,42.06999969482422,305.57000732421875,7.263370799639259,-12.119051531170275
34,41.98500061035156,305.45001220703125,7.275217524510917,-12.606386892808647
35,42.334999084472656,305.17510986328125,7.208577216556769,-9.830695955921957
36,41.96500015258789,304.45001220703125,7.254855501013419,-11.74929299192377
37,41.8650016784668,303.30999755859375,7.244953670086697,-11.323781582510609
38,41.810001373291016,302.34259033203125,7.231346099050194,-10.749359314376935
39,41.70000076293945,303.2900085449219,7.273141558656,-12.482747444125213
40,41.650001525878906,304.0849914550781,7.300959911517345,-13.634981973793689
41,41.619998931884766,303.8999938964844,7.301778032090936,-13.664357192148376
42,41.540000915527344,303.7099914550781,7.311265882556916,-14.045951890651342
43,41.779998779296875,303.70001220703125,7.269028747734738,-12.32115396632543
44,41.63169860839844,304.1099853515625,7.304770055435928,-13.790752804009575
45,41.790000915527344,305.4200134277344,7.308447158091677,-13.96968850919524
46,41.79499816894531,304.6029968261719,7.288025126712393,-13.116965825267531
47,41.935001373291016,304.0350036621094,7.250148890080959,-11.548629967398941
48,41.72999954223633,304.3500061035156,7.293314388740235,-13.328399482321974
49,41.95500183105469,300.2200012207031,7.155761842881941,-7.590721426877512
50,41.599998474121094,297.8634033203125,7.160178227064361,-7.770672715091625
51,41.505001068115234,296.8599853515625,7.152390741163353,-7.446024646449364
52,41.41999816894531,297.0799865722656,7.172380485400447,-8.273383602529751
53,41.525001525878906,296.92999267578125,7.150631710169372,-7.373125871552934
54,41.599998474121094,296.7900085449219,7.134375467094109,-6.697277939701
55,41.47999954223633,295.8299865722656,7.131870536089124,-6.594665305184269
56,42.310001373291016,300.1499938964844,7.094067221797816,-4.984192170605415
57,41.56999969482422,299.2900085449219,7.199663477076854,-9.411623460098046
58,42.02009963989258,299.36358642578125,7.124295015749433,-6.269173581907926
59,42.064998626708984,299.54998779296875,7.121122015270216,-6.1347653388369325
60,41.974998474121094,299.1499938964844,7.126861340588726,-6.37783526009503
61,42.23500061035156,299.5050048828125,7.091393407234982,-4.875094214477547
62,42.13999938964844,299.54998779296875,7.108447843654983,-5.598874281292926
63,43.46500015258789,304.92999267578125,7.015529543432564,-1.5115613359998337
64,42.970001220703125,307.19000244140625,7.148940975440346,-7.3084084709328225
65,43.30500030517578,307.69000244140625,7.105184165178989,-5.414792637994656
66,42.90449905395508,308.0199890136719,7.179200219219844,-8.606417287697074
67,42.25,307.5199890136719,7.2785796216253695,-12.782905585138398
68,41.75,306.17999267578125,7.333652519180389,-15.015479955472419
69,41.70000076293945,304.25,7.296162936054423,-13.442738899203338
70,40.654998779296875,299.1700134277344,7.358751012435979,-15.829439280533965
71,40.599998474121094,298.7998962402344,7.359603632268431,-15.852307051462791
72,40.900001525878906,299.9700012207031,7.334229585074741,-14.87884780175563
73,40.665000915527344,299.0299987792969,7.353497898609824,-15.617957954263208
74,40.86000061035156,298.8900146484375,7.3149782228029645,-14.084673427720308
75,40.79999923706055,298.7049865722656,7.321200788183788,-14.328363648893916
76,40.529998779296875,298.05999755859375,7.354058883190635,-15.612566088449515
77,40.83000183105469,295.239990234375,7.230957065738358,-10.648994534054854
78,40.9900016784668,296.0400085449219,7.222249241830113,-10.305791308231907
79,41.400001525878906,294.989990234375,7.125361820336611,-6.326266107202859
