,googl,dis,Ratio,Spread
0,131.3834991455078,148.0800018310547,1.1270821891191634,-18.234382758529232
1,132.7344970703125,149.39999389648438,1.1255551284256102,-18.208950264397185
2,133.71774291992188,148.0,1.1068089901026164,-15.829766770458132
3,134.65750122070312,149.39999389648438,1.1094814068443046,-16.293879216120967
4,134.52099609375,149.99000549316406,1.1149932713004402,-17.019832805705942
5,133.677001953125,149.50999450683594,1.118442157756223,-17.380334172560918
6,133.9510040283203,148.97999572753906,1.1121976786082266,-16.577463677793457
7,133.8939971923828,148.69000244140625,1.110505366627931,-16.344242053352342
8,134.46701049804688,149.52000427246094,1.111945626802142,-16.60359447019159
9,133.47850036621094,147.35000610351562,1.1039231464186883,-15.418028463819677
10,135.60000610351562,149.35000610351562,1.1014011753768167,-15.305274720964388
11,134.41299438476562,147.83999633789062,1.099893630184961,-14.977379812491915
12,133.8385009765625,147.66000366210938,1.1032700051532052,-15.369510547495718
13,133.2104949951172,146.83999633789062,1.1023155220861016,-15.174918448182165
14,133.97454833984375,147.89999389648438,1.1039409778140616,-15.474014664193174
15,135.07350158691406,148.4600067138672,1.0991053387206333,-14.939607822395327
16,135.62399291992188,146.49000549316406,1.0801186599752888,-12.42138624868046
17,135.2740020751953,146.1300048828125,1.0802519526374523,-12.409932641600516
18,134.56300354003906,145.25,1.079420020204744,-12.237993162478357
19,133.3905029296875,143.91000366210938,1.0788624414885586,-12.065660437021602
20,134.06356811523438,145.47000122070312,1.0850822730278546,-12.955369452461849
21,133.93174743652344,145.55999755859375,1.0868222086595374,-13.176642660094114
22,134.09950256347656,145.64999389648438,1.0861337373532787,-13.099575922867313
23,134.19924926757812,146.9600067138672,1.0950881433088016,-14.310253528130556
24,134.64524841308594,147.63999938964844,1.0965110253032855,-14.546086969546945
25,134.0437469482422,147.66000366210938,1.1015806930488505,-15.165111291228254
26,134.64999389648438,148.1300048828125,1.100111486055404,-15.031366556183666
27,134.56149291992188,147.80340576171875,1.0984078918452338,-14.792903312448583
28,134.82150268554688,147.6199951171875,1.0949291632024856,-14.350555538573968
