,goog,msft,Ratio,Spread
0,142.80299377441406,320.7940979003906,2.2464101726547074,8.740305736629521
1,142.40150451660156,316.9402160644531,2.225680249238542,11.66117114168412
2,144.2205047607422,324.2517395019531,2.248305399012975,8.576802186000405
3,146.94900512695312,330.1068420410156,2.2464040621154773,9.062431369662248
4,147.1425018310547,331.5830078125,2.2534821936982916,8.03593044159629
5,148.06399536132812,339.27099609375,2.291380799672531,2.489390749486175
6,146.447998046875,338.0821228027344,2.308547247566479,-0.07713418574792419
7,146.50450134277344,338.7756652832031,2.312390828801751,-0.6393692838983625
8,146.00250244140625,336.1700134277344,2.3024948737618125,0.799692895391614
9,144.67950439453125,333.1979064941406,2.303006966249569,0.6972993492320243
10,145.07449340820312,331.6424255371094,2.2860147069681713,3.1706908919213093
11,144.41650390625,325.95574951171875,2.2570533193582745,7.328272415467437
12,137.65350341796875,313.4429931640625,2.27704333984388,4.1245669777819085
13,137.55099487304688,310.9661865234375,2.2607338231936795,6.363155148405722
14,137.00450134277344,311.12469482421875,2.270908559754629,4.934656597089711
15,138.57400512695312,311.3525695800781,2.246832436536966,8.354134268418816
16,140.0175018310547,312.0559997558594,2.2286928110771935,11.005230064739747
17,141.6479949951172,315.3154296875,2.226049367648087,11.534885103394855
18,139.13099670410156,301.9704895019531,2.1704041274438097,19.030600891714016
19,139.7864990234375,307.32037353515625,2.198498250418511,15.204031424271646
20,136.29049682617188,299.8404235839844,2.20000976272328,14.559660664539704
21,135.65199279785156,300.5141296386719,2.215331477558886,12.402142183951694
22,133.50650024414062,298.8002014160156,2.2380947809253167,9.130184069683706
23,130.0919952392578,293.28192138671875,2.2544194271702214,6.713533809076521
24,130.3719940185547,293.6187438964844,2.2521611800667576,7.027397355357605
25,126.7354965209961,285.8119201660156,2.2551844432839347,6.38340490565548
26,129.24000549316406,293.95562744140625,2.274494080371689,4.059898238017125
27,129.12100219726562,297.0564880371094,2.300605501677248,0.6824872035614917
28,133.2895050048828,305.39837646484375,2.2912409829540294,2.0277361923520503
29,135.69850158691406,308.0931396484375,2.270424035972908,4.931213432977925
30,137.8784942626953,305.89373779296875,2.218574690917059,12.196676076200388
31,148.0364990234375,310.5500793457031,2.0977939994145367,31.146409063037368
32,142.65049743652344,298.45343017578125,2.0922004166763384,30.72658891387482
33,143.01600646972656,303.09991455078125,2.1193425969067388,26.92950692506247
34,138.93800354003906,298.15625,2.14596613167885,22.396345721357648
35,139.21299743652344,301.7326965332031,2.167417569403197,19.458954452572698
36,141.4530029296875,308.32098388671875,2.179670827065982,18.076191007161356
37,138.6024932861328,299.5729675292969,2.1613822408724963,20.199939636183103
38,134.1300048828125,292.30108642578125,2.1792371265561394,17.07825457066366
39,135.3000030517578,292.261474609375,2.160099541886728,19.83681214835019
40,136.42550659179688,297.6806945800781,2.1820017533141955,17.03313736457136
41,137.4875030517578,297.3332214355469,2.1626199824402543,19.8485722973748
42,132.30850219726562,288.6266784667969,2.1814673560166855,16.51969265201751
43,130.46749877929688,285.8468933105469,2.190943307605635,15.021190394962444
44,129.40249633789062,285.6384582519531,2.2073643579958877,12.754678098360783
45,127.58499908447266,278.24237060546875,2.1808392256306517,15.927104046490568
46,132.67349243164062,292.458740234375,2.2043494512294,13.53582763978744
47,134.51950073242188,295.1590576171875,2.1941730084495346,15.12542846190854
48,134.89100646972656,296.62835693359375,2.199022490058785,14.519467205805766
49,134.16799926757812,292.816162109375,2.182459034254485,16.65147361620103
50,134.75149536132812,298.0182189941406,2.2116134458843852,12.805396828613935
51,134.30799865722656,293.7791442871094,2.187354046104702,16.013834466489982
52,132.1219940185547,287.762939453125,2.17800935862891,16.950007378874204
53,126.4645004272461,276.8921813964844,2.1894854323627206,14.673378860179126
54,127.27850341796875,273.8543395996094,2.1516150193902073,19.602873174160152
55,133.86599731445312,286.4128112792969,2.1395486309081844,22.353005458743667
56,132.6820068359375,283.5238342285156,2.1368672436428806,22.49052017530755
57,130.47549438476562,278.0438232421875,2.1310041747935466,22.84284136214302
58,126.74099731445312,274.4400634765625,2.1653614007443687,17.768044827980816
59,129.66050720214844,285.07257080078125,2.198607555624753,13.920154133821141
60,133.6905059814453,292.26019287109375,2.1860953455562213,16.097801505606526
61,134.60049438476562,293.08416748046875,2.1774375259177403,17.388538848518067
62,136.80149841308594,298.2564697265625,2.180213471243911,17.33112543917946
63,136.47850036621094,296.9956970214844,2.1761354075884465,17.84128656745122
64,140.27749633789062,301.8602294921875,2.1518792206348456,21.80519867767481
65,138.5034942626953,297.32330322265625,2.1466844920080668,22.219541210854743
66,141.31199645996094,301.89996337890625,2.1364071766153696,24.169528144732567
67,141.52149963378906,301.48297119140625,2.1302980251873014,25.07338243302388
68,141.9499969482422,308.4522399902344,2.1729640480563184,19.09989378819597
69,143.25,313.12811279296875,2.185885604139398,17.445083651238804
70,142.64450073242188,311.5893249511719,2.184376708189146,17.57675846436831
71,139.64950561523438,306.0794677734375,2.191769075192825,16.12657972489029
72,140.6999969482422,307.18145751953125,2.1832371299377558,17.46581513021539
73,143.6425018310547,312.6912841796875,2.17687160968179,18.794042914094405
74,141.06300354003906,308.6308898925781,2.187893934960607,16.859969747541868
75,137.17599487304688,297.3332214355469,2.1675310006734176,19.124661897691226
76,136.46499633789062,299.189697265625,2.192428133913726,15.615904461751937
77,134.010498046875,294.821533203125,2.1999883404656893,14.280087183458418
78,129.79649353027344,283.1962585449219,2.1818482983815723,16.11248350856272
79,128.37449645996094,280.0193786621094,2.1812695386068786,15.984800179652892
