,qcom,txn,Ratio,Spread
0,175.67999267578125,184.1300048828125,1.0480988875188868,29.253387261457025
1,175.00999450683594,183.10000610351562,1.0462259976607433,29.464938090132794
2,175.52999877929688,183.6396942138672,1.0462011934767177,29.560470269681165
3,175.43499755859375,183.50999450683594,1.0460284268282627,29.574119578375704
4,175.9949951171875,183.66000366210938,1.0435524234073705,30.108185209314517
5,176.8350067138672,184.05499267578125,1.0408289404687645,30.739327014600978
6,176.74000549316406,184.24000549316406,1.0424352142519884,30.438263798881454
7,175.0399932861328,184.64500427246094,1.0548732367158349,27.956585453331716
8,176.3800048828125,184.39999389648438,1.0454699443908078,29.838510370190424
9,177.3300018310547,185.16000366210938,1.0441549751886567,30.238985948292626
10,177.8699951171875,185.72000122070312,1.0441333913476736,30.338626607935
11,178.94000244140625,186.0500030517578,1.0397339919154172,31.315710888824416
12,178.7899932861328,186.50999450683594,1.0431791571709954,30.672473133385157
13,179.58999633789062,186.36000061035156,1.037697001005131,31.79972471287562
14,178.64999389648438,184.85000610351562,1.0347047994338232,32.161442840152404
15,180.42999267578125,185.6199951171875,1.0287646325560311,33.56584238535805
16,180.1649932861328,185.77000427246094,1.0311104331873528,33.09211860305061
17,179.92999267578125,185.77999877929688,1.0325126790509953,32.79505500132487
18,179.24000549316406,185.27999877929688,1.0336977968144683,32.4521891223676
19,180.8300018310547,186.1300048828125,1.0293093126034998,33.54447078105605
20,181.3699951171875,186.9499969482422,1.0307658487141123,33.38411693386249
21,182.63999938964844,188.0500030517578,1.0296211327211382,33.835506703132495
22,183.1999969482422,187.8350067138672,1.0253002720678783,34.73457782723537
23,182.16000366210938,187.40499877929688,1.0287933410833505,33.894163821645776
24,182.44000244140625,187.65060424804688,1.028560632190926,33.9905957460019
25,183.34840393066406,187.9600067138672,1.0251521294123023,34.79086696540159
26,183.0399932861328,187.75,1.0257321180432102,34.62412927657334
27,182.74000549316406,187.3800048828125,1.0253912621766994,34.627669072318525
28,185.0,189.8000030517578,1.025945962441934,34.96840661619839
29,185.02499389648438,190.00999450683594,1.026942309281418,34.78894689136047
30,185.33999633789062,191.19000244140625,1.0315636463747986,33.99373568394455
31,184.9499969482422,190.9199981689453,1.032279001455587,33.787329398890535
32,186.05999755859375,191.36000061035156,1.0284854515817605,34.7032675657407
33,185.5500030517578,191.36500549316406,1.0313392742967737,34.07526999683631
34,186.3699951171875,191.8699951171875,1.0295111881960488,34.571955984155124
35,184.39500427246094,190.9376983642578,1.0354819487524154,33.09166821926979
36,183.8675994873047,190.82000732421875,1.037812033530106,32.565098744032554
37,184.54910278320312,190.8699951171875,1.034250463636281,33.347613190208165
38,184.0196990966797,190.84500122070312,1.0370900624092292,32.72590477858262
39,184.44180297851562,190.82000732421875,1.0345811212138611,33.266527035039445
40,185.1300048828125,191.03500366210938,1.031896497723504,33.89221573823181
41,184.88999938964844,191.1199951171875,1.033695687966387,33.51404138635988
42,185.95269775390625,191.7100067138672,1.0309611478053429,34.22218751408761
43,185.77999877929688,191.86000061035156,1.0327268913284773,33.86123017263458
44,185.6376953125,191.3699951171875,1.0308789645068466,34.17740238361293
45,185.88999938964844,191.3699951171875,1.0294797769946318,34.48560883020747
46,185.92999267578125,191.17999267578125,1.028236434178507,34.724465767926034
47,186.24000549316406,191.33999633789062,1.0273839706523944,34.94316367070698
48,186.17999267578125,190.7899932861328,1.0247609882463555,35.41985701853636
49,186.13999938964844,191.57000732421875,1.029171633997933,34.59098848413811
50,185.6750030517578,190.92999267578125,1.028302084489847,34.66297874470007
51,185.3000030517578,190.9010009765625,1.0302266477742055,34.233882652475984
52,185.0749969482422,190.80999755859375,1.0309874413341495,34.05002593972304
53,184.78500366210938,190.85499572753906,1.0328489430696932,33.650781413503495
54,183.88009643554688,190.14999389648438,1.0340977494708634,33.250378036887014
55,182.83999633789062,189.47999572753906,1.0363159020052573,32.649823788192776
56,183.6300048828125,189.39999389648438,1.0314218202921364,33.69487433808541
57,183.10000610351562,189.00999450683594,1.0322773796084916,33.437444473665835
58,183.0500030517578,188.77999877929688,1.0313028988364392,33.60635810108454
59,183.52999877929688,189.1199951171875,1.030458215959631,33.85270891714154
60,183.24000549316406,188.97000122070312,1.0312704407103548,33.64845645635171
61,183.60000610351562,189.07000732421875,1.0297930339807237,33.9882153782068
62,182.88999938964844,188.47000122070312,1.0305101528223337,33.72090039514907
63,185.50999450683594,189.8300018310547,1.023287194502394,35.56140052299341
64,185.6887969970703,189.47000122070312,1.0203631252115466,36.139820434294165
65,185.72000122070312,189.8699951171875,1.0223454332823996,35.77794460151017
66,184.95700073242188,189.52000427246094,1.0246706181543266,35.19587889011254
67,185.58580017089844,189.97000122070312,1.0236235802834455,35.51400286462297
68,185.61000061035156,190.11000061035156,1.0242443833047918,35.40356594393728
69,186.2100067138672,190.58999633789062,1.0235217736217248,35.656518138562745
70,186.17999267578125,190.89999389648438,1.0253518176301717,35.3098564081848
71,181.86000061035156,188.7100067138672,1.0376663701777515,32.222681925993186
72,183.10499572753906,189.1999969482422,1.0332869193245415,33.25353719452366
73,184.00999450683594,189.52000427246094,1.029944078746333,34.03904691581576
74,184.77999877929688,189.98500061035156,1.0281686430644021,34.51466272878699
75,186.86000061035156,191.0800018310547,1.0225837590009583,35.960524028043636
76,187.22000122070312,190.7899932861328,1.0190684330848883,36.69029759833623
77,191.83999633789062,191.22000122070312,0.9967681655075957,41.903925289656996
78,192.1699981689453,190.63999938964844,0.9920383056987294,42.88704661393817
79,193.01499938964844,190.8699951171875,0.9888868519066194,43.689276867621516
