,wmt,pep,Ratio,Spread
0,143.33999633789062,172.7100067138672,1.204897524252363,4.712993058323626
1,143.94000244140625,172.39999389648438,1.197721210034461,5.7708974417189935
2,144.0157928466797,172.21499633789062,1.1958063274437687,6.050365714121419
3,144.83999633789062,172.92999267578125,1.1939381182554076,6.36271699176833
4,144.82000732421875,173.0500030517578,1.1949315999158776,6.217790844684593
5,144.86380004882812,173.6199951171875,1.1985050444532501,5.702385239619495
6,144.72000122070312,173.72999572753906,1.2004560134199742,5.413143234677072
7,143.4600067138672,171.39999389648438,1.194758022271279,6.172595600712519
8,143.67999267578125,171.49000549316406,1.1935552215689282,6.3567906239199985
9,143.9011993408203,171.83999633789062,1.1941526347594862,6.282527972888651
10,143.94500732421875,171.8800048828125,1.1940671516009829,6.297124908003973
11,144.38999938964844,172.0800018310547,1.1917723011181853,6.651798671821801
12,144.3321990966797,172.22999572753906,1.1932887935295178,6.429758255525222
13,144.64999389648438,172.97000122070312,1.1957829831951832,6.085875483620065
14,143.77499389648438,173.10000610351562,1.203964621470579,4.865206495181631
15,143.63499450683594,174.1699981689453,1.212587494899484,3.6207089336386886
16,143.24000549316406,173.64999389648438,1.2123009441295476,3.6483699611527456
17,142.52499389648438,173.44859313964844,1.2169696584279373,2.9585278795831513
18,141.89999389648438,173.6199951171875,1.2235377208250113,2.0080801123112835
19,142.6699981689453,173.67999267578125,1.2173546989894461,2.907872292176698
20,141.94000244140625,173.22000122070312,1.220374793865524,2.4579435903551925
21,144.72999572753906,174.9600067138672,1.2088717741914228,4.19559013390252
22,145.35000610351562,174.67999267578125,1.2017886848341606,5.248430528780794
23,145.13999938964844,174.25999450683594,1.2006338379471178,5.406660943719935
24,144.77999877929688,174.61000061035156,1.2060367597911619,4.607923704531309
25,144.42999267578125,174.46429443359375,1.2079505870033103,4.3173566311696945
26,144.13999938964844,174.30999755859375,1.2093103808567935,4.110184628389611
27,143.9199981689453,173.82000732421875,1.207754374205691,4.325949223204837
28,144.52000427246094,174.69000244140625,1.2087600143718953,4.2038456720298925
29,143.52999877929688,174.37899780273438,1.2149306715376857,3.280834932682829
30,143.29640197753906,174.38330078125,1.2169412377052122,2.9853597863200534
31,143.33999633789062,174.51499938964844,1.2174899110382982,2.908000382542376
32,143.78500366210938,174.4600067138672,1.2133393766421092,3.5176827900562486
33,143.57000732421875,173.66000366210938,1.209584138767504,4.049698654867392
34,143.50999450683594,173.8800048828125,1.2116229638245155,3.754893061824923
35,143.63499450683594,174.25,1.213144474981736,3.540707102584001
36,143.22000122070312,173.82000732421875,1.2136573512268078,3.4534217426385894
37,144.25999450683594,173.77000427246094,1.2045612844122675,4.799748619855869
38,144.80999755859375,174.06430053710938,1.2020185309835296,5.191016454106851
39,145.11000061035156,174.3249969482422,1.2013299994142963,5.304265825980302
40,145.13999938964844,174.11000061035156,1.1996003950842602,5.55665484020431
41,144.8800048828125,174.08999633789062,1.2016150639883323,5.252582911218518
42,144.0684051513672,175.43499755859375,1.2177201335315047,2.8959443245461713
43,144.25,174.91000366210938,1.2125476856991984,3.6472913446538584
44,143.77999877929688,174.53329467773438,1.2138913350920526,3.438156373575957
45,144.25999450683594,174.6300048828125,1.2105227473479312,3.9397480095043065
46,144.5850067138672,174.5800018310547,1.2074557784303832,4.394870087661296
47,144.39999389648438,173.8300018310547,1.2038089278290949,4.914256557375374
48,144.64999389648438,174.1699981689453,1.2040788490705798,4.885878535377877
49,143.97999572753906,172.0399932861328,1.1948881677402823,6.180748613957512
50,144.3699951171875,172.52000427246094,1.194985177719398,6.18686143963577
51,144.1634979248047,173.36000061035156,1.2025235451818441,5.089471872437166
52,144.0279998779297,173.58999633789062,1.2052517321980176,4.690581452202132
53,143.9499969482422,173.24000549316406,1.203473491947716,4.9433437305929075
54,144.02499389648438,173.5500030517578,1.2049992043498647,4.726827862832572
55,144.19000244140625,174.1199951171875,1.207573286420768,4.362514536908996
56,143.77499389648438,173.3699951171875,1.2058424794092568,4.595217481509756
57,143.27999877929688,173.9600067138672,1.2141262436903608,3.388207705656889
58,143.6313934326172,173.83999633789062,1.2103203358494563,3.946222121959572
59,143.50999450683594,173.72999572753906,1.210577676659751,3.9049022170983605
60,143.61000061035156,173.52999877929688,1.2083420238269162,4.2295540995668475
61,143.32000732421875,173.5800018310547,1.211135870502586,3.8180821700289513
62,143.44000244140625,173.94000244140625,1.2126324559458854,3.607652265010863
63,143.88999938964844,174.08999633789062,1.2098825288508188,4.018567533199608
64,144.57000732421875,174.35000610351562,1.2059901588889803,4.606169477033653
65,144.52000427246094,173.72999572753906,1.2021172888980065,5.16385238589708
66,144.91000366210938,174.27000427246094,1.2026085147220829,5.109967652981588
67,144.83999633789062,174.02999877929688,1.201532747717766,5.262710888252705
68,145.27999877929688,174.30999755859375,1.1998210285188535,5.531163388075377
69,145.52999877929688,174.19000244140625,1.1969353666083213,5.962776821156005
70,145.11000061035156,174.28500366210938,1.2010543927299562,5.344259112113114
71,144.89999389648438,174.9600067138672,1.2074535133442275,4.40748830634913
72,145.1699981689453,175.5050048828125,1.2089619556140245,4.1990432440767265
73,145.05999755859375,175.38499450683594,1.209051409476228,4.181940800273416
74,144.38999938964844,175.16000366210938,1.21310343100304,3.5717968407671137
75,144.7100067138672,175.2100067138672,1.2107663505282475,3.9206743627953458
76,145.0399932861328,175.64999389648438,1.2110452428797662,3.8920066198451977
77,143.2100067138672,173.74000549316406,1.2131834183926522,3.520965688139704
78,143.58999633789062,174.69000244140625,1.216588946978815,3.0446156466776912
