,hon,noc,Ratio,Spread
1657,208.3000030517578,525.5800170898438,2.5231877551113095,-20.49451989015223
1658,207.52499389648438,523.5599975585938,2.522876824271832,-20.362806575800175
1659,207.36000061035156,523.5900268554688,2.5250290572642426,-20.794841250071112
1660,208.00999450683594,526.9299926757812,2.5331955511323496,-22.55109995244113
1661,208.9199981689453,530.0900268554688,2.5372871505905623,-23.49391442463401
1662,209.72999572753906,529.77001953125,2.5259620956626345,-21.20035180089742
1663,212.0500030517578,535.5800170898438,2.5257251090872077,-21.35766226055564
1664,211.66000366210938,535.0399780273438,2.527827500567717,-21.767854904414957
1665,210.7606964111328,534.4000854492188,2.5355775272575474,-23.319120277606384
1666,209.97000122070312,533.030029296875,2.5386008772586415,-23.875589294159408
1667,209.1199951171875,532.72998046875,2.547484663865914,-25.646576399930506
1668,208.67999267578125,532.9500122070312,2.553910441405166,-26.938672048559464
1669,209.35000610351562,532.8599853515625,2.5453067581382514,-25.216160579990184
1670,211.19000244140625,538.5399780273438,2.5500259093787325,-26.41301070156187
1671,210.7899932861328,536.4650268554688,2.545021319523715,-25.312679983625184
1672,211.5399932861328,533.9299926757812,2.524014416288545,-20.950274278018423
1673,212.3300018310547,532.9299926757812,2.509913757264597,-18.02542211772079
1674,212.1999969482422,531.1199951171875,2.502921784898674,-16.532180853903082
1675,212.0800018310547,529.8400268554688,2.498302632407299,-15.544580139381377
1676,211.50999450683594,529.8800048828125,2.505224427423863,-16.973378371848934
1677,214.602294921875,532.969970703125,2.4835240969680696,-12.52896855478691
1678,213.94000244140625,534.0700073242188,2.496354123724428,-15.242677736732798
1679,213.92999267578125,536.3699951171875,2.507222051515123,-17.567054277280544
1680,214.39999389648438,537.14501953125,2.5053406474936373,-17.19692289419613
1681,214.30999755859375,539.0700073242188,2.5153749870060707,-19.341186347562665
1682,214.72999572753906,538.5,2.5078005435406316,-17.747855430185336
1683,215.10000610351562,538.8200073242188,2.5049743934684723,-17.166334187265033
1684,211.5749969482422,537.3699951171875,2.5398558566381304,-24.304990458835913
1685,211.4199981689453,534.97998046875,2.530413324671626,-22.29262961818422
1686,210.36000061035156,529.5599975585938,2.5173987260985715,-19.45532584951884
1687,209.60000610351562,527.4500122070312,2.516459908624899,-19.197063593485847
1688,210.68499755859375,528.0449829101562,2.5063245557543854,-17.148457642110156
1689,212.5,531.5800170898438,2.5015530215992645,-16.26124678059791
1690,212.38999938964844,531.6799926757812,2.5033193380276195,-16.629238344122268
1691,213.17999267578125,533.39501953125,2.502087615428685,-16.419450217262305
1692,213.43499755859375,532.780029296875,2.4962168125712947,-15.18314176712472
1693,214.5500030517578,534.6300048828125,2.491866685053549,-14.316411633793404
1694,214.1199951171875,535.010009765625,2.498645721866447,-15.74412885734348
1695,213.83999633789062,533.2274780273438,2.4935815897826052,-14.643812847834578
1696,213.91000366210938,533.7899780273438,2.4953951142486743,-15.03574032665706
1697,213.85000610351562,534.9199829101562,2.5013793202850056,-16.311928983068082
1698,215.25999450683594,541.75537109375,2.516748977602272,-19.7118869531899
1699,215.08999633789062,541.26220703125,2.5164452845169363,-19.63292264187528
1700,215.25,540.77001953125,2.5122881279036005,-18.750886960299976
1701,215.0800018310547,542.0725708007812,2.5203299525103184,-20.46763798101672
1702,214.42999267578125,540.5499877929688,2.5208693105272912,-20.52879926911562
1703,215.17999267578125,542.6799926757812,2.5219816486073356,-20.831432626008745
1704,214.92999267578125,541.4000244140625,2.5189598607150026,-20.160588206263082
1705,214.58999633789062,542.6900024414062,2.528962261534753,-22.278965735977703
1706,213.80499267578125,542.2999877929688,2.536423406236003,-23.801608874048338
1707,212.9149932861328,542.125,2.5462039644688033,-25.79510047138508
1708,214.23399353027344,543.6300048828125,2.5375524954026125,-24.086367369099957
1709,213.08999633789062,542.9000244140625,2.5477499354460624,-26.14373076047259
1710,212.60000610351562,543.0599975585938,2.5543743272245067,-27.49756284137113
1711,212.1999969482422,540.239990234375,2.5459000848437583,-25.652175971090582
1712,213.55999755859375,541.0900268554688,2.533667508153121,-23.188577404731927
1713,213.50999450683594,539.614990234375,2.5273523681211008,-21.835372987626624
1714,214.44000244140625,542.3400268554688,2.5290991451264238,-22.294449584036624
1715,214.16000366210938,542.2999877929688,2.5322188014554845,-22.936626250308972
1716,214.64500427246094,543.7100219726562,2.5330662775756694,-23.164958689449872
1717,214.57000732421875,540.719970703125,2.52001655518466,-20.35763713691672
1718,214.75,541.97998046875,2.523771736757858,-21.17909558174615
1719,213.83999633789062,542.9949951171875,2.5392583446325725,-24.411329937678328
1720,212.86000061035156,542.6400146484375,2.549281279209244,-26.444104519631605
1721,213.38009643554688,543.3900146484375,2.546582477586295,-25.926893450683064
1722,212.3800048828125,540.2999877929688,2.544024745131241,-25.273585030919957
1723,212.47000122070312,541.3900146484375,2.5480774299335973,-26.144336225990923
1724,212.92999267578125,544.0700073242188,2.5551590947201563,-27.703561852204142
1725,214.3000030517578,545.6099853515625,2.5460101613707704,-25.90551594451649
1726,212.75,541.4365234375,2.5449425308460634,-25.508629286281074
1727,213.02000427246094,542.280029296875,2.545676548777445,-25.6942709864938
1728,212.75,541.1799926757812,2.5437367458321094,-25.252098524562324
1729,213.02999877929688,541.1849975585938,2.540416845794905,-24.574887678602362
1730,212.8000030517578,539.6500244140625,2.535949326480072,-23.600298058855127
1731,213.5500030517578,539.1099853515625,2.5245140606291594,-21.232887470435866
1732,214.2899932861328,540.1500244140625,2.52064977991213,-20.469943754595487
1733,208.25999450683594,536.7000122070312,2.57706725421725,-31.711995641717987
