,v,ma,Ratio,Spread
0,210.28929138183594,347.27532958984375,1.6514170897997529,-2.2687455913983534
1,207.17286682128906,335.0569152832031,1.6172818401563611,4.812344273919027
2,213.76300048828125,348.69696044921875,1.63123159598583,2.0359199340353804
3,216.32363891601562,355.3977355957031,1.6428982859967556,-0.443726118958889
4,214.99368286132812,358.4796142578125,1.6673960345571337,-5.717994044113052
5,215.99610900878906,358.21124267578125,1.6584152571989403,-3.797155589253375
6,216.4129638671875,358.6784973144531,1.6573799041658794,-3.5772385634332657
7,216.5320587158203,359.185546875,1.6588100118070743,-3.88796414281833
8,216.2342987060547,358.88726806640625,1.6597148103422372,-4.080533017554753
9,215.0830078125,357.22698974609375,1.660879645394901,-4.318120258118679
10,219.767578125,368.789306640625,1.6780878680424098,-8.158075485958218
11,220.78985595703125,373.2033996582031,1.6903104449274773,-10.886976774911457
12,218.3483123779297,371.7220458984375,1.7024269244409813,-13.43042812747407
13,218.10018920898438,368.3275146484375,1.6887996107857788,-10.44491984450448
14,215.33114624023438,367.9790344238281,1.7088983217192928,-14.661116815205585
15,210.3786163330078,362.2650146484375,1.7219669040650456,-17.11118137571648
16,212.7705078125,364.63427734375,1.7137444521450176,-15.537488828617509
17,214.0905303955078,365.649658203125,1.707920745152198,-14.376855429654508
18,213.38584899902344,367.8496398925781,1.723870826571361,-17.738481462223003
19,213.05833435058594,370.4578552246094,1.7387625616889677,-20.886594030853498
20,214.0905303955078,364.6441955566406,1.7032243083475112,-13.371392783170133
21,213.06825256347656,359.0993957519531,1.6853726044661275,-9.51178470710752
22,212.74075317382812,362.3546142578125,1.7032684563344407,-13.306875295949137
23,204.38394165039062,353.47491455078125,1.7294652001350403,-18.203107352000156
24,200.33457946777344,347.84051513671875,1.7362979275011965,-19.24394967999316
25,200.48345947265625,337.2287292480469,1.6820775645785442,-8.386739949656228
26,204.32440185546875,343.10205078125,1.6792025214097885,-7.928392996241282
27,204.602294921875,348.9455261230469,1.7054819754406354,-13.31377066412156
28,226.2882537841797,380.7809753417969,1.682725324775201,-9.400622625860219
29,224.47198486328125,384.6334533691406,1.7135031509763172,-16.24716084560279
30,230.61550903320312,390.28778076171875,1.6923743871255712,-11.774088629809992
31,233.6525421142578,394.95660400390625,1.6903586857221933,-11.436461700243083
32,229.80166625976562,388.3067932128906,1.6897475093759864,-11.13469440055226
33,226.67532348632812,380.47235107421875,1.6784903853778634,-8.453926554293357
34,225.45455932617188,374.4297790527344,1.6607771436151602,-4.423744512164571
35,226.2287139892578,372.677734375,1.647349391698775,-1.39553107283572
36,229.13670349121094,379.6461181640625,1.6568542375779822,-3.570188829629469
37,224.26060485839844,372.6976623535156,1.6618953765367868,-4.659822887125099
38,223.36593627929688,368.0985107421875,1.6479617119501917,-1.5355033049399618
39,224.0120849609375,372.46868896484375,1.6627169423908252,-4.8405264595271795
40,226.47747802734375,379.8153381347656,1.6770556677115092,-8.123055413654324
41,227.47158813476562,381.19903564453125,1.6758094440290703,-7.867994771889837
42,223.28639221191406,372.01080322265625,1.6660701959373885,-5.578921591148141
43,221.37770080566406,368.2777404785156,1.6635719819034864,-4.99227449794537
44,220.01577758789062,366.625244140625,1.6663588773499105,-5.584864250842511
45,214.6774139404297,359.59716796875,1.6750582251215944,-7.356906775875782
46,216.01947021484375,367.7103271484375,1.702209188749183,-13.257729874189092
47,217.9778594970703,367.421630859375,1.6855915169875924,-9.740692603420737
48,214.84640502929688,359.1889953613281,1.6718408451486466,-6.670157859502321
49,207.73854064941406,342.9228820800781,1.6507427124887977,-2.121127631267168
50,207.25143432617188,342.53460693359375,1.6527490294446576,-2.53583140222403
51,206.00880432128906,339.4486083984375,1.6477383552454252,-1.498267979671905
52,199.1096954345703,329.264892578125,1.6536858833492876,-2.687508577361509
53,189.5762176513672,311.50555419921875,1.6431678934120364,-0.6437979875865631
54,190.5802764892578,312.90911865234375,1.641875667390907,-0.39220413085760364
55,198.5828094482422,326.6467590332031,1.6448894037745951,-0.9379294295590876
56,196.8033905029297,323.1227722167969,1.6418557190049363,-0.3472568203491415
57,195.55079650878906,323.3218688964844,1.6533907029212873,-2.611213924581673
58,199.1494598388672,327.10467529296875,1.6425084735737208,-0.4617409661440457
59,204.92523193359375,333.4856872558594,1.627352981910621,2.678419354546893
60,210.6214599609375,343.1219482421875,1.6290930103030525,2.432204846060845
61,212.19215393066406,344.8739929199219,1.6252909758040015,3.269398047744037
62,217.8188018798828,348.50750732421875,1.5999881751089826,8.911229627490659
63,215.760986328125,344.01788330078125,1.5944397045794263,10.008611700452239
64,217.1825714111328,347.95001220703125,1.6021083549487585,8.419919527698855
65,213.41490173339844,340.63323974609375,1.5961080364089038,9.525811171145708
66,216.02940368652344,347.7708435058594,1.6098310580466337,6.698128773095821
67,217.14280700683594,347.4422912597656,1.600063552871119,8.862090148903324
68,219.46902465820312,348.90570068359375,1.5897719563249202,11.23337479965571
69,226.77569580078125,365.8885498046875,1.6134381090207948,6.295335208265758
70,222.63027954101562,360.6025695800781,1.6197373076273014,4.747731671420045
71,220.46311950683594,355.7645568847656,1.6137146098657755,6.013251596396888
72,225.0260772705078,362.32476806640625,1.6101456882743828,6.974927753471011
73,226.39796447753906,365.25146484375,1.6133160282012455,6.309742378855933
74,224.75767517089844,361.6777038574219,1.6091895575197328,7.179539838350795
75,217.71937561035156,351.95184326171875,1.6165389151749205,5.302992721220594
76,214.87623596191406,348.4528503417969,1.6216444260665415,4.115162481383354
77,215.7013397216797,351.1643371582031,1.628011850141088,2.7638323539385716
