,amzn,mcd,Ratio,Spread
0,170.0175018310547,255.96725463867188,1.505534735435796,84.46462969379039
1,167.07899475097656,255.99659729003906,1.5321889964180717,78.51660115748322
2,170.41700744628906,258.59832763671875,1.5174443649247984,82.63823341810794
3,171.03700256347656,259.13623046875,1.5150887035252936,83.34911313069179
4,171.06849670410156,260.1241455078125,1.5205847395604999,82.42463299938882
5,169.66949462890625,262.3639221191406,1.5463234725427313,77.36701262937217
6,170.66099548339844,262.0118408203125,1.53527664641919,79.716156365849
7,169.2010040283203,262.60845947265625,1.5520502433230343,76.17885028896646
8,168.64450073242188,261.3564758300781,1.5497479887871162,76.30993542335753
9,166.7169952392578,262.19769287109375,1.572711243354706,71.58637294479715
10,170.4044952392578,262.69647216796875,1.5416052950899426,78.51488703396896
11,167.52200317382812,262.6280822753906,1.5677229098250234,72.77741543423568
12,164.35699462890625,261.33697509765625,1.5900569104936266,67.69362172180595
13,163.25399780273438,263.7822265625,1.6157780520709666,63.026734722899306
14,162.5540008544922,261.2098083496094,1.6069109771307781,64.18923220252017
15,161.48599243164062,258.61785888671875,1.6014878751554595,64.63001911753614
16,165.36199951171875,256.3780212402344,1.5504046999750118,74.67683757761645
17,165.20700073242188,255.20431518554688,1.544754847277262,75.53834799615018
18,161.21400451660156,255.68357849121094,1.5859886320538676,67.01646655237838
19,162.13800048828125,252.0646209716797,1.554630131200477,72.49651943982573
20,158.91749572753906,250.86158752441406,1.578564942619731,67.2128725591746
21,156.2989959716797,249.62918090820312,1.5971259402935272,63.17114604506432
22,151.66749572753906,247.58497619628906,1.6324194911285381,55.88666977236002
23,142.64300537109375,249.0129852294922,1.7457076467343842,36.281701407124416
24,144.54400634765625,248.05442810058594,1.716117010787477,41.069219073004575
25,139.98599243164062,245.18862915039062,1.7515225980208242,34.7543518233538
26,138.87249755859375,244.37680053710938,1.7597206418355136,33.32339993331894
27,139.6374969482422,243.29112243652344,1.7423050953620383,35.94992546632952
28,143.97799682617188,250.4801025390625,1.7397109840434382,37.503498864938734
29,149.57350158691406,253.7665252685547,1.6966008188361907,45.48743694929172
30,151.19349670410156,253.31658935546875,1.6754463312084824,49.20033666422577
31,150.6125030517578,256.5345153808594,1.7032750281874114,44.812184113713016
32,138.8455047607422,254.9304656982422,1.836072879259123,22.71536638467322
33,157.63949584960938,254.3631591796875,1.6135750613054107,61.13717750302911
34,157.9355010986328,254.1577606201172,1.6092503512645475,61.93878428722499
35,161.4134979248047,254.3826904296875,1.575969133313702,68.7191704976461
36,161.1894989013672,254.16751098632812,1.5768242516955446,68.48317530635919
37,159.0034942626953,251.2430419921875,1.580110192906201,67.00463472906242
38,153.2935028076172,249.5704803466797,1.628056478426811,57.17623860679103
39,155.16700744628906,247.83926391601562,1.5972420168108545,62.68103296600711
40,156.510498046875,248.2500457763672,1.5861558737230275,64.97628469262455
41,158.10049438476562,247.54583740234375,1.565749926119124,68.88303388949643
42,154.65249633789062,245.43313598632812,1.5869975706702886,64.0508422645203
43,152.60150146484375,245.11038208007812,1.6062121258783717,60.24252073879822
44,150.19749450683594,247.16436767578125,1.6455958102851846,53.346429386017945
45,144.82699584960938,242.3619384765625,1.6734583014359763,47.33170084785567
46,151.35800170898438,239.6623992919922,1.5834141346077655,63.185869625258334
47,153.7884979248047,243.98556518554688,1.5865007362569097,63.75816365538478
48,153.56300354003906,240.73989868164062,1.5676946473560711,66.54964359588482
49,151.14199829101562,235.68453979492188,1.559358368023719,66.72865908635774
50,152.05250549316406,236.9729766845703,1.5584943892636092,67.27414873785236
51,147.89849853515625,232.7535858154297,1.5737386661846533,63.126616649758006
52,145.64100646972656,231.92742919921875,1.5924596706726823,59.40577505942812
53,137.4530029296875,220.63644409179688,1.6051773288988158,54.20463690234553
54,136.01449584960938,219.12179565429688,1.6110179601487393,52.82187134075511
55,139.2790069580078,218.80706787109375,1.5709981902517685,59.71191621252345
56,146.8175048828125,218.3448028564453,1.4871850807621667,75.35808245500371
57,145.52450561523438,223.13461303710938,1.5333129777267582,67.9639373839677
58,141.85299682617188,222.4559783935547,1.56821486588792,61.247487838826345
59,147.3665008544922,228.74078369140625,1.5521898285232545,66.06787901649645
60,153.10400390625,234.21905517578125,1.5298035923293054,72.1459786422894
61,157.23899841308594,233.56008911132812,1.485382707016089,81.13357314117306
62,161.25050354003906,234.98622131347656,1.4572743411937852,87.78733937902788
63,161.4915008544922,231.4455108642578,1.433174561135548,91.8134621020616
64,164.88900756835938,234.19937133789062,1.420345569372153,95.90279597282355
65,163.4080047607422,232.23231506347656,1.4211807763243005,94.88684415022553
66,163.64950561523438,236.30413818359375,1.443964876613693,91.3014475248323
67,164.77349853515625,237.60243225097656,1.4419942185076653,92.26707893001876
68,168.99049377441406,238.94003295898438,1.4139258819963338,99.42327099476503
69,169.31500244140625,244.08392333984375,1.4415965497464545,94.93299988877098
70,166.30099487304688,244.9297637939453,1.4728099731509312,88.0164018813214
71,162.99749755859375,243.2085723876953,1.4921000385313743,83.08375091348026
72,163.55999755859375,245.14613342285156,1.4988147290417413,82.27916683551754
73,168.34649658203125,242.76597595214844,1.4420613489503438,94.3002009269928
74,164.05499267578125,244.41831970214844,1.4898560276381694,84.00399044368166
75,158.75599670410156,247.31976318359375,1.5578609206464331,70.42940859392567
76,157.7845001220703,250.1719970703125,1.5855296108094674,65.62040450021365
77,154.4604949951172,247.31976318359375,1.6011845824488133,61.77748956127684
78,151.1219940185547,246.32638549804688,1.6299836903144822,56.0465211525773
79,150.78750610351562,245.0674591064453,1.6252504298214634,56.631728254936235
