,amd,aapl,Ratio,Spread
0,134.531005859375,172.69500732421875,1.2836818265131869,67.21085550782485
1,135.3000030517578,171.7100067138672,1.2691057120536875,69.57745984209583
2,135.63999938964844,172.1199951171875,1.2689471829231156,69.77831919114914
3,134.0850067138672,171.38999938964844,1.2782189716064887,67.7145678246711
4,134.589599609375,171.92999267578125,1.2774389193130884,68.08114146804382
5,135.8800048828125,172.4949951171875,1.2694656234811958,69.8345203533915
6,136.8800048828125,173.07000732421875,1.2643921767272708,71.05613853409727
7,135.9582061767578,172.30999755859375,1.2673747499623182,70.16001673304774
8,133.42999267578125,170.5699005126953,1.2783475221134093,67.35784857640468
9,134.23980712890625,170.0,1.2663903773100207,69.382686344013
10,133.08900451660156,169.7550048828125,1.2754998468835734,67.56011451764675
11,132.5399932861328,170.16000366210938,1.2838389337681717,66.16874547848084
12,132.6898956298828,170.33999633789062,1.2837450472719243,66.25807190867383
13,131.92999267578125,169.8300018310547,1.287273639500708,65.40280167643976
14,132.04820251464844,169.8699951171875,1.2864241381729025,65.57518777894524
15,128.85000610351562,167.77999877929688,1.302134193493989,61.91920725864318
16,130.8699951171875,169.0399932861328,1.2916634797362527,64.28838639666506
17,130.6300048828125,168.810302734375,1.2922781629367146,64.08690320058463
18,129.63999938964844,167.64999389648438,1.2931965032843944,63.46853808543011
19,129.27999877929688,167.50999450683594,1.2957146974668852,62.96174943891705
20,128.27000427246094,166.2100067138672,1.2957823433202444,62.447150409456896
21,126.65080261230469,169.22999572753906,1.3361936303362805,56.51805448927405
22,127.0,169.35000610351562,1.333464614988312,57.02542275134928
23,127.9906005859375,169.10000610351562,1.3211908165863773,59.05516586615471
24,127.29000091552734,167.60000610351562,1.3166784892612182,59.29644720865727
25,126.75,166.64010620117188,1.3147148418238412,59.28616505675879
26,123.55999755859375,165.84500122070312,1.3422224384721058,54.35001471404178
27,121.88999938964844,164.52000427246094,1.3497416120787418,52.67464220449162
28,120.0801010131836,164.30999755859375,1.3683366034190307,49.63293049648615
29,124.26000213623047,165.9499969482422,1.3355061491654052,55.50266848223984
30,121.7699966430664,163.72999572753906,1.34458405388206,53.249050168292314
31,121.37999725341797,163.75,1.3490690699071417,52.52836114119009
32,120.66000366210938,163.3699951171875,1.3539697510260416,51.61480365888167
33,119.91999816894531,162.86000061035156,1.358072073858037,50.795281809606735
34,118.72000122070312,162.3300018310547,1.3673349070244667,49.169329606499986
35,111.62000274658203,158.89999389648438,1.4235799138730099,39.84326452957785
36,111.93499755859375,158.35000610351562,1.4146603793029555,40.95918157378637
37,108.83499908447266,155.64999389648438,1.430146508070222,38.08964232027327
38,110.65499877929688,157.02999877929688,1.4190953911851345,39.97950419485406
39,111.95999908447266,157.1999969482422,1.4040728673964746,42.154109230193654
40,114.37999725341797,158.5,1.3857318045639628,45.20194842703094
41,116.58000183105469,162.1300048828125,1.3907188397352055,45.524538621561135
42,113.19999694824219,158.80999755859375,1.4029152106002756,42.771926462619405
43,111.33999633789062,158.5800018310547,1.4242860341920776,39.66018857239146
44,110.76000213623047,158.67999267578125,1.432647071283107,38.51816252025097
45,111.77999877929688,159.3874053955078,1.4259027297916598,39.64330676484727
46,113.18000030517578,161.72000122070312,1.4288743663601808,39.82599622392419
47,111.93000030517578,160.6699981689453,1.4354507078609893,38.63021129101074
48,111.06999969482422,159.8800048828125,1.439452645377677,37.87510134711354
49,113.58889770507812,161.75999450683594,1.4240827913202319,40.5206404319226
50,113.68000030517578,162.6999969482422,1.4312103845132955,39.74431569025364
51,114.36000061035156,162.92999267578125,1.4247113659164607,40.736029174663855
52,115.51499938964844,162.87379455566406,1.4099796166406728,42.86733319946498
53,114.91000366210938,163.0800018310547,1.4191976036358702,41.5741722155266
54,111.21990203857422,159.60000610351562,1.4349950249745933,38.42441923238468
55,110.70999908447266,159.75,1.4429590942197499,37.358318193764546
56,107.7699966430664,162.61000061035156,1.5088615168924513,29.216219857161494
57,106.37999725341797,162.3300018310547,1.5259447830624855,26.998903494080057
58,104.58999633789062,161.1446075439453,1.540726772982649,24.968327742275935
59,103.1500015258789,158.77999877929688,1.5393116474114756,24.74579806948046
60,103.45339965820312,159.07000732421875,1.5376005800656705,25.00088382867492
61,102.48999786376953,158.7949981689453,1.5493706847376152,23.545016044468586
62,102.56999969482422,159.1999969482422,1.5521107284967222,23.283750985919173
63,101.37999725341797,165.44960021972656,1.6319747948518368,14.896153166723083
64,103.7605972290039,167.89999389648438,1.6181479133733414,16.722817747148984
65,103.43319702148438,168.2357940673828,1.626516427143194,15.798800414469527
66,102.9104995727539,168.27000427246094,1.6351101682632518,14.825496089409627
67,100.84989929199219,166.94500732421875,1.6553810018278792,12.448355956255883
68,103.11109924316406,168.710205078125,1.636198297918058,14.745698747374492
69,105.23999786376953,170.3498992919922,1.6186801857645963,16.930848487698515
70,110.15499877929688,172.6199951171875,1.5670645638428407,23.491192663094925
71,111.1729965209961,172.57000732421875,1.5522655026360401,25.37014613344815
72,111.76000213623047,172.63499450683594,1.5446939084378466,26.35979107693331
73,111.30000305175781,173.02999877929688,1.554627080278091,25.138338470977605
74,112.49150085449219,173.6199951171875,1.5434054466191633,26.689023292401433
75,112.48999786376953,173.2899932861328,1.5404924577916237,27.01632480465131
76,114.25,174.8000030517578,1.5299781448731538,28.668388359460042
77,115.22000122070312,172.89999389648438,1.5006074645433791,32.31113118399074
78,115.44000244140625,173.97999572753906,1.5071031882197499,31.626390231390534
79,115.04000091552734,173.77999877929688,1.5106049843210771,31.10773228309748
