,cat,lmt,Ratio,Spread
0,196.7451934814453,335.33453369140625,1.7044102971848767,75.4506245777222
1,190.97096252441406,328.7864990234375,1.721657024069326,69.88102644265906
2,193.7554931640625,332.0507507324219,1.7137617381059636,72.46030958206241
3,197.5072784423828,334.36016845703125,1.6929004900169864,78.02427910102121
4,201.4642791748047,338.14080810546875,1.6784156947846511,82.5476858673584
5,201.64015197753906,341.31744384765625,1.692705745855994,79.74013166337643
6,201.87461853027344,344.6986389160156,1.707488744377858,76.85098126932441
7,202.5683135986328,345.2053527832031,1.7041428970336898,77.8000356556421
8,201.3470458984375,344.5329895019531,1.7111400267364278,75.90948213372032
9,201.9918670654297,346.3161926269531,1.7145056266783927,75.4794819171906
10,202.24591064453125,345.29302978515625,1.7072930111899547,77.03577321027883
11,213.07144165039062,352.7278137207031,1.6554438783000391,92.31913314583973
12,214.7030792236328,348.9763488769531,1.625390516702662,99.49470504857449
13,216.89163208007812,348.83990478515625,1.6083603661406438,104.22398238202364
14,219.04110717773438,350.9251708984375,1.6020973205439915,106.6495420646768
15,216.5496826171875,353.95556640625,1.6345235981341337,98.39071558383581
16,214.8984832763672,354.82281494140625,1.6511182839996656,94.05830823436084
17,217.29220581054688,352.05548095703125,1.6201937830387807,101.84903856664455
18,221.7865753173828,355.836181640625,1.6044081168186732,107.50009074680914
19,223.68199157714844,363.0858459472656,1.6232234136829762,104.22809176316152
20,224.5906524658203,366.9055480957031,1.6336634854005834,102.31527887380265
21,217.6200408935547,367.67529296875,1.6895286457031429,86.9172117057454
22,212.6817169189453,365.5316162109375,1.7186790736236368,78.6974656922783
23,210.18801879882812,361.7021789550781,1.7208506032937343,77.29370074925522
24,210.42364501953125,363.77764892578125,1.7287869378558474,75.71270909826144
25,210.4040069580078,377.2635803222656,1.7930437056626942,62.18556583819295
26,210.38436889648438,381.2293701171875,1.81206128628674,58.17856417968701
27,208.3030242919922,379.1246643066406,1.8200631776483303,55.91542086166785
28,197.49368286132812,383.09051513671875,1.9397608550634453,29.265401131160065
29,197.88638305664062,379.17340087890625,1.9161166878793081,34.00662457405482
30,201.60733032226562,377.1076354980469,1.8705055758401603,43.8810614437788
31,201.20480346679688,377.4291687011719,1.875845716394419,42.714797112954464
32,196.93406677246094,379.72882080078125,1.9282028093164942,31.45270145237534
33,194.79380798339844,379.36822509765625,1.9475373936423503,27.321812436181933
34,196.1781005859375,382.30126953125,1.9487459017566522,27.293804114643155
35,197.82748413085938,385.9065856933594,1.9507228097693898,27.14983619049936
36,199.88922119140625,384.4449768066406,1.9232901830084719,32.93814638550011
37,199.36888122558594,375.56805419921875,1.883784730548111,40.72309870536795
38,197.57223510742188,386.052734375,1.9539827251794744,26.46802934721531
39,196.24684143066406,377.06866455078125,1.9213999155446448,32.670666628481364
40,199.7026824951172,372.440185546875,1.8649733738853573,44.551472973691624
41,199.92849731445312,377.0004577636719,1.8856764434672613,40.46508915563705
42,191.19070434570312,378.82257080078125,1.9813859261473818,20.306098447347058
43,188.45155334472656,376.5716857910156,1.99824134695334,16.808680995903803
44,187.72503662109375,376.3183898925781,2.0046254706672038,15.53733007162909
45,183.2677764892578,378.94927978515625,2.067735458160962,3.5525639681571493
46,181.32386779785156,385.5850524902344,2.1264991596147884,-7.16263886369823
47,183.6506805419922,399.0124206542969,2.1726705257869257,-15.707025615218225
48,184.16119384765625,425.61065673828125,2.3110767683791154,-41.233913354265646
49,179.49777221679688,447.9900207519531,2.495797107781773,-73.39979809233954
50,189.09951782226562,441.50482177734375,2.3347749738437384,-46.764655622048544
51,191.29869079589844,439.3659973144531,2.296753811991448,-40.0107108490872
52,192.09393310546875,449.5009765625,2.340006106885752,-48.476817762702446
53,193.11497497558594,457.3499450683594,2.368277991523851,-54.183057557037934
54,206.1725616455078,440.5138854980469,2.136627114598617,-9.944727149739816
55,205.9565887451172,440.2490234375,2.137581643393467,-10.133099523668118
56,207.929931640625,435.9712829589844,2.096722100176005,-1.7141591554741167
57,210.91453552246094,430.75177001953125,2.042304808212989,9.768756507514315
58,211.513427734375,436.05963134765625,2.0616167778022736,5.717712921279788
59,212.5148468017578,440.199951171875,2.071384459940866,3.678941966650844
60,212.14175415039062,413.3858947753906,1.948630510909865,29.710036998337063
61,217.65931701660156,420.4989929199219,1.9319135917707997,34.17593548174178
62,216.88372802734375,418.1344909667969,1.9279200646812946,34.912808985669265
63,219.63270568847656,431.6936340332031,1.9655252740250366,27.122590323088975
64,218.65090942382812,432.2724914550781,1.976998369657684,24.48336387355825
65,218.12075805664062,436.8445129394531,2.0027645091257904,18.798782180662176
66,218.1600341796875,441.23992919921875,2.0225516138111326,14.485789648064799
67,219.28907775878906,445.0957336425781,2.029721398765556,12.99936315511697
68,217.8065948486328,436.5796203613281,2.00443710469251,18.40438100639138
69,217.0113525390625,428.8974304199219,1.9763824583449818,24.417698613366003
70,219.01417541503906,437.53131103515625,1.9977305587915486,19.986883715661254
71,218.75892639160156,433.0671691894531,1.9796548480687695,23.915367399720896
72,215.76451110839844,437.5606994628906,2.027954908873144,13.137844481781048
73,216.78555297851562,435.6278991699219,2.009487685801159,17.213373486273742
74,212.08285522460938,438.79693603515625,2.068988252588556,4.17539216946911
75,212.26939392089844,445.99835205078125,2.1010958942907294,-2.6345591745818338
76,211.96502685546875,456.7220458984375,2.1547047297093007,-13.996988875316884
77,213.07443237304688,452.8073425292969,2.1251134520754227,-7.754119419348778
78,212.11228942871094,455.4858093261719,2.1473805716441365,-12.451711358645394
79,212.75045776367188,458.7235107421875,2.1561575733564258,-14.350171305602299
