,ups,unp,Ratio,Spread
0,213.86000061035156,246.5500030517578,1.1528570202380517,8.407399583343272
1,214.60000610351562,247.39010620117188,1.1527963614401737,8.45365309056657
2,214.91000366210938,247.61000061035156,1.1521566999722104,8.605064573220284
3,215.35000610351562,247.83999633789062,1.1508706260205888,8.902090734680394
4,215.27999877929688,248.1544952392578,1.1527057629430013,8.50373913436996
5,215.19000244140625,247.85000610351562,1.1517728671944336,8.70043332277836
6,215.13999938964844,247.9600067138672,1.1525518611942411,8.530540538399487
7,215.41000366210938,249.67210388183594,1.1590552882282563,7.141846488957606
8,214.74000549316406,249.69000244140625,1.162754941111123,6.3214439716932365
9,214.5399932861328,249.77999877929688,1.1642584440942176,5.991878937693537
10,214.51010131835938,249.6699981689453,1.1639078842184887,6.06607583461223
11,214.4550018310547,249.68499755859375,1.1642768666001686,5.985079911423236
12,214.7259979248047,249.38499450683594,1.1614103411649694,6.609674055864696
13,214.69000244140625,249.22999572753906,1.160883100718952,6.7215585115331695
14,215.51499938964844,250.625,1.1629120975792182,6.314711142683018
15,215.6699981689453,251.36000061035156,1.1654843174498868,5.765363478248128
16,214.82000732421875,250.97999572753906,1.1683269116956392,5.127274508698941
17,215.05999755859375,250.9949951171875,1.1670928948504389,5.399728311940658
18,214.47950744628906,250.99000549316406,1.1702283751095341,4.709424076788162
19,214.7949981689453,251.6300048828125,1.1714891269716388,4.44731012814915
20,214.6300048828125,251.1300048828125,1.1700600995649648,4.749686058037208
21,213.9499969482422,249.5,1.1661603344652438,5.565197582434871
22,213.34500122070312,249.68499755859375,1.1703344166957879,4.65555406472995
23,213.14500427246094,249.53500366210938,1.1707288402740677,4.565997541630731
24,214.1750030517578,249.78500366210938,1.1662659045310997,5.549699565185472
25,214.5800018310547,250.54930114746094,1.1676265216211805,5.270497619361459
26,214.2899932861328,250.0500030517578,1.1668767132671292,5.4224320716217225
27,213.91000366210938,249.5399932861328,1.166565326604848,5.477301522995527
28,212.69140625,250.23989868164062,1.176539772309868,3.317796248889602
29,213.25,250.5800018310547,1.175052763568838,3.646760144574836
30,213.50999450683594,250.72999572753906,1.1743243978188171,3.8081799658965796
31,213.76499938964844,252.11000061035156,1.179379231072381,2.7336123770553176
32,214.05999755859375,251.80999755859375,1.1763524265652057,3.3869554960909003
33,214.8699951171875,252.5,1.1751291745610621,3.6671441337398054
34,214.32000732421875,251.9600067138672,1.1756252244462992,3.5483783351491187
35,213.7550048828125,250.32000732421875,1.1710603335882235,4.511634538992917
36,211.16000366210938,247.35000610351562,1.1713866348445239,4.373420175893125
37,212.1300048828125,248.3000030517578,1.1705086377993854,4.585261952983155
38,212.13999938964844,247.76499938964844,1.1679315551168912,5.1322367392878
39,212.8300018310547,247.82000732421875,1.1644035389378011,5.903693287327565
40,212.85000610351562,247.78509521484375,1.1641300827322414,5.962565921618586
41,213.49000549316406,247.77999877929688,1.1606163867339954,6.7342346657482555
42,217.82000732421875,253.52999877929688,1.1639426602438996,6.170582580271594
43,217.1999969482422,253.69009399414062,1.1680022907854546,5.267857305235589
44,218.65989685058594,253.3800048828125,1.1587858977906287,7.326571269243994
45,217.36000061035156,252.4499969482422,1.1614372296621143,6.69960199741106
46,216.7801055908203,251.6199951171875,1.1607153453100012,6.835022753783926
47,217.35000610351562,251.8782958984375,1.1588603120557417,7.259331923020534
48,217.32000732421875,252.07000732421875,1.1599024426138391,7.031688848127965
49,217.07000732421875,253.39500427246094,1.1673423122614386,5.407249306274958
50,216.86000061035156,253.97999572753906,1.1711703173139971,4.570718030892488
51,217.66000366210938,254.14999389648438,1.1676467408822673,5.3589398168070606
52,217.24000549316406,254.05999755859375,1.1694899242054582,4.9458747906144485
53,215.89999389648438,253.9199981689453,1.1761000710851806,3.4808479883492627
54,215.0500030517578,253.8000030517578,1.1801906507793618,2.5827492531750753
55,214.61000061035156,252.85000610351562,1.1781837071171397,3.0057243124180335
56,215.35960388183594,253.6999969482422,1.178029641470937,3.053586058861379
57,213.4499969482422,252.4199981689453,1.1825720392497951,2.046314226267805
58,214.16000366210938,253.97999572753906,1.1859357087435225,1.3367416752001537
59,214.83999633789062,253.67999267578125,1.1807856870226567,2.451219808847293
60,216.1300048828125,253.98500061035156,1.1751491920247925,3.6913458921633495
61,216.47999572753906,253.8800048828125,1.1727642733435053,4.215550284842346
62,216.57000732421875,253.47000122070312,1.1703836757101955,4.733367170811016
63,217.9149932861328,254.05499267578125,1.1658444829548507,5.7593600549559145
64,217.58999633789062,254.10000610351562,1.1677926852341567,5.325074910832507
65,218.91000366210938,255.5,1.1671462963125605,5.506146681345763
66,218.50399780273438,255.2100067138672,1.16798781386266,5.309838177268739
67,218.91000366210938,255.67999267578125,1.167968518562664,5.326154005564513
68,218.0261993408203,255.77000427246094,1.1731159147192178,4.177547776039683
69,218.14999389648438,254.77999877929688,1.167912014245547,5.315830720495535
70,213.0,250.24000549316406,1.1748357065406763,3.687313888854584
71,213.11399841308594,250.110107421875,1.1735977424489885,3.9537558820715564
72,212.47000122070312,249.2949981689453,1.1733185707943317,3.9975043767403466
73,211.21499633789062,249.77499389648438,1.1825627830748697,2.0143009807865386
74,212.2100067138672,249.48500061035156,1.1756514429913008,3.4960882175279497
75,211.2899932861328,249.78469848632812,1.182188965040408,2.094425513720944
76,211.80999755859375,250.3300018310547,1.181861124198375,2.171967881132156
77,209.55999755859375,246.39999389648438,1.1757968923796633,3.406992473204605
78,210.27000427246094,246.91000366210938,1.1742521455517332,3.7474077151057035
79,209.69000244140625,246.0399932861328,1.173351091713988,3.9227090807219955
