,intc,adbe,Ratio,Spread
59,48.099998474121094,463.80999755859375,9.642619797756007,43.79263438997677
60,47.970001220703125,462.3500061035156,9.638315495893137,43.85162902724605
61,48.0099983215332,460.70001220703125,9.595918106924833,45.932676730723955
62,48.54499816894531,464.4800109863281,9.568030250405084,47.918438873641975
63,48.230201721191406,462.510009765625,9.589634570456443,46.49583902036122
64,48.03499984741211,458.260009765625,9.540127224343351,48.642123774041096
65,47.93000030517578,459.1199951171875,9.578969167409099,46.65054509510637
66,47.939998626708984,455.6549987792969,9.504693613517047,50.223294606876806
67,47.80500030517578,453.20001220703125,9.480180092331553,51.2233872186566
68,47.834999084472656,456.6099853515625,9.545520938449837,48.136714707239065
69,47.816001892089844,452.42999267578125,9.461895072214858,52.111972241501206
70,47.67490005493164,448.70001220703125,9.411661307942612,54.32128039104427
71,47.78969955444336,449.6300048828125,9.40851290288154,54.628496419856646
72,48.099998474121094,451.8999938964844,9.395010566156607,55.702638052086144
73,47.900001525878906,441.30999755859375,9.213152056376606,64.1372420205864
74,48.150001525878906,446.3999938964844,9.271027616822822,61.741527255907926
75,48.0099983215332,450.8800048828125,9.391377226534624,55.752684054942705
76,47.79999923706055,446.3500061035156,9.337866385517621,58.019496179495235
77,47.935001373291016,448.30999755859375,9.352456132574314,57.514439796377104
78,47.97999954223633,443.6499938964844,9.246561028120553,62.65939440815711
79,47.65999984741211,437.739990234375,9.184641033064205,65.12072094547293
80,46.91999816894531,424.55999755859375,9.048593651471943,70.3256220754977
81,47.2599983215332,427.3999938964844,9.043588850525772,71.14985032163449
82,48.31999969482422,439.3399963378906,9.092301306139088,70.63361655077821
83,48.16999816894531,439.3900146484375,9.121653131631373,68.96701285171443
84,47.86000061035156,434.8900146484375,9.086711431306915,70.12613001227496
85,47.92499923706055,433.4649963378906,9.04465317138056,72.25164673172625
86,47.4900016784668,431.5199890136719,9.086543983200874,69.5086304298994
87,47.369998931884766,444.3299865722656,9.379987261793813,55.405348115902456
88,47.189998626708984,440.9100036621094,9.343293420071419,56.88544500442802
89,47.557098388671875,448.3800048828125,9.42824562630627,53.37172428047356
90,47.63999938964844,452.6700134277344,9.50188957235994,49.97515029287965
