,meta,chtr,Ratio,Spread
0,226.4207000732422,571.8800048828125,2.5257408209488874,22.721438011745363
1,228.7899932861328,569.8200073242188,2.490580987130769,31.003415992488385
2,228.41000366210938,570.4600219726562,2.497526434159806,29.365513877683156
3,228.86270141601562,570.0999755859375,2.4910130486908706,30.914385922041447
4,230.1999969482422,571.77001953125,2.483796816295379,32.756202212039284
5,230.875,572.739990234375,2.4807362868841363,33.55885118725462
6,229.8800048828125,572.239990234375,2.489298669216967,31.44590311244815
7,229.6199951171875,567.4400024414062,2.4712133721273313,35.56308150787822
8,227.9149932861328,567.1699829101562,2.4885154536459577,31.35561047154738
9,230.11500549316406,566.8499755859375,2.463333385717763,37.45305083198264
10,229.58999633789062,569.969970703125,2.4825557724400706,32.95433371120862
11,228.80999755859375,569.530029296875,2.4890959109032353,31.345927066790637
12,227.41000366210938,568.8300170898438,2.5013412247907243,28.369427406205887
13,227.8300018310547,570.0700073242188,2.5021726846447074,28.232390732115732
14,226.77639770507812,554.77001953125,2.4463305050498527,40.765517839013455
15,224.61000061035156,552.9199829101562,2.461689067306266,36.92639777968759
16,224.45469665527344,555.1599731445312,2.4733720497600826,34.27856517159489
17,225.0399932861328,550.0399780273438,2.4441876752457126,40.93560271077706
18,224.79690551757812,547.7999877929688,2.4368662305724365,42.53722225781701
19,224.7949981689453,548.27001953125,2.438977842021183,42.062181647781586
20,222.3000030517578,545.4600219726562,2.453711266237174,38.32009410013427
21,225.05999755859375,547.9099731445312,2.4345062609444152,43.11814064054806
22,224.39999389648438,553.2100219726562,2.4652853699624067,36.084861901558156
23,224.41050720214844,553.030029296875,2.4643678060880942,36.29246347844878
24,223.2299041748047,554.489990234375,2.4839413531270003,31.73213113799318
25,224.5500030517578,559.530029296875,2.491783663738832,30.158792323067246
26,223.55160522460938,558.1900024414062,2.4969178900798994,28.87693527651993
27,224.8699951171875,561.8200073242188,2.4984213969117355,28.709142692189744
28,231.63499450683594,561.10498046875,2.4223670592751945,47.18967595658921
29,232.31500244140625,560.3599853515625,2.4120697305930325,49.72043403160012
30,233.48989868164062,560.0,2.3983906933959065,53.16580424182962
31,233.45010375976562,558.2899780273438,2.3914745336839007,54.77132111420531
32,232.8350067138672,563.9099731445312,2.4219295075225724,47.536024962734814
33,233.59539794921875,563.2899780273438,2.4113915897855027,50.15287692895663
34,233.92999267578125,562.1400146484375,2.403026684259097,52.181516626479606
35,232.43409729003906,558.8900146484375,2.4045095842845976,51.50315868706025
36,232.97999572753906,560.885009765625,2.4074384927947117,50.94174273691169
37,231.63999938964844,560.6300048828125,2.420264230530239,47.67779482200979
38,234.47000122070312,562.6699829101562,2.399752548218411,53.06966013582269
39,233.82000732421875,558.8900146484375,2.3902574507812377,55.14268504564279
40,231.90269470214844,554.8599853515625,2.392641388079662,54.13767624222851
41,231.86000061035156,556.7899780273438,2.4014059197862583,52.09556498110021
42,223.15310668945312,561.6900024414062,2.517061092154418,24.330441718649013
43,223.4499969482422,561.1900024414062,2.5114791233199028,25.610102660427742
44,222.86180114746094,562.0549926757812,2.5219889177144648,23.200456518991587
45,223.19900512695312,562.8099975585938,2.5215614076705837,23.330980091355627
46,222.10000610351562,556.8099975585938,2.5070237832369875,26.444908257533598
47,223.2100067138672,558.219970703125,2.5008734102978947,27.94989811910284
48,223.27000427246094,561.260009765625,2.5138173468241973,25.067418126504435
49,223.11000061035156,551.1699829101562,2.4703956855467992,34.73726074825299
50,220.625,549.6849975585938,2.4914900739199717,29.696407481566666
51,220.55999755859375,546.375,2.477217111207351,32.83570269077575
52,221.61000061035156,548.8900146484375,2.47682872224494,33.07809197853726
53,221.44000244140625,550.1400146484375,2.4843750387602452,31.38166125682494
54,223.3800048828125,553.77001953125,2.479049187154256,32.84628001269016
55,222.89999389648438,552.3300170898438,2.477927466190726,33.02572975293606
56,224.42999267578125,557.4400024414062,2.4838035050275207,31.933660967758897
57,223.39999389648438,555.9199829101562,2.488451200082619,30.7488096097685
58,224.80999755859375,558.3800048828125,2.4837863571315513,31.9915860636944
59,223.75999450683594,557.4400024414062,2.491240687013765,30.174184568901637
60,222.60000610351562,555.989990234375,2.497708782522778,28.577961258897176
61,223.94000244140625,556.1849975585938,2.483633971130813,31.90190673239283
62,222.3699951171875,557.5,2.5070828449953475,26.46392163068424
63,218.22000122070312,569.010009765625,2.607506216582504,4.055648773146686
64,217.15499877929688,567.530029296875,2.613479001115134,2.738835538222361
65,217.73500061035156,563.4000244140625,2.587549189770812,8.391978215039785
66,219.2899932861328,564.1300048828125,2.5725296281382404,11.745550568142676
67,217.970703125,561.3499755859375,2.575345987043127,11.061003379067301
68,218.36000061035156,561.52001953125,2.5715333301049212,11.913290194283263
69,216.4600067138672,559.9000244140625,2.586621117286482,8.543727766710049
70,220.2100067138672,567.0,2.574814870864334,11.291594759358759
71,218.6699981689453,564.0800170898438,2.5795949230037185,10.167374544163522
72,216.89500427246094,560.010009765625,2.5819405644868936,9.576085742907708
73,216.61000061035156,560.8099975585938,2.5890309587663296,8.027652296932615
74,214.11000061035156,554.6500244140625,2.5904909758206167,7.6223970557396115
75,213.61810302734375,550.4500122070312,2.576794777250559,10.530641272838125
76,214.13999938964844,549.489990234375,2.5660315298428893,12.861210770377966
77,215.42990112304688,555.4650268554688,2.57840264494298,10.273573939245125
78,215.9600067138672,556.0,2.5745507627097988,11.13070650362772
79,215.69000244140625,555.1599731445312,2.573879024807116,11.261677473565442
80,214.88999938964844,555.4749755859375,2.584927065771566,8.845793934532708
