,goog,nvda,Ratio,Spread
0,140.16799926757812,268.9898986816406,1.9190535649163678,-48.73583594715909
1,139.31600952148438,268.07000732421875,1.9241866619993793,-49.16434511265102
2,139.8175048828125,268.30999755859375,1.9190014711210641,-48.61064433072677
3,138.80699157714844,264.68011474609375,1.9068212035917909,-46.58004915756278
4,139.49649047851562,266.3100891113281,1.9090809252462415,-47.11878893527468
5,139.64950561523438,267.7300109863281,1.9171568836339756,-48.296541592497974
6,139.79299926757812,269.29998779296875,1.9264197005852988,-49.639418346887695
7,137.04200744628906,265.19390869140625,1.9351286049669392,-49.887193065004325
8,135.97683715820312,261.82000732421875,1.9254750499866575,-48.19908214310378
9,136.6685028076172,262.0299987792969,1.917266915173177,-47.314409809530176
10,136.82650756835938,260.15380859375,1.9013407066885453,-45.1881535838878
11,136.8040008544922,259.94580078125,1.9001330308879942,-45.01576599438546
12,136.4185028076172,260.0199890136719,1.906046347542477,-45.700062236172144
13,136.32199096679688,259.0299987792969,1.900133624386305,-44.86281634787191
14,137.52200317382812,260.57000732421875,1.894751394763045,-44.50362705046926
15,136.61399841308594,252.69000244140625,1.8496640562216475,-38.06067478455323
16,137.77249145507812,258.125,1.87355978885062,-41.66218475626424
17,137.97650146484375,255.58999633789062,1.8524168508723542,-38.80430490332178
18,137.09689331054688,253.52999877929688,1.8492760314051024,-38.13641810738811
19,136.7655029296875,252.8300018310547,1.8486387021223991,-37.96089573749397
20,135.6925048828125,250.6199951171875,1.8469700690810396,-37.44906806172581
21,137.5225067138672,252.89999389648438,1.8389716704530008,-36.832816695711884
22,137.4344940185547,254.42990112304688,1.851281244493809,-38.50201710617306
23,136.96824645996094,253.889892578125,1.8536405272030918,-38.69991468594053
24,136.69400024414062,252.8000030517578,1.849386239339309,-38.04406059546291
25,136.11898803710938,251.2899932861328,1.846105359067355,-37.44409319149496
26,134.71701049804688,243.5699005126953,1.8080114724355956,-31.942838444515633
27,133.4010009765625,241.52000427246094,1.8104811995743126,-31.975723053540197
28,132.65798950195312,234.9575958251953,1.7711529980765768,-26.589240801968447
29,134.66000366210938,245.42999267578125,1.822590123282763,-33.89315240632651
30,132.6487579345703,239.72000122070312,1.8071786344124403,-31.366256526231258
31,132.42698669433594,238.57000732421875,1.8015210742118524,-30.567248610118487
32,132.34300231933594,237.40499877929688,1.7938613649284794,-29.535157832911285
33,131.40750122070312,233.95010375976562,1.780340555801597,-27.560832475592992
34,130.01651000976562,233.50999450683594,1.7960026345061628,-29.322173750437873
35,127.04649353027344,218.27000427246094,1.7180324950916508,-18.782676441442693
36,127.3594970703125,218.53500366210938,1.7158909126459632,-18.552301163734388
37,125.15799713134766,211.3719940185547,1.688841295508503,-14.873492688685577
38,125.69000244140625,216.21499633789062,1.7202242989746541,-18.874517458919673
39,126.89900207519531,221.8800048828125,1.7484771452444932,-22.626104221621677
40,127.70699310302734,228.78309631347656,1.7914688205751292,-28.25042964666945
41,130.53199768066406,233.75999450683594,1.790825227992839,-28.756337822620754
42,128.6064910888672,226.10499572753906,1.7581149583756261,-24.148739680663414
43,127.86500549316406,223.85009765625,1.7506752280882474,-23.06735287469552
44,127.06400299072266,221.50709533691406,1.743271816748029,-21.992056179868815
45,127.60099792480469,223.91000366210938,1.7547668694100622,-23.545090133643487
46,128.62649536132812,227.38999938964844,1.767831726666276,-25.402083605586387
47,127.93550109863281,224.48069763183594,1.7546396090540255,-23.58638306706162
48,126.73500061035156,223.24000549316406,1.7614708203578142,-24.24566154843355
49,129.46273803710938,233.4700927734375,1.8033767577703734,-30.158698547908177
50,130.99899291992188,231.38999938964844,1.7663494522518535,-25.64725326486128
51,131.69876098632812,235.22999572753906,1.786121554719552,-28.379762533820998
52,131.69850158691406,236.49009704589844,1.7956931490965176,-29.640274390343723
53,131.77499389648438,237.88929748535156,1.8052688939771464,-30.918414370212236
54,128.9449920654297,229.19000244140625,1.7774246116135315,-26.698018240645656
55,129.2550048828125,227.75999450683594,1.7620980689554868,-24.77736890224914
56,131.3874969482422,226.19900512695312,1.7216174322588722,-19.841393579966894
57,131.28700256347656,222.99000549316406,1.6984926240916316,-16.791441260525364
58,130.65875244140625,221.47000122070312,1.6950261431588447,-16.265736270425794
59,129.031494140625,217.0,1.681759956708728,-14.371113396409715
60,129.45199584960938,219.77499389648438,1.6977335301327265,-16.480600780779003
61,129.42599487304688,218.97079467773438,1.6918610120982374,-15.71755197558021
62,129.06649780273438,219.3000030517578,1.6991241475145362,-16.615717945417277
63,129.41400146484375,215.96609497070312,1.668800072064628,-12.731833621278572
64,131.65249633789062,223.22999572753906,1.6956001742239029,-16.452983222721958
65,131.40975952148438,222.22000122070312,1.6910464034779096,-15.827155839578854
66,131.49575805664062,221.99000549316406,1.688191381790003,-15.461054636233104
67,130.92149353027344,216.9600067138672,1.6571763800089767,-11.33991490271065
68,131.88449096679688,222.9499969482422,1.6904944267053499,-15.80581842955623
69,133.3144989013672,228.44000244140625,1.713542070247121,-19.0326236253152
70,133.40792846679688,236.8000030517578,1.775006971273777,-27.24475804894492
71,132.9949951171875,237.41000366210938,1.7851047962588171,-28.508287116762848
72,133.88424682617188,238.82000732421875,1.7837797424688047,-28.510917656256527
73,134.3564910888672,238.77000427246094,1.7771378393213,-27.713517803444592
74,135.36349487304688,241.55360412597656,1.78448114354998,-28.903384357481475
75,134.5500030517578,240.49009704589844,1.7873659724361974,-29.127349107013334
76,135.67349243164062,245.0500030517578,1.8061745051283822,-31.90916602874025
77,135.24200439453125,242.3699951171875,1.7921206965414376,-29.912052104968627
