,ups,noc,Ratio,Spread
0,199.9720458984375,372.02337646484375,1.8603769081493935,121.57151312232526
1,195.94529724121094,364.6215515136719,1.860833388947419,118.98408279954998
2,200.46571350097656,373.03851318359375,1.8608594291201648,121.78102987018536
3,201.76278686523438,374.3395080566406,1.8553446543473713,123.69771706461893
4,205.3926544189453,375.6799621582031,1.8290817810451871,131.36196543922506
5,208.2191162109375,378.6761779785156,1.8186427109550098,135.37742349421086
6,207.80287170410156,379.780029296875,1.8275975985435768,133.24098410316407
7,207.72543334960938,379.4449462890625,1.8266658067355817,133.38396386419737
8,207.04788208007812,378.9915466308594,1.8304536265880762,132.15654528200997
9,207.47377014160156,381.4949645996094,1.8387623859114226,130.70963839126063
10,206.66067504882812,379.9771423339844,1.838652381466413,130.2103954921326
11,210.3292694091797,391.2720947265625,1.8602836201811372,128.0162161255409
12,207.6867218017578,389.3008728027344,1.8744620235006253,123.4320046535642
13,209.70008850097656,391.54803466796875,1.8671810654297618,126.17945149887515
14,211.17141723632812,394.6526794433594,1.8688735654110422,126.72476841228871
15,204.9473876953125,396.4366149902344,1.9343335840884277,109.5007284014277
16,204.5021209716797,394.8301086425781,1.9306895535682775,110.00265054331788
17,204.45372009277344,389.8330993652344,1.90670582657211,114.87959055981759
18,203.72775268554688,391.88311767578125,1.9235627572088894,111.02864689517958
19,199.9236297607422,397.6390686035156,1.9889548277979376,95.83571386995283
20,199.0040740966797,395.84527587890625,1.9891315174110338,95.34834204995144
21,197.2327117919922,395.864990234375,2.007096016871008,90.93436528815755
22,195.80978393554688,391.68603515625,2.0003394482329755,91.58342793832242
23,195.48068237304688,393.0658874511719,2.0107658858130133,89.38716523423147
24,197.59083557128906,397.2546691894531,2.010491367379876,90.43309287532713
25,195.4709930419922,397.3729248046875,2.032899708650488,85.05609131683315
26,192.62518310546875,397.4222717285156,2.0631895857091207,77.94707309565428
27,188.58876037597656,368.6033630371094,1.9545351605379344,96.75272780208712
28,191.89920043945312,374.7239685058594,1.9527125055640344,98.84441311136288
29,195.7323760986328,364.572265625,1.8626058340051312,118.50516992850629
30,223.3000030517578,365.24249267578125,1.6356582520561953,186.2226388511263
31,224.67453002929688,365.6367492675781,1.627406316238428,189.23820542644552
32,221.3640899658203,368.4259338378906,1.6643437239291041,178.2367300781073
33,217.58900451660156,364.4244079589844,1.674829152183467,172.87330784545628
34,217.85035705566406,367.7853088378906,1.6882474456716907,170.16075069282266
35,217.9858856201172,373.8565979003906,1.7150495631258826,164.42567070182855
36,217.8600616455078,378.823974609375,1.7388408492501966,159.14615933807755
37,213.6106719970703,376.5177001953125,1.7626352497991133,150.91086744888156
38,206.65101623535156,393.5685729980469,1.9045082872944494,116.59500396990035
39,207.13499450683594,384.97412109375,1.858566303633667,126.39007277692468
40,210.30023193359375,379.22808837890625,1.803269948359613,139.9881884872621
41,208.41268920898438,387.9900817871094,1.8616432773824776,126.54372102328028
42,203.96006774902344,392.3759460449219,1.9237880746722813,111.11212826637649
43,204.1258087158203,385.6147766113281,1.889103484940373,118.28445542736239
44,203.7455596923828,385.10223388671875,1.8901135046483966,117.85370496778717
45,199.36781311035156,380.51922607421875,1.9086291821017194,111.57672824808162
46,202.0100555419922,389.793701171875,1.929575733871564,108.85692948910008
47,204.7010498046875,405.3787536621094,1.9803452598259539,99.94749321408415
48,205.15931701660156,437.5086364746094,2.1325311608402657,68.95444524109524
49,200.44032287597656,451.3223876953125,2.25165466319155,43.43416820523698
50,206.17332458496094,448.6407775878906,2.176036975156854,60.337777854210636
51,207.11904907226562,444.9795227050781,2.1484239363701447,66.34511493054544
52,205.1300506591797,463.6617431640625,2.26033066181234,42.72873677285941
53,196.15032958984375,472.9435119628906,2.411127796480535,11.170751183232033
54,198.32456970214844,444.5045166015625,2.2412982782170494,45.00343792127155
55,201.6103057861328,445.2071228027344,2.2082557787249617,52.45183872343865
56,202.00030517578125,439.9527282714844,2.1779805128939596,58.67371441418198
57,198.80230712890625,431.7297668457031,2.1716537050335307,58.96332276154647
58,199.19232177734375,436.7961730957031,2.1928363964950006,54.86443552389637
59,205.26657104492188,443.1291198730469,2.158798276880991,63.600029571053945
60,212.45230102539062,419.9841003417969,1.9768394991005707,104.57086770057634
61,216.76182556152344,424.3083190917969,1.957486370086718,110.9373933613337
62,214.28529357910156,423.4672546386719,1.9761844014850818,105.63486349746319
63,213.09580993652344,441.9219055175781,2.0738179021409056,84.22943104231587
64,212.9593048095703,441.625,2.0737530130223902,84.1877049055716
65,209.21530151367188,442.2385559082031,2.113796422673719,74.2863071545184
66,209.29330444335938,449.8084411621094,2.1491774061211792,66.90992570308214
67,209.966064453125,453.3805847167969,2.1593041042021066,65.00671459184167
68,214.06105041503906,442.1197814941406,2.065391067814171,86.42605106274976
69,216.8885498046875,441.6349182128906,2.0362297530717584,93.92516221354066
70,214.69480895996094,448.58135986328125,2.0893908056572457,81.53665323582112
71,209.09832763671875,442.5353698730469,2.1163984182690103,73.69931319168273
72,201.47381591796875,450.0260925292969,2.233670367927749,47.2942751954102
73,200.07957458496094,447.5522766113281,2.2368713924932973,46.309362055654226
74,192.27957153320312,449.2542724609375,2.3364638733000276,25.257705163321425
75,189.5300750732422,456.626220703125,2.409254681752571,11.065012854063019
76,187.88232421875,465.83868408203125,2.479417294942864,-2.23506694059534
77,186.19557189941406,458.8031921386719,2.464092929054859,0.6160566857769307
78,186.06881713867188,457.29913330078125,2.457688184044127,1.8056718446538351
79,183.1925811767578,458.4271545410156,2.502432967515704,-6.457499288808657
