,aapl,tsla,Ratio,Spread
0,162.92999267578125,318.5,1.9548273142919221,-57.076044665103886
1,162.87379455566406,319.6066589355469,1.9622963890997056,-58.27343129476508
2,163.0800018310547,323.36334228515625,1.9828509851266105,-61.69720830219125
3,159.60000610351562,312.9765319824219,1.9610057644949408,-56.92859282926411
4,159.75,312.7900085449219,1.957996923598885,-56.49991537787769
5,162.61000061035156,290.4366760253906,1.7860935670330584,-29.529324131513075
6,162.3300018310547,288.5199890136719,1.7773670039993574,-28.064674368503912
7,161.1446075439453,286.9100036621094,1.7804505408837024,-28.36842011793635
8,158.77999877929688,284.9366760253906,1.7945375879581071,-30.2125778392986
9,159.07000732421875,283.9933166503906,1.7853354094059442,-28.80102119187489
10,158.7949981689453,278.9333190917969,1.756562374811289,-24.18500550431622
11,159.1999969482422,276.4433288574219,1.7364531039990967,-21.041174798265384
12,165.44960021972656,274.7266540527344,1.6604854510852949,-9.234979334013811
13,167.89999389648438,283.07000732421875,1.685944119204318,-13.622353873452877
14,168.2357940673828,280.3333435058594,1.6663121249546846,-10.343565601014344
15,168.27000427246094,278.1233215332031,1.6528395701640852,-8.0783137912133
16,166.94500732421875,272.7566833496094,1.6338115629891048,-4.850784844224502
17,168.710205078125,276.1877746582031,1.6370543473070183,-5.432095385530768
18,170.3498992919922,282.10333251953125,1.6560228898990161,-8.700488630559786
19,172.6199951171875,300.8500061035156,1.7428456413712439,-23.782260982812314
20,172.57000732421875,305.8299865722656,1.7722082261819836,-28.84294303340283
21,172.63499450683594,305.3333435058594,1.768664252448358,-28.241382983767434
22,173.02999877929688,307.32666015625,1.7761466932000105,-29.596994552013822
23,173.6199951171875,311.6485595703125,1.7950038494123934,-32.96638866587977
24,173.2899932861328,308.3216857910156,1.7792238313606563,-30.172278351315523
25,174.8000030517578,312.27667236328125,1.7864797878225263,-31.68946622427296
26,172.89999389648438,308.0,1.7813765811027171,-30.480217630587045
27,173.97999572753906,312.0199890136719,1.7934245124497532,-32.75662384172926
28,173.77999877929688,309.96722412109375,1.7836760634044924,-31.026739179060538
29,173.00999450683594,311.11663818359375,1.7982581819647476,-33.41926799260329
30,173.0924072265625,307.0179748535156,1.7737229481802546,-29.18755544289132
31,174.127197265625,310.4566650390625,1.7829303515720845,-30.955653908629355
32,174.61000061035156,310.3166809082031,1.7771987848547453,-30.03621960957258
33,175.02999877929688,305.2099914550781,1.7437581762194434,-24.25147428338317
34,173.94000244140625,300.413330078125,1.727108921821033,-21.214531098491303
35,174.48550415039062,300.7833251953125,1.7238298772146978,-20.70385419162596
36,174.4799041748047,302.1333312988281,1.7316225196692703,-22.062901040115772
37,174.92999267578125,300.92999267578125,1.7202881454041499,-20.1329279361322
38,175.22000122070312,301.6666564941406,1.7216450998317718,-20.401394482067868
39,175.8300018310547,301.8833312988281,1.7169045564185974,-19.6332685733131
40,175.8300018310547,308.5733337402344,1.7549526845636128,-26.32327101471935
41,175.0500030517578,309.3966369628906,1.76747575874883,-28.40582437794995
42,175.13009643554688,304.40753173828125,1.738179433083978,-23.287414329445365
43,175.67999267578125,304.88665771484375,1.7354660201831542,-22.878773637397668
44,174.9550018310547,301.13665771484375,1.7212234835425648,-20.299217550092006
45,174.61000061035156,300.2900390625,1.7197757173863593,-20.009577763869455
46,173.0,297.2011413574219,1.7179256725862535,-19.519906555963015
47,171.5749969482422,302.4033508300781,1.7625140970936575,-27.02267769727018
48,171.5500030517578,300.3466491699219,1.7507819517747558,-25.006326828034158
49,171.97500610351562,302.3733825683594,1.7582402781620141,-26.34692434155016
50,173.01719665527344,308.6250305175781,1.7837824013094796,-30.9160329924519
51,172.8520050048828,308.7283935546875,1.7860851168371832,-31.28608568920873
52,173.53500366210938,310.2366638183594,1.787746894121847,-31.691705310401456
53,172.32000732421875,307.6166687011719,1.7851477229941937,-31.033231608241405
54,173.27999877929688,309.1666564941406,1.7842027855039388,-31.03338444397212
55,172.6199951171875,306.3299865722656,1.7745915608693286,-29.262241451562314
56,171.83999633789062,303.6666564941406,1.7671477127888084,-27.858161514011666
57,172.55799865722656,306.3733215332031,1.7754802670248315,-29.405665095960725
58,172.61000061035156,306.3833312988281,1.775003361424321,-29.331721567656412
59,172.25999450683594,305.4099426269531,1.7729592033328045,-28.9233917737597
60,171.7100067138672,302.4433288574219,1.7613611148557293,-26.844692477933673
61,171.99989318847656,300.6460266113281,1.7479431006499626,-24.579390032876116
62,173.66000366210938,305.2133483886719,1.757533928091618,-26.466586657747822
63,174.8000030517578,306.34002685546875,1.7525172855103572,-25.75282071646046
64,174.32989501953125,307.5716857910156,1.7643083290823784,-27.74343418037216
65,174.05999755859375,305.3000183105469,1.7539930058184325,-25.90749611980402
66,174.3498992919922,307.1300048828125,1.7615725970018892,-27.26945785892337
67,174.82000732421875,307.22332763671875,1.7573693785914712,-26.60382608446474
68,175.67999267578125,309.2102355957031,1.7600765510410337,-27.202351518257043
69,175.4499969482422,310.7815246582031,1.7713395842912656,-29.144951613443705
70,175.5612030029297,309.8000183105469,1.7646268823150926,-27.98391134379312
71,175.6199951171875,312.1982116699219,1.7776917227539986,-30.287189198030315
72,175.91009521484375,311.6000061035156,1.7713594306395555,-29.220638554105445
73,175.59800720214844,310.9700012207031,1.7709198764580194,-29.094476605781093
74,176.27999877929688,310.663330078125,1.762328864473595,-27.686780676768247
75,174.9199981689453,311.5450134277344,1.7810714423106195,-30.764084077616925
76,174.39999389648438,310.8683166503906,1.7825018780385247,-30.926895605383603
77,174.9199981689453,311.03759765625,1.7781705974855797,-30.25666830613255
