,tsm,nvda,Ratio,Spread
0,115.19999694824219,278.4440002441406,2.417048677260311,-45.153446996644206
1,114.45999908447266,274.0061950683594,2.393903523152573,-42.227327597168184
2,114.44000244140625,274.38800048828125,2.3976581145982503,-42.649982649740835
3,114.31999969482422,272.1618957519531,2.3807023834717094,-40.66902246585984
4,114.16999816894531,274.31500244140625,2.4026890325029453,-43.12855594949336
5,114.95999908447266,277.8399963378906,2.416840627614599,-45.03971660977432
6,114.95999908447266,277.1600036621094,2.410925590373849,-44.35972393399307
7,115.22000122070312,276.1199035644531,2.3964580857410973,-42.78848509879175
8,116.2300033569336,278.93011474609375,2.3998116380459904,-43.535439157499624
9,116.52999877929688,282.75360107421875,2.4264447269903666,-46.746087482778066
10,116.76000213623047,286.53009033203125,2.454008950751135,-50.05272024477874
11,117.30000305175781,288.8500061035156,2.4624893315310703,-51.26950890852227
12,117.19000244140625,289.1807861328125,2.467623347626431,-51.82500088118381
13,117.43000030517578,290.8599853515625,2.4768797121321535,-53.01392658055373
14,119.25,288.4432067871094,2.4188109583824686,-46.879208024313655
15,120.30999755859375,293.5495910644531,2.43994345458687,-49.82020330434064
16,120.72000122070312,292.6742858886719,2.4244059222100067,-48.107332596833956
17,120.41000366210938,291.05999755859375,2.4172409991395467,-47.12631487868488
18,120.54000091552734,289.5400085449219,2.4020242769686657,-45.34076428899759
19,121.21499633789062,292.1300048828125,2.4100153752303957,-46.55186343134777
20,121.30999755859375,294.1400146484375,2.424697226676354,-48.36780237447472
21,121.2300033569336,296.69000244140625,2.447331470971517,-51.08120428356072
22,121.49500274658203,299.3999938964844,2.464298836397263,-53.249848489309656
23,121.19999694824219,297.4100036621094,2.453877979791672,-51.86250333151126
24,121.27999877929688,297.7799987792969,2.455310041033159,-52.069068747067334
25,121.23999786376953,296.6106872558594,2.4464755236068534,-50.98147207444556
26,120.8499984741211,297.4700012207031,2.4614812161905286,-52.63748635284979
27,120.68000030517578,296.3800048828125,2.455916507568166,-51.89476644179031
28,122.95999908447266,308.75,2.510979198917291,-59.607124161081444
29,122.73999786376953,308.3699951171875,2.512383904873868,-59.67654316499825
