,ms,blk,Ratio,Spread
0,90.91999816894531,725.280029296875,7.977123228150285,-19.237699104909364
1,91.80000305175781,731.6099853515625,7.969607418630183,-18.65794974708255
2,93.1500015258789,739.0,7.933440557107144,-15.447918934740226
3,93.74649810791016,743.969970703125,7.9359761241081515,-15.734261464990862
4,94.20999908447266,745.7100219726562,7.915402072173053,-13.83495201163161
5,94.29000091552734,747.6400146484375,7.929154813756278,-15.136778758056987
6,94.3499984741211,746.27001953125,7.909592279812719,-13.295689146452712
7,94.37000274658203,747.5800170898438,7.921797131842514,-14.448615270107364
8,94.55500030517578,750.9600219726562,7.942044519580525,-16.37603885833452
9,91.61000061035156,738.8099975585938,8.064730844190292,-27.349841060033935
10,92.02999877929688,747.489990234375,8.1222427485518,-32.732052464497016
11,91.52999877929688,743.64501953125,8.124604276728721,-32.81302896204606
12,91.12999725341797,739.1810302734375,8.111281164838545,-31.489809445812778
13,90.2699966430664,736.260009765625,8.15619848394197,-35.32142291557561
14,90.48999786376953,740.2000122070312,8.179909710257526,-37.53399900385334
15,90.7300033569336,743.6599731445312,8.196406322382227,-39.109462153285605
16,88.05000305175781,730.0800170898438,8.291652376896408,-46.5725854904188
17,87.62999725341797,723.530029296875,8.256647860030077,-43.32043887396837
18,87.06999969482422,720.3400268554688,8.273113924201478,-44.52747812765294
19,86.68499755859375,717.1099853515625,8.272596245582635,-44.32043274172172
20,87.12000274658203,719.30810546875,8.256520693199478,-43.102938058786705
21,87.48500061035156,716.0800170898438,8.185174739601184,-37.00892499684453
22,87.62999725341797,714.7000122070312,8.155883083508309,-34.49042178412462
23,87.44999694824219,734.3800048828125,8.397713327736989,-55.58375784835657
24,87.125,738.0900268554688,8.471621542100072,-61.84562153937081
25,88.63749694824219,741.1500244140625,8.361585671206846,-53.02965277800574
26,88.5739974975586,741.5700073242188,8.372321767961969,-53.94822666947316
27,88.35549926757812,738.9199829101562,8.363033303364531,-53.01382728409878
28,88.66999816894531,737.5599975585938,8.318033300883812,-49.18442976966121
29,88.38999938964844,738.4099731445312,8.353999075047037,-52.23292620314412
30,88.69999694824219,742.8963012695312,8.37538136222285,-54.28518623339032
31,87.68000030517578,735.3800048828125,8.387089442555611,-54.777795777758385
32,87.48750305175781,735.3635864257812,8.40535574538844,-56.27284542711452
33,88.11499786376953,742.9400024414062,8.431481818680073,-58.92223844142988
34,88.21499633789062,743.3800048828125,8.426911928165115,-58.57706342374131
35,87.98999786376953,741.4099731445312,8.426071043806807,-58.37369594472334
36,87.80000305175781,737.7100219726562,8.402163967326729,-56.165563973568325
37,86.16999816894531,712.1199951171875,8.264129166174538,-43.374163331624956
38,85.29000091552734,706.5499877929688,8.284089344690567,-44.71380151472037
39,85.36000061035156,710.6649780273438,8.32550343188683,-48.27916153720905
40,85.63999938964844,705.6887817382812,8.240177332644633,-41.10444440060114
41,85.56999969482422,700.8699951171875,8.190604155857912,-36.83528799139371
42,85.45999908447266,696.614990234375,8.151357333222156,-33.44399628514559
43,86.37000274658203,696.3900146484375,8.062868964954342,-26.07376803948527
44,85.08000183105469,683.3499755859375,8.031851914423806,-23.162679943348206
45,85.5999984741211,685.0900268554688,8.003388306865306,-20.819772482466572
46,84.66000366210938,681.1199951171875,8.045357496506123,-24.230480745916264
47,84.27999877929688,680.8709716796875,8.078677996456515,-26.965215520256645
48,83.91999816894531,678.2150268554688,8.08168543438366,-27.135957472939293
49,83.87000274658203,678.489990234375,8.08978142381217,-27.80347962879277
50,83.45999908447266,676.5800170898438,8.106638204070126,-29.112811943310287
51,82.25,663.969970703125,8.07258323043313,-26.0035505935986
52,82.37999725341797,662.4600219726562,8.041515465638968,-23.47287715682675
53,84.81999969482422,673.2999877929688,7.937986208623554,-15.154201468186027
54,84.7699966430664,670.905029296875,7.914416136192573,-13.151861654239763
55,84.06999969482422,669.5,7.9636017893457645,-17.24313447622823
56,83.8499984741211,668.9299926757812,7.977698328548394,-18.400553505138117
57,83.29000091552734,662.8099975585938,7.957857969419584,-16.677600083041437
58,87.5250015258789,686.572509765625,7.844301602926828,-7.187334707947838
59,87.55999755859375,687.1016235351562,7.8472092587183875,-7.441663324135942
60,88.13999938964844,692.2999877929688,7.854549496108524,-8.085914451918637
61,88.88999938964844,701.9149780273438,7.896444851467558,-11.811983885282569
62,87.58000183105469,696.2650146484375,7.95004567357238,-16.447983002478207
63,87.8499984741211,696.6719970703125,7.930244839737118,-14.734980294277232
64,87.41000366210938,693.25,7.931014425760871,-14.767776025021742
65,87.25,688.9400024414062,7.8961604864344554,-11.714110325139853
66,85.91999816894531,688.5,8.013268327196608,-21.717141814774475
67,86.05000305175781,696.8400268554688,8.098082535061966,-29.036384058739866
68,85.25,698.760009765625,8.196598355021994,-37.23790645205456
69,85.6500015258789,704.5,8.225335521881307,-39.83712694485034
70,85.51499938964844,698.8300170898438,8.172016863446729,-35.22716655233209
71,85.86000061035156,697.1500244140625,8.119613550643416,-30.83826072325375
72,86.75,692.5800170898438,7.983631320920389,-19.280072174251284
73,86.29000091552734,688.5800170898438,7.979835552023248,-18.891936410247393
74,86.33000183105469,688.155029296875,7.9712152751203975,-18.152865652600706
75,86.31999969482422,694.1199951171875,8.041241862502083,-24.196367190382755
76,86.36000061035156,693.5999755859375,8.031495723528272,-23.36226469445482
77,85.63999938964844,689.0599975585938,8.046006567836134,-24.475660220913635
78,85.18000030517578,687.0999755859375,8.066447207375594,-26.127502484253494
79,86.05000305175781,705.2899780273438,8.19628068581383,-37.48633523061487
