,pfe,lly,Ratio,Spread
0,53.564998626708984,289.19500732421875,5.398954816364322,79.29772394012707
1,53.189998626708984,288.7950134277344,5.429498418575217,77.11795908057877
2,53.029998779296875,288.2200012207031,5.435036919767484,76.59227526807592
3,52.872100830078125,288.04998779296875,5.448052626444938,75.67605238365923
4,52.80500030517578,288.0899963378906,5.4557332577016,75.17443539433413
5,52.9901008605957,288.9519958496094,5.452942930034669,75.5858086255248
6,52.75,288.57000732421875,5.4705214658619665,74.31605769104146
7,52.58000183105469,288.6099853515625,5.488968720063914,73.1066016241079
8,52.685001373291016,290.20001220703125,5.508209255815829,72.23890407120871
9,52.57500076293945,290.6300048828125,5.527912518599143,71.05217796149844
10,52.22999954223633,288.8299865722656,5.529963413817384,70.47880981884305
11,52.125,289.2650146484375,5.549448722272182,69.32145244010161
12,52.17499923706055,288.44500732421875,5.528414212593465,70.48542234992544
13,52.439998626708984,290.0299987792969,5.5307018759450814,70.72345621695098
14,52.70989990234375,290.1700134277344,5.505038217969219,72.44018871273522
15,52.209999084472656,288.2699890136719,5.521355948450952,70.90121709466217
16,52.13999938964844,289.75,5.557153881699608,68.93965323995434
17,52.334999084472656,290.1000061035156,5.543135782524276,69.93111959016267
18,52.36000061035156,290.19000244140625,5.5422077742305405,70.01311766640612
19,52.07500076293945,289.05999755859375,5.5508400062148615,69.18250694434033
20,51.77000045776367,286.4700012207031,5.533513592576041,69.67429739457799
21,51.165000915527344,289.9700012207031,5.667350650485462,62.01228975063157
22,51.30500030517578,290.2550048828125,5.65744085676442,62.69039182528161
23,51.314998626708984,290.44500732421875,5.660041217910991,62.569171403931136
24,51.244998931884766,291.04998779296875,5.679578375634948,61.48263806680143
25,51.5,292.30999755859375,5.675922282691141,61.97687160322431
26,51.33000183105469,291.635009765625,5.6815702194108555,61.482381356603184
27,51.560001373291016,292.6700134277344,5.6762995661854765,62.029626582407616
28,51.0099983215332,293.375,5.751323459192422,57.54097284049692
29,50.9192008972168,292.6400146484375,5.747144682006056,57.651330324311516
30,50.8849983215332,292.8450012207031,5.755036079008354,57.21105203444955
31,50.93550109863281,292.3349914550781,5.739317080418884,58.06848841721239
32,50.900901794433594,292.6600036621094,5.74960351083827,57.50545525561961
33,50.80500030517578,291.7250061035156,5.742053033189255,57.78071226320162
34,50.939998626708984,291.3699951171875,5.719866567966801,59.06442485492971
35,51.71500015258789,293.2799987792969,5.6710818507968375,62.48593311901976
36,51.72999954223633,294.7699890136719,5.69824070408118,61.099129036059935
37,51.34000015258789,293.42999267578125,5.715426408330276,59.75618046650271
38,51.42539978027344,293.55999755859375,5.708463109920287,60.21367008311347
39,51.195701599121094,292.8039855957031,5.719307997543487,59.38950632847735
40,51.130001068115234,292.8500061035156,5.7275572068418645,58.89150843362921
41,51.279998779296875,292.54998779296875,5.704953095885781,60.22341450099128
42,52.494998931884766,297.2799987792969,5.663015617259742,63.85182293391546
43,52.11000061035156,299.3999938964844,5.745538099974788,59.08328704063956
44,52.39500045776367,300.0050048828125,5.725832660783173,60.43889165918972
45,52.415000915527344,301.67498779296875,5.7555085857797055,58.906499031808096
46,52.38999938964844,301.5299987792969,5.75548773224218,58.879493631345895
47,52.70500183105469,303.3500061035156,5.755620824678098,59.22650045749896
48,52.880001068115234,306.1600036621094,5.789712509039887,57.620385069854535
49,54.189998626708984,311.8599853515625,5.754936210643379,60.93234383950437
50,54.18000030517578,311.54998779296875,5.750276597233732,61.1735593780424
51,54.5099983215332,310.3999938964844,5.694368069240362,64.59372733365069
52,54.98500061035156,311.30999755859375,5.661725818004011,66.95143384144717
53,55.310001373291016,308.55999755859375,5.578737839402698,71.93723001187482
54,55.26499938964844,308.3399963378906,5.579299732981542,71.84764653566918
55,55.16999816894531,308.5199890136719,5.5921696438869,71.0141065773741
56,54.56999969482422,309.07000732421875,5.663734818630263,66.33648475424025
57,54.93000030517578,310.3500061035156,5.649918157278307,67.53305857956082
58,55.03499984741211,310.7099914550781,5.645679882193886,67.89540253056788
59,55.32500076293945,311.8900146484375,5.637415460414475,68.71039907344624
60,55.20000076293945,311.0299987792969,5.634601349283282,68.71049535724268
61,55.32500076293945,311.32000732421875,5.627112571731994,69.28040639766499
62,55.22999954223633,311.7799987792969,5.645120430263044,68.16686766007308
63,54.415000915527344,309.32000732421875,5.684462043920579,65.0201928660656
64,54.20000076293945,309.5299987792969,5.710885505945332,63.3311386744889
65,54.13999938964844,310.54998779296875,5.736054512264104,61.89837881249309
66,53.970001220703125,310.3500061035156,5.750416881303757,60.92888246235634
67,54.09000015258789,310.2200012207031,5.735256061112452,61.884402799153634
68,53.875,308.57000732421875,5.727517537340487,62.05533395913943
69,53.959999084472656,309.20001220703125,5.730170820110439,62.01006809612187
70,52.810001373291016,305.3949890136719,5.78290060731048,57.90384684991227
71,53.404998779296875,308.3999938964844,5.7747402105744365,58.99204134832735
72,53.345001220703125,308.8599853515625,5.789858061371538,58.11930528758842
73,53.345001220703125,309.2449951171875,5.797075415515595,57.73429552196342
74,53.345001220703125,307.6099853515625,5.766425687739594,59.36930528758842
75,53.02629852294922,306.8800048828125,5.787317113035867,57.906816222733426
76,53.11000061035156,307.95001220703125,5.798343224778825,57.41262541284641
77,52.891998291015625,303.32501220703125,5.7347996295794115,60.53790970046691
78,52.939998626708984,302.95001220703125,5.722516434939775,61.243121130593465
79,53.125,303.010009765625,5.703717830882353,62.45581400566789
80,53.130001068115234,302.75,5.69828710546909,62.75022790265234
81,53.150001525878906,304.0150146484375,5.719943667365873,61.622803536989466
