,aapl,nvda,Ratio,Spread
0,170.36000061035156,284.06500244140625,1.6674395481549773,-79.3967032882855
1,173.13499450683594,286.3900146484375,1.654142858087132,-78.3681888130605
2,170.7458038330078,282.423095703125,1.654055850059656,-77.28856078533562
3,171.89999389648438,282.7200012207031,1.6446772033683312,-76.19064983893256
4,171.85000610351562,282.20001220703125,1.6421297770396655,-75.73107011038385
5,171.73500061035156,282.1899108886719,1.64317064014767,-75.8599507157038
6,170.86000061035156,277.8699951171875,1.6263022013611812,-72.59745559321317
7,167.94500732421875,278.4440002441406,1.6579474714994233,-76.69417396866342
8,168.72999572753906,274.0061950683594,1.6239329224592507,-71.30772542500614
9,170.10499572753906,274.38800048828125,1.6130508061490128,-70.0278698250807
10,169.42160034179688,272.1618957519531,1.606417925476353,-68.62763525139351
11,169.59840393066406,274.31500244140625,1.617438584820367,-70.56707820863593
12,169.77999877929688,277.8399963378906,1.636470717019293,-73.87261822775434
13,169.91000366210938,277.1600036621094,1.6312165127915725,-73.0355171547663
14,169.57290649414062,276.1199035644531,1.6283255932397083,-72.40279249268428
15,170.29910278320312,278.93011474609375,1.6378836422948264,-74.3354094442937
16,171.48500061035156,282.75360107421875,1.6488532528666564,-76.72576108667747
17,170.96119689941406,286.53009033203125,1.675994877952409,-81.13525704159267
18,172.0800018310547,288.8500061035156,1.6785797479657387,-82.10311859946236
19,172.57699584960938,289.1807861328125,1.6756624178625545,-81.83329092859225
20,172.97999572753906,290.8599853515625,1.681466022289053,-83.02547255595388
21,173.625,288.4432067871094,1.6612999670963824,-79.82921874991288
22,173.85960388183594,293.5495910644531,1.6884289651549231,-84.65208875412816
23,174.3699951171875,292.6742858886719,1.6784670188926514,-83.15998559968844
24,174.2100067138672,291.05999755859375,1.6707421292776132,-81.73904017391939
25,173.71029663085938,289.5400085449219,1.6667981930869924,-80.82294117199933
26,174.9250030517578,292.1300048828125,1.6700300116409053,-81.94498819340618
27,175.6300048828125,294.1400146484375,1.6747708618735149,-83.10301682333332
28,176.44129943847656,296.69000244140625,1.6815224291910142,-84.67257076993019
29,175.71609497070312,299.3999938964844,1.7038848601000545,-88.2589578581125
30,175.9822998046875,297.4100036621094,1.6899995283172649,-85.94726420851802
31,176.19000244140625,297.7799987792969,1.690107240212603,-86.06625468922911
32,176.05999755859375,296.6106872558594,1.6847136849308753,-85.05405156299841
33,176.21499633789062,297.4700012207031,1.6881083188306354,-85.72605248807378
34,176.2899932861328,296.3800048828125,1.6812071936593926,-84.54542378254567
