,amzn,nke,Ratio,Spread
0,163.32550048828125,159.19000244140625,0.9746794099236713,-5.234210100597872
1,162.8000030517578,158.97000122070312,0.9764741906679385,-5.512611003835028
2,162.51998901367188,158.2082061767578,0.9734692153064856,-5.016392119953261
3,162.6272430419922,157.64999389648438,0.969394739451971,-4.356455964736407
4,162.20350646972656,157.4499969482422,0.9706941629996664,-4.558347195065645
5,162.77468872070312,157.42999267578125,0.9671650667132126,-3.996611551035935
6,162.5854949951172,156.97000122070312,0.965461286847374,-3.716058753721862
7,157.13626098632812,150.4199981689453,0.9572583516037259,-2.3343203119608322
8,158.67550659179688,151.0800018310547,0.9521318385938283,-1.5344438191702157
9,157.52499389648438,149.3350067138672,0.9480083320111148,-0.880639507322522
10,158.91000366210938,149.17999267578125,0.9387703054427142,0.5879714408308329
11,160.53750610351562,149.87289428710938,0.9335693441660315,1.4386561862340468
12,160.5699920654297,149.5449981689453,0.9313383917214627,1.7973632490210516
13,161.4810028076172,150.47999572753906,0.9318742954972583,1.7264035663159998
14,162.8247528076172,149.22500610351562,0.9164761716532737,4.255857740491214
15,165.2154998779297,148.86500549316406,0.9010353483974187,6.8833354779069875
16,165.37899780273438,148.6999969482422,0.8991468017336334,7.2034117878052
17,165.3207550048828,148.94500732421875,0.9009456031084518,6.903161686311639
18,165.13525390625,148.99000549316406,0.902230153579127,6.682227090038529
19,165.31924438476562,150.07000732421875,0.9077588509595673,5.776728955678626
20,165.39700317382812,150.3000030517578,0.9087226501546479,5.62048267567288
21,166.39425659179688,152.47999572753906,0.9163777575665206,4.38632377010102
22,165.23797607421875,151.49000549316406,0.9167989653003278,4.279652773082935
23,165.55624389648438,151.89999389648438,0.9175129268544006,4.171521900502361
24,165.57540893554688,151.9499969482422,0.9177087221170106,4.139695714149147
25,165.40451049804688,151.9738006591797,0.9188008247270514,3.9538053053362514
26,165.04010009765625,151.97999572753906,0.9208670840456994,3.601989297810766
27,165.28750610351562,152.22999572753906,0.9210012257804957,3.5866387370386033
28,164.58999633789062,152.11000061035156,0.9241752475532073,3.045088574468897
29,164.2897491455078,152.05999755859375,0.9255598620697726,2.8103255588968548
30,161.99575805664062,150.97999572753906,0.9319996865272856,1.7146173835326888
31,162.39950561523438,150.9499969482422,0.9294978847157394,2.1275459865602127
32,162.00999450683594,150.75,0.9304981489499351,1.9581155118858273
33,162.05099487304688,150.25,0.9271772760031992,2.4970018473493294
34,161.24850463867188,149.60000610351562,0.9277605794778787,2.385882921095904
35,160.8262481689453,147.5749969482422,0.9176051709744363,4.010407684377716
36,160.281005859375,147.61000061035156,0.9209450603264835,3.4582750959127875
37,160.843505859375,147.99000549316406,0.920086917419913,3.611767001535915
38,160.35000610351562,146.97999572753906,0.9166198324473689,4.1537224829924835
39,160.71450805664062,147.00999450683594,0.9147275892169312,4.469431475021301
40,161.49925231933594,148.0800018310547,0.9169082810256788,4.143706006609213
41,162.1199951171875,148.17999267578125,0.9140142927383522,4.632451675835275
42,159.1750030517578,147.8000030517578,0.92853777426157,2.219296750747324
43,158.11996459960938,147.33999633789062,0.9318241166508243,1.6786641296860036
44,158.2530059814453,147.77000427246094,0.9337579615377829,1.3748377950063766
45,157.8885040283203,147.52000427246094,0.9343302425995524,1.2791300236806844
46,158.47349548339844,147.53500366210938,0.9309758910288253,1.8189591896703998
47,158.91200256347656,146.84500122070312,0.9240648840357207,2.9248587313930354
48,158.9239959716797,146.99000549316406,0.9249075609661723,2.791229471836564
49,158.14999389648438,147.4199981689453,0.9321530436823015,1.6271432469722722
50,157.30349731445312,146.22850036621094,0.9295947188885252,2.015790902265925
51,158.75,147.6699981689453,0.9302047128752461,1.9462122767809173
52,158.30999755859375,146.99000549316406,0.9284947745562315,2.208889593639375
53,157.20700073242188,146.0050048828125,0.9287436577415785,2.1477652894711152
54,157.0,145.63999938964844,0.9276433082143213,2.3164432698335897
55,156.27850341796875,145.14999389648438,0.928790529227676,2.122153457431514
56,157.2760009765625,146.22000122070312,0.9297031989164898,1.9982114558477146
57,157.03399658203125,147.05999755859375,0.9364850972367166,0.9286887761442327
58,156.39999389648438,146.62030029296875,0.9374699873071065,0.7670733367046322
59,155.89450073242188,145.13999938964844,0.9310142353178159,1.767944942952047
60,155.34548950195312,145.14999389648438,0.934368898394436,1.2372469191913549
61,152.67825317382812,144.27000427246094,0.9449283134527733,-0.41247370576926723
62,151.67050170898438,142.72999572753906,0.9410530994444801,0.17174431464515838
63,145.98696899414062,144.1199951171875,0.9872113662622308,-6.608737653381931
64,148.3935089111328,146.02999877929688,0.9840726851923736,-6.236285640900215
65,146.10000610351562,144.6300048828125,0.9899383904223686,-7.011538645983629
66,145.3699951171875,144.19000244140625,0.991882831977603,-7.2639069009841055
67,145.18350219726562,143.8699951171875,0.9909527800321732,-7.120776685821889
68,142.8144989013672,143.17999267578125,1.0025592203678597,-8.677628733580528
69,142.55799865722656,142.8699951171875,1.0021885580809191,-8.61090594206585
70,140.25,141.14999389648438,1.0064170687806373,-9.079900048196729
71,139.66949462890625,141.49000549316406,1.0130344200721482,-9.97048542469535
72,136.1800079345703,140.6649932861328,1.0329342421078238,-12.45503756382781
73,138.187255859375,142.36000061035156,1.030196306634983,-12.246293205420082
74,139.6020050048828,142.6300048828125,1.0216902320122392,-11.17449458797797
75,142.71925354003906,144.30499267578125,1.011110898469612,-9.892963123592873
76,144.59500122070312,146.0500030517578,1.0100626011879472,-9.858941742147445
77,140.89524841308594,145.69000244140625,1.0340306297218962,-13.00793000445274
