,dow,ecl,Ratio,Spread
0,58.474998474121094,173.89999389648438,2.973920452062024,-7.972309967689691
1,58.709999084472656,175.99000549316406,2.997615538026964,-9.38388558293921
2,59.034000396728516,177.14999389648438,3.0008129672049377,-9.608497061339543
3,59.31999969482422,178.5800018310547,3.010451833273292,-10.212838142527525
4,59.685001373291016,180.39999389648438,3.022534803479341,-10.979087106678358
5,59.880001068115234,179.79409790039062,3.0025733916716137,-9.810235937239563
6,60.01499938964844,180.50999450683594,3.0077480020431495,-10.136398582467544
7,59.75299835205078,180.30999755859375,3.01758911739038,-10.692786610470202
8,59.63999938964844,180.27999877929688,3.022803498059519,-10.989010651800621
9,58.59000015258789,175.83999633789062,3.0011946728101155,-9.58030783906518
10,59.119998931884766,176.47999572753906,2.985115001961872,-8.690225066581585
11,58.81999969482422,174.69500732421875,2.969993339520381,-7.771320698187774
12,58.6349983215332,174.3800048828125,2.9739918116237574,-7.990408734533284
13,58.4900016784668,174.08999633789062,2.976406075262299,-8.118998846422025
14,58.76499938964844,174.72999572753906,2.9733684598373036,-7.965092459411162
15,58.95000076293945,176.17999267578125,2.988634273038749,-8.880998929901589
16,57.349998474121094,171.51499938964844,2.9906713854062916,-8.8351388514702
17,56.97999954223633,171.63499450683594,3.012197189991407,-10.0233039113052
18,56.40999984741211,170.72000122070312,3.0264137862523883,-10.753873595389544
19,56.35279846191406,170.38499450683594,3.0235409626017122,-10.58400465734122
20,56.970001220703125,171.01890563964844,3.001911567056444,-9.436079739710957
21,57.040000915527344,170.6699981689453,2.99211071931252,-8.885086361286861
22,57.130001068115234,170.41000366210938,2.982846148714965,-8.365265542687363
23,58.15999984741211,170.9250030517578,2.9388755760005956,-5.906705707707582
24,58.95000076293945,170.9149932861328,2.8993213074491297,-3.6159995402531515
25,59.43000030517578,171.22999572753906,2.8812046920455185,-2.545265323205778
26,59.540000915527344,172.8300018310547,2.902754436908022,-3.8277047109152798
27,59.369998931884766,172.49630737304688,2.9054456876603956,-3.9847981808413047
28,59.27000045776367,172.77499389648438,2.9150496467366382,-4.552175711635622
29,59.20000076293945,172.72000122070312,2.917567550587428,-4.699268943575371
30,59.349998474121094,172.75999450683594,2.910867716065166,-4.306225718672929
31,59.007198333740234,170.97000122070312,2.8974431264082354,-3.5058807118605935
32,59.279998779296875,170.75,2.8803981699748826,-2.4983171195579623
33,59.79999923706055,172.3800048828125,2.882608814081413,-2.6271045358317147
34,59.790000915527344,172.42999267578125,2.883926911447856,-2.7059570243937494
35,59.65999984741211,171.64999389648438,2.877137015345301,-2.3012653649455594
36,59.66999816894531,171.11000061035156,2.8676052599479407,-1.7324073832194622
37,58.58000183105469,168.1199951171875,2.869921301847126,-1.8891713139553397
38,58.2599983215332,167.25999450683594,2.870923435042664,-1.9530061554288616
39,58.32979965209961,168.94500732421875,2.8963755804386255,-3.4365057336030227
40,58.525001525878906,168.41000366210938,2.8775736740073543,-2.337963216780262
41,58.55500030517578,168.8800048828125,2.884126103708429,-2.7213593378475402
42,58.70000076293945,167.2899932861328,2.8499146697073336,-0.7127380715012444
43,58.79999923706055,168.0399932861328,2.8578230521509993,-1.1740470641443985
44,58.779998779296875,161.89999389648438,2.7543381636392237,4.908211921461449
45,58.869998931884766,161.25999450683594,2.739255944159622,5.808037622873448
46,57.77000045776367,160.19000244140625,2.7728925250489316,3.7023845559539175
47,58.10499954223633,160.7100067138672,2.7658550551583367,4.149507272279996
48,57.94499969482422,160.1199951171875,2.76330996566542,4.2776066494751515
49,58.20500183105469,159.1750030517578,2.7347306596394882,5.973212954602209
50,57.970001220703125,158.5500030517578,2.7350353581695983,5.9197769731720395
51,58.060001373291016,156.0,2.686875582331001,8.729606336693413
52,58.20000076293945,156.52999877929688,2.6895188441126603,8.603779372838508
53,58.970001220703125,158.50999450683594,2.6879767886317496,8.846739643086286
54,58.66999816894531,159.32000732421875,2.715527736432564,7.170631777920951
55,58.349998474121094,157.61500549316406,2.7011998220200155,7.951809170006575
56,58.20500183105469,157.55999755859375,2.706983808984767,7.5882184477662715
57,57.83000183105469,156.6300048828125,2.7084558174560223,7.435603326675382
58,59.439998626708984,163.85000610351562,2.756561404594156,4.863588996410945
59,60.060001373291016,163.89999389648438,2.728937564916066,6.603520690193781
60,60.810001373291016,164.44000244140625,2.70416047899699,8.228727739016213
61,60.38999938964844,165.52000427246094,2.7408512327429007,5.936199448779595
62,60.06999969482422,165.39999389648438,2.753454215694555,5.132385385787066
63,60.22999954223633,165.79930114746094,2.752769424000976,5.194990354295063
64,59.79999923706055,165.10000610351562,2.760869702506556,4.652894243465161
65,60.459999084472656,160.72000122070312,2.658286530837531,10.938288408258378
66,59.91999816894531,159.13999938964844,2.6558745703054076,10.959332368731756
67,60.20500183105469,160.55999755859375,2.6668880105535413,10.362126697751043
68,60.189998626708984,161.49000549316406,2.6830039737117346,9.388805200506786
69,60.369998931884766,162.30999755859375,2.6885870536742513,9.08846575860422
70,60.46500015258789,162.2949981689453,2.6841147400873546,9.377729314240858
71,60.65999984741211,162.47999572753906,2.678536039173281,9.755686928992125
72,61.78499984741211,162.5500030517578,2.6308975229133433,12.933502995389821
73,61.81999969482422,162.52999877929688,2.629084431925425,13.054550221711244
74,61.5,160.74000549316406,2.613658625905107,13.920719068874964
75,61.54999923706055,160.8800048828125,2.6138100223719136,13.925065182904936
76,61.76499938964844,160.8699951171875,2.6045494488282737,14.555770525917543
77,61.23500061035156,159.75999450683594,2.6089653452184187,14.135688974137073
78,60.91999816894531,158.85000610351562,2.607518235029943,14.13627977985694
