,sbux,tgt,Ratio,Spread
0,90.24359893798828,190.1199951171875,2.106742166254143,-12.281526484894552
1,91.0,191.55999755859375,2.1050549182263047,-12.214225230116678
2,91.0199966430664,192.99000549316406,2.1203033686099944,-13.604385238078972
3,91.80999755859375,195.1300048828125,2.125367716716028,-14.170125468444578
4,91.94999694824219,197.00999450683594,2.1425774991350033,-15.771133996223394
5,92.33999633789062,198.08999633789062,2.145224216958375,-16.073972030121038
6,92.5199966430664,199.16000366210938,2.152615768356005,-16.78528720154966
7,92.29000091552734,198.96499633789062,2.155867313513221,-17.048599448305847
8,92.56999969482422,199.3000030517578,2.1529653636036588,-16.82564396968382
9,90.69999694824219,198.63999938964844,2.190077244467848,-19.892052383598095
10,92.12999725341797,200.6649932861328,2.178063597833096,-19.067440622730143
11,91.62000274658203,199.24000549316406,2.17463435407501,-18.658734593225514
12,91.41999816894531,198.08399963378906,2.166746921912286,-17.901284016578185
13,90.80000305175781,197.7899932861328,2.1783038176043736,-18.842761037053886
14,91.44000244140625,199.0800018310547,2.1771653162260463,-18.857423083906294
15,91.7699966430664,199.6699981689453,2.1757655603448383,-18.789829811122896
16,90.80999755859375,223.05999755859375,2.456337446927776,-44.092848947875545
17,90.79000091552734,223.6199951171875,2.463046512415476,-44.692694433077314
18,90.48999786376953,220.75999450683594,2.439606583251164,-42.43051914515248
19,89.79000091552734,219.27220153808594,2.442055900460151,-42.3376316576255
20,90.19999694824219,221.89999389648438,2.4600887073622983,-44.148412292258875
21,90.04000091552734,220.40499877929688,2.4478564697714056,-42.972246197924015
22,90.13999938964844,219.5500030517578,2.435655697119637,-41.917980430685866
23,92.51000213623047,220.94000244140625,2.3882823190950684,-38.58520234248581
24,93.0,223.77999877929688,2.406236546013945,-40.4487648435203
25,92.58999633789062,224.7913055419922,2.4278141746723536,-42.27709853331017
26,92.70449829101562,225.14999389648438,2.4286846706154344,-42.40761531873212
27,92.58999633789062,223.97000122070312,2.4189438392822122,-41.45579421202111
28,92.80000305175781,225.4199981689453,2.4290947279734536,-42.487304312566884
29,92.75499725341797,224.8300018310547,2.4239125490650566,-41.98699241537093
30,92.22000122070312,226.19500732421875,2.4527760174594166,-44.418100982756265
31,91.79000091552734,224.97999572753906,2.4510294529203027,-44.059964239779156
32,91.48999786376953,225.77999877929688,2.467810733972121,-45.45779261396367
33,92.38480377197266,227.25,2.459820129735906,-45.144686538102654
34,91.98259735107422,225.63999938964844,2.4530727103566976,-44.336175052101105
35,91.4800033569336,223.7100067138672,2.4454525415899147,-43.40771691017326
36,91.52999877929688,223.82000732421875,2.4453185874492167,-43.41809010234001
37,89.93000030517578,223.5,2.485266309813821,-46.28644902329497
38,89.70999908447266,222.72000122070312,2.482666408356394,-45.94485345333376
39,90.12999725341797,223.6999969482422,2.481970528849194,-46.08790589213901
40,90.16000366210938,224.0399932861328,2.4849155300144226,-46.36810753512335
41,90.20999908447266,223.36749267578125,2.4760835266899837,-45.59597950658701
42,89.9800033569336,223.39500427246094,2.4827183367208305,-46.08181067424163
43,90.02999877929688,224.0399932861328,2.4885037912235606,-46.627172269728696
44,88.19000244140625,219.82000732421875,2.4925728681124366,-46.073803688932024
45,87.0999984741211,218.6699981689453,2.5105625947159567,-47.09587901536815
46,86.7699966430664,214.7100067138672,2.4744729171431192,-43.793492374293514
47,85.93000030517578,212.59500122070312,2.4740486496646503,-43.352373458597064
48,85.91000366210938,212.44000244140625,2.472820316443578,-43.23722260590821
49,85.08000183105469,211.8300018310547,2.48977429798004,-44.28119221138501
50,84.45999908447266,211.0399932861328,2.4986975559289455,-44.726682237924614
51,84.48999786376953,211.38999938964844,2.5019529498685826,-45.01690884986345
52,84.9800033569336,208.16079711914062,2.4495268168538686,-40.811257539170036
53,86.16999816894531,211.03500366210938,2.4490542897349625,-41.314124764059635
54,85.91000366210938,212.47999572753906,2.473285841812313,-43.27721589204102
55,85.20500183105469,210.84500122070312,2.4745613131816917,-43.04710025057724
56,84.75,209.73500061035156,2.4747492697386617,-42.84379580468538
57,84.0,208.72999572753906,2.484880901518322,-43.333339024610204
58,87.36209869384766,215.80999755859375,2.470293191042489,-43.71358322352409
59,86.61499786376953,215.32000732421875,2.485943689138918,-44.71236382667805
60,87.19000244140625,217.00999450683594,2.4889320843025757,-45.25652167519896
61,87.61119842529297,218.4199981689453,2.4930602719148336,-45.827195125843694
62,87.61000061035156,216.72999572753906,2.4738042942318086,-44.13957960716825
63,87.78500366210938,216.92149353027344,2.4710541035598683,-43.98234343793214
64,87.5999984741211,216.0,2.4657534676077764,-43.42951544459796
65,86.31999969482422,211.75999450683594,2.4531973500404582,-41.74020294757283
66,85.97000122070312,210.44500732421875,2.447888848855103,-41.122668505567155
67,86.73999786376953,212.88999938964844,2.454346375751648,-42.033264541651526
68,86.01000213623047,213.00999450683594,2.4765723661935426,-43.60794463163884
69,87.0999984741211,214.00999450683594,2.4570608295753527,-42.43587535325877
70,87.05500030517578,214.2899932861328,2.461547211934159,-42.80554336992079
71,87.18000030517578,214.9199981689453,2.4652442924594227,-43.18645690227708
72,85.26000213623047,211.88999938964844,2.4852216054497105,-43.982497617188635
73,84.81999969482422,212.27999877929688,2.502711619229708,-45.249303425508394
74,85.04000091552734,211.25259399414062,2.4841555940713578,-43.78349543101648
75,85.28500366210938,211.0,2.4740574654362546,-43.042676916783044
76,84.36000061035156,209.3300018310547,2.4813892877730543,-43.21596082254555
77,83.16000366210938,207.02000427246094,2.489417931168112,-43.29723414699969
78,82.70999908447266,207.0399932861328,2.5032039121978533,-44.21396114431166
