,rtx,de,Ratio,Spread
0,81.58999633789062,344.1099853515625,4.21755118025121,-22.975175036609556
1,82.81999969482422,348.2799987792969,4.205264429638272,-22.24387424837701
2,82.37000274658203,347.6000061035156,4.219982936906475,-23.35702825559318
3,82.875,348.3900146484375,4.203801081730769,-22.13472504278755
4,82.5999984741211,349.3599853515625,4.229539852364748,-24.200521119562865
5,82.61000061035156,349.5400085449219,4.231206947856169,-24.340687826173593
6,82.27999877929688,347.0299987792969,4.217671413804346,-23.145668508928935
7,80.61599731445312,340.29998779296875,4.221246391898926,-23.046366283722335
8,79.87999725341797,336.7699890136719,4.215948930810233,-22.449178656337523
9,80.38999938964844,337.6499938964844,4.200149228262869,-21.296928337252353
10,80.125,336.8699951171875,4.204305711290951,-21.57289844485709
11,80.51000213623047,337.818115234375,4.195976975168316,-20.98686303893416
12,80.7750015258789,339.7749938964844,4.206437480383412,-21.887772814141925
13,81.02999877929688,338.8599853515625,4.181907817554368,-19.956651869067088
14,82.7699966430664,345.7267150878906,4.176956978490489,-19.889842589122367
15,83.4800033569336,349.2987060546875,4.184220076767352,-20.632600627006894
16,83.80229949951172,351.4150085449219,4.193381454251973,-21.464618276501
17,83.61080169677734,351.5400085449219,4.204480777732711,-22.352698228744686
18,83.5,350.5627136230469,4.198355851773017,-21.816925623460662
19,83.5999984741211,349.5199890136719,4.180861188913394,-20.375727351374252
20,83.69999694824219,349.92999267578125,4.180764700531213,-20.38725735077216
21,83.81999969482422,349.9200134277344,4.174660161080166,-19.899091466516467
22,84.13999938964844,346.8800048828125,4.122652809592109,-15.583948959962894
23,84.33399963378906,345.20001220703125,4.09324843723793,-13.130904609852932
24,84.53929901123047,345.8299865722656,4.090760044347238,-12.942802543417
25,84.22000122070312,344.2300109863281,4.087271503170067,-12.61516397267266
26,84.1500015258789,345.55230712890625,4.106385036994176,-14.216394719307997
27,84.06999969482422,347.1499938964844,4.129296956781799,-16.132872577691984
28,84.8550033569336,351.1300048828125,4.138000011688424,-16.984802988472126
29,84.98999786376953,349.6199951171875,4.113660476584473,-14.936867458902922
30,84.94999694824219,350.0400085449219,4.12054174361174,-15.516276432040256
31,85.09449768066406,350.0899963378906,4.114132004770518,-14.990458077778127
32,85.12809753417969,350.05999755859375,4.1121557711076715,-14.82657068853379
33,85.02999877929688,350.0799865722656,4.117135029966661,-15.237463368578146
34,84.87000274658203,349.3599853515625,4.116413032231606,-15.155013927894997
35,84.7645034790039,350.57000732421875,4.135811488721274,-16.78542911089491
36,84.87000274658203,350.0,4.123954149560759,-15.795028576332497
37,84.94000244140625,350.3999938964844,4.1252647024374545,-15.916087868759716
38,84.98300170898438,350.0,4.11847067015283,-15.344750601325329
39,85.27549743652344,350.07000732421875,4.10516523324652,-14.24922170207324
40,85.25,349.94000244140625,4.104868063828812,-14.220818938798542
41,85.23999786376953,350.75,4.114852285197945,-15.07067298414094
42,86.2300033569336,351.5899963378906,4.077351068659328,-11.96569797689048
43,86.08999633789062,350.7049865722656,4.073701957144938,-11.638587820971592
44,85.96070098876953,350.3999938964844,4.076281252548917,-11.848810920117584
45,86.12000274658203,350.5899963378906,4.070947342739199,-11.404028126350594
46,85.96499633789062,349.45001220703125,4.065026779428883,-10.881713134524459
47,85.9749984741211,349.55999755859375,4.0658331347782815,-10.951841999338312
48,86.02999877929688,349.9100036621094,4.067302204197116,-11.082683028123908
49,85.4800033569336,347.69000244140625,4.067501038688294,-11.05430215312961
50,85.7300033569336,347.4200134277344,4.052490374708892,-9.788113781883252
51,85.7699966430664,346.37091064453125,4.038369175714917,-8.579645854868913
52,85.91000366210938,347.07000732421875,4.03992541647736,-8.7208429248503
53,85.85240173339844,347.1000061035156,4.042985392317641,-8.980373721654727
54,85.97000122070312,346.1099853515625,4.025939053589463,-7.521742834885542
55,85.9000015258789,345.7099914550781,4.024563274902001,-7.4006835424583794
56,86.19539642333984,345.3678894042969,4.006802030447867,-5.8814926633516205
57,86.05000305175781,343.7650146484375,3.9949448280863846,-4.857981040954682
58,85.98979949951172,342.82000732421875,3.9867520254674558,-4.15287267702095
59,86.01799774169922,343.7799987792969,3.9966054524033816,-5.000499849091424
60,86.19999694824219,344.19500732421875,3.992981664847236,-4.690278423464603
61,86.26000213623047,343.55279541015625,3.982758948551649,-3.8089579905018507
62,85.80999755859375,342.0400085449219,3.9860158288824827,-4.089348209856636
63,85.77999877929688,341.8599853515625,3.9853111473122436,-4.028864075151516
64,85.7300033569336,342.5299987792969,3.995450663324791,-4.898099133445752
65,85.62000274658203,341.57000732421875,3.9893715997089747,-4.376437827827742
66,85.9000015258789,342.5299987792969,3.987543570370061,-4.2206908666771294
67,86.08999633789062,342.7950134277344,3.9818216751028093,-3.7286146764403423
68,86.22000122070312,343.239990234375,3.980978721581789,-3.655548360123559
69,86.05999755859375,342.95001220703125,3.9850107127127736,-4.003152514391472
70,87.08999633789062,348.25,3.9987371069446853,-5.1988038184079794
71,86.72000122070312,346.32000732421875,3.993542463668,-4.743166734818287
72,86.5,347.3699951171875,4.015838093840318,-6.669814826707265
73,86.68000030517578,346.8399963378906,4.001384346063279,-5.422551293893063
74,87.05500030517578,349.0799865722656,4.009878643944033,-6.168242491906339
75,87.08999633789062,349.6499938964844,4.014812361914874,-6.5987977148923544
76,86.97000122070312,350.1600036621094,4.026215922125963,-7.586963715134372
77,88.80999755859375,367.79998779296875,4.14142549154229,-17.894935167009436
78,89.36000061035156,369.17999267578125,4.131378582746059,-17.083289302521365
79,89.55000305175781,367.6300048828125,4.105304213896352,-14.77618026928664
