,mu,nvda,Ratio,Spread
0,82.4626693725586,277.75030517578125,3.368194448337968,-49.866975819502606
1,81.49893188476562,276.9309997558594,3.397970910188399,-51.743625602562325
2,90.09294891357422,290.4783935546875,3.224207854860453,-41.25015223912225
3,89.75513458251953,293.7253723144531,3.272518877952396,-45.44213139057572
4,93.80873107910156,296.1230773925781,3.1566686169422833,-36.50032264447986
5,93.81866455078125,309.1609191894531,3.2953029194112387,-49.51037658937474
6,92.33831787109375,302.93670654296875,3.2807258517084406,-47.427279530766434
7,95.54740905761719,299.7297058105469,3.1369736633026153,-35.24318058359841
8,93.28216552734375,295.5835876464844,3.168704178076142,-37.43384516256952
9,92.64563751220703,293.8352355957031,3.1716035798985924,-37.46611390945099
10,95.23155212402344,300.9285888671875,3.1599672813825137,-37.325640500437764
11,95.81835174560547,292.6263732910156,3.053970016807729,-27.381914125993823
12,93.88886260986328,275.7821350097656,2.9373253370394323,-15.935220653873495
13,95.13208770751953,281.5167541503906,2.9592197641652165,-18.192047124858497
14,93.93858337402344,272.2154541015625,2.897802418604893,-12.2294510887159
15,93.38162231445312,273.7439880371094,2.9314546187182775,-15.316025554413153
16,93.68994140625,277.9101257324219,2.966274944365401,-18.619672716528775
17,94.59501647949219,279.7284240722656,2.9571158659601227,-17.906117845614794
18,95.10225677490234,265.501708984375,2.79174982790147,-2.2604508845283195
19,96.83283233642578,269.1683349609375,2.7797217995830943,-1.0859720495239404
20,92.36714935302734,258.78802490234375,2.801732290267567,-3.1979448236030468
21,89.51268768310547,250.43582153320312,2.7977689868926827,-2.8308005480550325
22,84.60938262939453,241.27438354492188,2.851626805997987,-7.385847534982753
23,81.48638153076172,233.52163696289062,2.8657750237042303,-8.369371117202911
24,82.5008544921875,233.5016632080078,2.830293875684881,-5.511514958364581
25,80.2829360961914,223.03146362304688,2.778068098503779,-1.2457109844611072
26,81.52616119384766,227.50726318359375,2.7906043882360856,-2.2437178753679863
27,78.29376983642578,219.23500061035156,2.8001589534950915,-3.0137333171387812
28,78.84078216552734,228.1865997314453,2.8942711305471867,-10.435122444934814
29,81.82453918457031,244.63125610351562,2.9897052710765015,-18.533029456509404
30,81.00897216796875,246.1498260498047,3.0385501687322143,-22.333063151627435
31,84.05241394042969,252.18418884277344,3.000320597829629,-19.853714705420906
32,81.52616119384766,239.25628662109375,2.934717925111248,-13.992741312867986
33,80.7304916381836,242.96279907226562,3.00955431017529,-19.925056439163534
34,80.43212127685547,247.0489959716797,3.071521576825161,-24.84591333492181
35,83.6645278930664,250.84542846679688,2.9982291753012493,-19.600025130153533
36,87.64286041259766,266.80047607421875,3.0441780975449455,-24.426102046829463
37,90.52716827392578,257.99871826171875,2.8499590032579114,-7.555793530178898
38,89.27398681640625,239.2662811279297,2.680134378001798,7.670999054681294
39,89.37344360351562,242.44329833984375,2.7126995286808766,4.772201841548627
40,95.4802017211914,264.7025146484375,2.772328816620922,-0.4039949422980218
41,95.53986358642578,264.8623352050781,2.772270393347197,-0.39691764756775605
42,93.22248840332031,244.84104919433594,2.6264161511656816,13.141752753335544
43,90.30835723876953,236.19912719726562,2.615473632996891,13.631696463006142
44,90.07959747314453,233.6814727783203,2.594166485346339,15.509419273830735
45,86.83724975585938,223.6608428955078,2.575632502460918,16.45991926234141
46,88.3490219116211,237.25814819335938,2.6854643442538366,7.0916390472248505
47,89.61214447021484,241.34432983398438,2.693210069470015,6.538911149945113
48,88.37886047363281,243.62220764160156,2.7565665175586243,0.8110498671043214
49,85.79293823242188,234.55067443847656,2.733915859170771,2.6487350472954514
50,92.79481506347656,242.01495361328125,2.608065477017549,14.771476728706721
51,88.69712829589844,236.9588165283203,2.6715500386643054,8.364762050435052
52,81.46649169921875,229.1847686767578,2.8132397001079603,-4.0881425623391525
53,75.29010772705078,213.35687255859375,2.833796882481247,-5.5380370420181695
54,76.74221801757812,214.9756317138672,2.8012694611540434,-3.094668965927463
55,79.00987243652344,229.96417236328125,2.9105751632245016,-11.739682662457136
56,75.31000518798828,226.4069061279297,3.0063323666327526,-18.53240953764884
57,72.42571258544922,220.83114624023438,3.0490710875601486,-21.02515766923161
58,69.02423095703125,213.13702392578125,3.087858002481225,-22.846325784105055
59,72.71414184570312,229.5544891357422,3.156944210699052,-28.9416497628116
60,79.23861694335938,244.77285766601562,3.0890601970120444,-25.908479041943274
61,80.08401489257812,247.47080993652344,3.090139902057509,-26.2415186379367
62,78.98002624511719,264.327880859375,3.3467687138900724,-46.186882769108784
63,77.92576599121094,267.1357421875,3.428079772967899,-51.94392730616362
64,78.69159698486328,265.037353515625,3.3680515286353416,-47.70320622728661
65,75.24038696289062,256.1441650390625,3.4043440681052792,-48.46441817944139
66,77.7865219116211,281.284912109375,3.616113758485862,-66.48261803179432
67,77.67710876464844,276.7084655761719,3.562291001517096,-62.21224337666148
68,79.4275894165039,281.97442626953125,3.5500816321002566,-62.5814168423125
69,81.6057357788086,286.341064453125,3.5088350312685024,-60.85491753495062
70,78.73138427734375,276.6884460449219,3.514334830824809,-59.24299795160916
71,77.46825408935547,272.6515197753906,3.5195258106746765,-58.739546767859416
72,75.76750946044922,266.9159240722656,3.5228282673273856,-57.76160695061585
73,77.24944305419922,273.3909606933594,3.5390670778240394,-60.09108875709625
74,74.20601654052734,259.11187744140625,3.491790686539457,-54.32567405944592
75,73.38050842285156,243.88352966308594,3.3235464690121677,-41.40659922437097
76,72.88321685791016,241.89505004882812,3.318940360720025,-40.809240946456406
77,71.84744262695312,231.0133819580078,3.2153320078137977,-32.825043341564445
