,wfc,cb,Ratio,Spread
1093,41.79999923706055,184.69000244140625,4.418421191684069,2.8994951484368254
1094,41.92499923706055,186.74000549316406,4.454144517385966,1.4242148328851112
1095,41.650001525878906,186.19000244140625,4.470348034098355,0.7098383884771078
1096,41.37580108642578,185.1999969482422,4.476046193314696,0.43913006698984525
1097,41.26499938964844,185.07000732421875,4.484914820346384,0.059677656228059206
1098,41.47999954223633,185.27000427246094,4.4664900269300345,0.848204515826195
1099,41.5,185.36000061035156,4.466506038803652,0.8501659204260772
1100,41.459999084472656,184.9499969482422,4.460926218821566,1.0762540975544663
1101,40.4900016784668,185.31500244140625,4.576808959233993,-3.7485879019497066
1102,40.47999954223633,186.35000610351562,4.603508107975158,-4.829579204877307
1103,40.84000015258789,187.36000061035156,4.587659155492907,-4.184369425176316
1104,40.86000061035156,187.77999877929688,4.5956925103844535,-4.512409851631121
1105,40.83000183105469,187.85000610351562,4.600783680608109,-4.720345020012632
1106,40.18000030517578,185.72000122070312,4.622200094826272,-5.578905381130271
1107,40.224998474121094,185.7100067138672,4.6167809511128866,-5.362019108050207
1108,40.85499954223633,187.23370361328125,4.582883507799751,-3.989108506024637
1109,40.71500015258789,187.4250030517578,4.603340349977743,-4.824094602788664
1110,41.119998931884766,187.5399932861328,4.560797620563965,-3.0769887843826087
1111,40.915000915527344,187.15499877929688,4.57423914435918,-3.634530444568769
1112,41.05500030517578,186.7100067138672,4.547801859115533,-2.545851720851589
1113,40.7400016784668,186.14999389648438,4.569219102287723,-3.4341338846156066
1114,40.52000045776367,185.05999755859375,4.5671272326734655,-3.355655174974446
1115,40.839900970458984,183.58999633789062,4.495358509088651,-0.4148211705114466
1116,41.540000915527344,187.72999572753906,4.519258343525144,-1.335913711780437
1117,41.970001220703125,189.5399932861328,4.516082625049718,-1.1688636546935118
1118,42.435001373291016,192.11000061035156,4.527159052509596,-1.6009016986597135
1119,42.369998931884766,192.33999633789062,4.539532716229282,-2.1297644740793817
1120,42.34000015258789,193.6699981689453,4.574161489631168,-3.5976941492968297
1121,42.349998474121094,193.69000244140625,4.573553941442638,-3.571728320085514
1122,43.47999954223633,191.58999633789062,4.406393706416228,3.723776229694165
1123,44.16999816894531,191.05999755859375,4.325560459110969,7.426238198756193
1124,43.81999969482422,190.80999755859375,4.354404356171896,6.06702155303749
1125,43.70500183105469,190.33999633789062,4.355107844947947,6.0082876783527706
1126,43.654998779296875,188.8699951171875,4.326423099266194,7.248385773256656
1127,43.560001373291016,189.1699981689453,4.3427454592537185,6.511605368601478
1128,43.3650016784668,188.88999938964844,4.355816720363305,5.895038082548508
1129,44.570098876953125,192.02000427246094,4.30826964962721,8.305807274202989
1130,44.30289840698242,191.1699981689453,4.31506752476528,7.927283895981658
1131,44.45500183105469,192.1999969482422,4.32347292839336,7.596623485237826
1132,44.560001373291016,192.5,4.320017820183087,7.779385427195605
1133,44.20000076293945,191.97000122070312,4.343212622332463,6.654179919955551
1134,44.0099983215332,192.4250030517578,4.372301985696922,5.3255883048141595
1135,43.939998626708984,192.7100067138672,4.3857535898221025,4.718741313561038
1136,44.97999954223633,193.9199981689453,4.311249447365022,8.290447233112742
1137,44.150001525878906,193.1999969482422,4.3759907196151815,5.194298605763249
1138,44.41999816894531,193.22000122070312,4.349842620114877,6.415680009059015
1139,44.54999923706055,194.09500122070312,4.356790225469591,6.138396565674254
1140,44.709999084472656,194.6300048828125,4.353165038431092,6.339037304342851
1141,44.40999984741211,194.25999450683594,4.374239927365277,5.329716621253949
