,qcom,crm,Ratio,Spread
0,175.67999267578125,248.77499389648438,1.4160690133656852,-26.10984542600289
1,175.00999450683594,247.85000610351562,1.416204867624486,-26.038906453840156
2,175.52999877929688,248.6300048828125,1.416453065640524,-26.156054114590745
3,175.43499755859375,246.91000366210938,1.407415892485441,-24.557151255461292
4,175.9949951171875,247.24000549316406,1.4048127069098617,-24.173322397509594
5,176.8350067138672,247.5500030517578,1.399892519314985,-23.412554472166278
6,176.74000549316406,247.32000732421875,1.399343666614204,-23.303657106200887
7,175.0399932861328,245.5500030517578,1.40282228330736,-23.700663861630403
8,176.3800048828125,248.4199981689453,1.4084362812780078,-24.86254188677833
9,177.3300018310547,249.38999938964844,1.4063610038601733,-24.62157894217222
10,177.8699951171875,250.7100067138672,1.4095126417959922,-25.253255087828364
11,178.94000244140625,252.27999877929688,1.4098580269210947,-25.45930537571354
12,178.7899932861328,251.44000244140625,1.4063427030784965,-24.81052619051016
13,179.58999633789062,252.47999572753906,1.4058689285371393,-24.830753013593466
14,178.64999389648438,250.57000732421875,1.40257495597457,-24.118988745574256
15,180.42999267578125,253.05999755859375,1.4025384239377707,-24.340008811138574
16,180.1649932861328,252.1699981689453,1.3996614634700772,-23.787804995767374
17,179.92999267578125,251.72999572753906,1.399044105899206,-23.647358588186393
18,179.24000549316406,251.10000610351562,1.4009149654544737,-23.89689784498529
19,180.8300018310547,252.2100067138672,1.3947354098326072,-22.980125009673515
20,181.3699951171875,252.8000030517578,1.3938358596107239,-22.88179016900156
21,182.63999938964844,250.6199951171875,1.3722075994016456,-19.082903703731205
22,183.1999969482422,251.8925018310547,1.3749590940343714,-19.641579728592006
23,182.16000366210938,252.22000122070312,1.3846069178201643,-21.294761904905528
24,182.44000244140625,252.7480926513672,1.3853765033386336,-21.465937991066397
25,183.34840393066406,253.74290466308594,1.3839384430040778,-21.302807702822804
26,183.0399932861328,253.60499572753906,1.3855168544018532,-21.558030807771786
27,182.74000549316406,253.14999389648438,1.3853014462449176,-21.485424381236584
28,185.0,256.8500061035156,1.3883784113703548,-22.304614321798482
29,185.02499389648438,255.96279907226562,1.3833957979507823,-21.385547490314337
30,185.33999633789062,256.8399963378906,1.385777497640873,-21.86121013076638
31,184.9499969482422,257.5799865722656,1.392700680305222,-23.09833384144423
32,186.05999755859375,257.9800109863281,1.3865420529476542,-22.08343690750209
33,185.5500030517578,258.1400146484375,1.391215361912073,-22.893532207722103
34,186.3699951171875,258.3800048828125,1.3863819909441208,-22.088275919031332
35,184.39500427246094,257.3800048828125,1.3958079065011402,-23.605803100779667
36,183.8675994873047,256.0450134277344,1.3925510211787653,-22.943096221582124
37,184.54910278320312,256.010009765625,1.3872189347155468,-22.039378116336707
38,184.0196990966797,255.39999389648438,1.3878948566387077,-22.104194829078267
39,184.44180297851562,255.77999877929688,1.3867788898652815,-21.946142536141906
40,185.1300048828125,255.77999877929688,1.3816236808355615,-21.068889355336267
41,184.88999938964844,255.52000427246094,1.382010953085475,-21.114830622543423
42,185.95269775390625,254.19000244140625,1.3669605523970763,-18.43020376871354
43,185.77999877929688,254.45399475097656,1.369652257632228,-18.91433601665372
44,185.6376953125,254.56500244140625,1.3713001662344222,-19.206738393886496
45,185.88999938964844,254.4600067138672,1.3688741059194236,-18.78012984774469
46,185.92999267578125,254.63499450683594,1.3695208117974826,-18.90413807025334
47,186.24000549316406,254.55499267578125,1.3668115612524758,-18.42896190381603
48,186.17999267578125,254.5500030517578,1.3672253360490667,-18.50047081112399
49,186.13999938964844,256.760009765625,1.379391912579451,-20.761457095451277
50,185.6750030517578,257.1499938964844,1.3849467600374972,-21.744173553743366
51,185.3000030517578,257.2699890136719,1.3883971115845664,-22.34218237700773
52,185.0749969482422,257.64898681640625,1.3921328708083676,-23.007996183559214
53,184.78500366210938,256.9599914550781,1.3905889891635639,-22.688656196742443
54,183.88009643554688,256.239990234375,1.3935167274843774,-23.122143128105677
55,182.83999633789062,255.27000427246094,1.3961387518337003,-23.477976105849166
56,183.6300048828125,255.21499633789062,1.3898327590894617,-22.415941738237507
57,183.10000610351562,255.82000732421875,1.397160015273789,-23.696543873120078
58,183.0500030517578,255.86000061035156,1.3977601548469056,-23.80027621014864
59,183.52999877929688,256.135009765625,1.3956029612011218,-23.463433267763378
60,183.24000549316406,255.02499389648438,1.3917539088154978,-22.723072773134106
61,183.60000610351562,255.39999389648438,1.391067458638793,-22.639178837283197
62,182.88999938964844,254.11000061035156,1.389414410073721,-22.254233392844043
63,185.50999450683594,251.4600067138672,1.3555065180307633,-16.264523294039407
64,185.6887969970703,251.91639709472656,1.3566591047423349,-16.49299356553155
65,185.72000122070312,252.4600067138672,1.3593582008103295,-16.996827060448254
66,184.95700073242188,253.3000030517578,1.3695075182269423,-18.80942257471696
