,lrcx,asml,Ratio,Spread
0,587.1500244140625,656.8699951171875,1.1187430261502602,50.07470921165333
1,581.2498779296875,652.489990234375,1.1225636598125965,47.338656535545
2,580.6099853515625,650.5,1.1203734286555866,48.55688416546212
3,574.5549926757812,647.8400268554688,1.1275509483233086,43.914042623305534
4,567.3800048828125,645.97998046875,1.1385314514249962,37.120468925415764
5,568.9600219726562,648.4246826171875,1.1396665100810022,36.58139616858438
6,564.5449829101562,645.4000244140625,1.1432216102375208,34.28115740909408
7,574.2100219726562,654.1599731445312,1.139234684370734,37.17803354900883
8,572.6900024414062,651.280029296875,1.137229612042179,38.22470995089844
9,569.7899780273438,647.8200073242188,1.1369452470312322,38.18706611010492
10,574.8856811523438,651.23828125,1.1328135359792044,40.91462548468354
11,564.3499755859375,639.760009765625,1.1336228181836863,39.68597733020971
12,559.5850219726562,636.72998046875,1.1378610139065934,36.96908419600726
13,556.5399780273438,633.989990234375,1.139163429878933,36.03650324224799
14,555.0,635.4000244140625,1.1448649088541667,32.7691300437628
15,567.5999755859375,644.9248046875,1.1362312058272017,38.44094730361968
16,560.1199951171875,639.9099731445312,1.1424515795238666,34.43431273618097
17,557.530029296875,641.5499877929688,1.1507003283788229,29.670588210066906
18,551.2000122070312,637.125,1.155887129698929,26.461059456782035
19,562.5800170898438,646.5999755859375,1.1493475700234048,30.711297300943382
20,553.8499755859375,640.77001953125,1.1569378853061367,26.012111749048298
21,549.8599853515625,638.2100219726562,1.160677334184639,23.759855875877914
22,545.594970703125,635.3800048828125,1.1645635297260508,21.44591767439186
23,542.3900146484375,631.7999877929688,1.16484443063076,21.16049653836006
24,530.5,614.5,1.1583411875589067,24.12015755490705
25,533.7100219726562,625.52001953125,1.1720222476228814,16.97168615950687
26,537.193603515625,620.8699951171875,1.1557658003631248,25.82319384802832
27,536.47998046875,621.1400146484375,1.1578065114484155,24.692486757514697
28,546.6799926757812,635.4099731445312,1.1623069833495314,22.724574347759525
29,554.5499877929688,649.5,1.1712199338150182,18.12640305734197
30,563.4600219726562,656.8400268554688,1.16572605196708,21.53260364597457
31,562.4349975585938,655.5,1.1654680146957086,21.636367512196383
32,570.2999877929688,660.2999877929688,1.1578116814420694,26.322198987677833
33,571.02001953125,662.8499755859375,1.1608174020414743,24.64062815815708
34,569.1300048828125,661.6599731445312,1.1625814268582997,23.55111888555717
35,570.7750244140625,662.1599731445312,1.1601067755623704,25.03514651960398
36,569.3699951171875,662.0599975585938,1.162793970943848,23.44054225485291
37,573.4000244140625,667.1400146484375,1.1634809665907577,23.221068969581832
38,563.2150268554688,655.0499877929688,1.1630548841181159,23.02715862851522
39,568.3099975585938,666.9099731445312,1.1734968168948527,17.31212321683432
40,559.1599731445312,658.0700073242188,1.1768904051258355,15.116413809687229
41,558.1400146484375,657.4349975585938,1.1779033581254703,14.521270496039675
42,551.260009765625,655.3150024414062,1.1887584639415827,8.343418961215376
43,554.1799926757812,660.02001953125,1.1909849295432606,7.160139257852448
44,561.0800170898438,666.52001953125,1.187923289423659,8.982131096268459
45,554.6599731445312,661.0700073242188,1.1918473286911575,6.689047031600294
46,548.5700073242188,644.8300170898438,1.175474430757081,15.584042116453075
47,542.5822143554688,639.5150146484375,1.1786508988469422,13.677278195046766
48,539.3300170898438,633.89501953125,1.1753379182409815,15.374858335514487
49,541.6425170898438,635.6849975585938,1.1736246278708415,16.373943791354403
50,539.219970703125,630.6099853515625,1.1694855895809422,18.527167603351867
51,541.1599731445312,635.0,1.1734053357830407,16.476954021557898
52,549.3900146484375,645.6599731445312,1.1752306302066635,15.743081730488425
53,553.1649780273438,649.4000244140625,1.1739716905612954,16.555943978995227
54,555.3599853515625,651.4500122070312,1.1730229569828305,17.153313925831466
55,556.969970703125,656.8499755859375,1.1793274505566662,13.6951241047646
56,555.7899780273438,655.0700073242188,1.178628678496953,14.051925022723081
57,553.989990234375,655.0,1.18233183188543,11.95100035838169
58,553.719970703125,654.739990234375,1.1824388226470732,11.885344561042016
59,547.4600219726562,640.0700073242188,1.1691630103287944,19.0053190773595
60,546.1099853515625,634.7449951171875,1.1623024887716813,22.70207708294077
61,543.9600219726562,631.6375122070312,1.1611837022809415,23.216528922701567
62,550.905029296875,639.3099975585938,1.1604722475932936,23.92028846559145
63,548.0449829101562,638.5850219726562,1.1652054883920773,21.195814997514557
64,543.4000244140625,632.6199951171875,1.1641883818450858,21.558643313585033
65,543.760009765625,630.7901000976562,1.1600523921748926,23.82271000815359
66,530.77001953125,594.5700073242188,1.1202026969219432,44.375815793652976
67,527.8099975585938,587.72998046875,1.1135256686825155,47.645814889832366
68,531.2899780273438,590.2296752929688,1.1109369641875526,49.343260151054835
69,529.2000122070312,589.2999877929688,1.1135676005283717,47.75227852649897
70,523.0499877929688,589.030029296875,1.1261448103312492,40.60480631385775
71,521.25,589.1300048828125,1.1302254290317746,38.33389873936011
72,525.9400024414062,594.2899780273438,1.1299577428388368,38.830450803636666
73,512.760009765625,595.3699951171875,1.161108479168105,21.854288295133923
74,509.2200012207031,589.1099853515625,1.1568869721129316,23.844759222791534
75,504.57000732421875,585.86181640625,1.1611110607091555,21.484656525418185
76,498.4100036621094,584.1900024414062,1.1721072975041054,15.727003995011442
77,499.260009765625,583.1400146484375,1.1680086592999699,17.802168429622892
78,493.94000244140625,579.2899780273438,1.172794216228847,15.235842603906745
79,488.94000244140625,573.8599853515625,1.1736818065327614,14.635427748480138
80,484.510009765625,563.760009765625,1.1635673121352768,19.392471095372283
81,483.0899963378906,567.739990234375,1.175226137030743,13.699838692817194
