,googl,nflx,Ratio,Spread
0,141.72500610351562,586.72998046875,4.139918540841013,-233.64790350729274
1,141.60699462890625,593.739990234375,4.192871911379262,-240.95400660923437
2,143.47250366210938,604.9199829101562,4.2162781541388386,-247.45339686564742
3,146.4149932861328,614.239990234375,4.19519870505332,-249.39063422840312
4,146.91650390625,614.0900268554688,4.17985733752098,-247.98236988172894
5,147.906494140625,613.1199951171875,4.145321668798745,-244.52843128280372
6,146.68699645996094,610.7100219726562,4.163354876104189,-245.17820413410365
7,146.65499877929688,610.5399780273438,4.163103768090127,-245.08844306004224
8,146.20050048828125,612.0900268554688,4.186647958188973,-247.77883790775942
9,144.8520050048828,602.4400024414062,4.159003545868065,-241.51221776017977
10,144.9915008544922,597.3699951171875,4.1200345647617285,-236.09221233916688
11,144.39950561523438,591.1500244140625,4.093850750356691,-231.3575704657645
12,137.77499389648438,567.52001953125,4.11918014641793,-224.34860843294288
13,137.74749755859375,553.2899780273438,4.01669712941239,-210.18755583413648
14,137.01699829101562,541.0599975585938,3.9488530934637454,-199.79041379088696
15,138.66949462890625,539.8499755859375,3.8930694673015953,-194.43424284791595
16,139.73599243164062,540.8400268554688,3.8704418056074545,-192.74842811686383
17,141.4304962158203,537.219970703125,3.7984733496468635,-184.8768254050045
18,138.58700561523438,519.2000122070312,3.746383074676645,-173.99124618430935
19,139.48049926757812,525.6900024414062,3.768913971500255,-178.23944156461735
20,135.9980010986328,510.79998779296875,3.7559374672169636,-172.08708996947686
21,135.1165008544922,515.8599853515625,3.8178903545400082,-179.3587906621551
22,133.3074951171875,508.25,3.8126138335523394,-176.28763974128995
23,130.35150146484375,397.5,3.049447037686843,-72.95429160120656
24,130.8040008544922,387.1499938964844,2.959771806423217,-61.468954764762515
25,126.93499755859375,366.4200134277344,2.886674443418123,-50.446387053072016
26,129.23300170898438,359.70001220703125,2.7833448689602376,-37.96064383134083
27,129.0050048828125,386.70001220703125,2.9975582153444944,-65.53269278805695
28,133.3509979248047,384.3599853515625,2.882318027858324,-52.28847560981151
29,135.30349731445312,427.1400146484375,3.1569029857058277,-90.16964180586749
30,137.6439971923828,457.1300048828125,3.3211038200517327,-114.28726734182086
31,148.0,429.4800109863281,2.9018919661238387,-60.653838933047524
32,143.08999633789062,405.6000061035156,2.834579750395253,-49.09313918944176
33,143.29299926757812,410.1700134277344,2.862456753116065,-53.15380778255681
34,139.2010040283203,402.1000061035156,2.8886286338977034,-55.35070481313883
35,139.3990020751953,403.5299987792969,2.8947839853374466,-56.28391611679129
36,141.5919952392578,412.8900146484375,2.916054780856422,-60.14166481559053
37,138.6199951171875,406.2699890136719,2.9308180877529004,-60.978451618682556
38,134.28250122070312,391.30999755859375,2.914080345550364,-56.9013259469024
39,135.5260009765625,396.57000732421875,2.9261544239972115,-59.041367992100135
40,136.60850524902344,407.4599914550781,2.982683916439316,-67.2153255444351
41,137.73800659179688,398.0799865722656,2.8901244937573654,-55.00137741955345
42,132.53900146484375,386.6700134277344,2.9174055119941387,-56.63582032576713
43,130.4029998779297,391.2900085449219,3.0006212196897972,-66.61508951643245
44,129.81350708007812,377.3800048828125,2.90709351724099,-54.18413600455827
45,127.58799743652344,367.4599914550781,2.880051406386356,-49.84797429587107
46,132.6909942626953,390.0299987792969,2.9393856074899407,-59.614452467729194
47,134.45950317382812,390.79998779296875,2.9064512255987274,-55.947214461433504
48,135.0570068359375,394.5199890136719,2.921136772214424,-58.16806610061545
49,134.06149291992188,386.239990234375,2.881065858822603,-52.38583321839215
