,bac,ms,Ratio,Spread
0,43.125,94.95999908447266,2.201970993263134,3.761670058046837
1,42.8849983215332,94.53009796142578,2.2042695968571553,3.6291173817999915
2,42.92499923706055,94.52999877929688,2.2022131731963235,3.7229603537944964
3,42.875,94.5,2.204081632653061,3.635783865709291
4,42.935001373291016,95.20999908447266,2.217538046795099,3.0664004660350397
5,42.97570037841797,95.18000030517578,2.2147399452964907,3.1917790368707326
6,43.15999984741211,95.37999725341797,2.2099165336103908,3.423695470258968
7,43.779998779296875,97.33000183105469,2.2231613646613684,2.9266838759395934
8,44.18009948730469,97.76000213623047,2.212761022965151,3.4343360270162773
9,44.4099006652832,98.12000274658203,2.2094172983207305,3.6128839237497257
10,44.28499984741211,98.11000061035156,2.2154228508162643,3.330175858971293
11,44.26499938964844,98.05000305175781,2.2150684379019157,3.3433015226322507
12,44.28499984741211,98.13999938964844,2.216100253535023,3.300177079674418
13,44.189998626708984,97.7699966430664,2.212491506708783,3.447540560300615
14,44.54499816894531,98.30000305175781,2.2067573710282016,3.7494901718917273
15,44.435001373291016,98.48999786376953,2.216495888823577,3.301713347599394
16,44.255001068115234,98.30999755859375,2.2214437958611635,3.0598755382798313
17,44.30500030517578,98.44000244140625,2.2218711604411463,3.0470459228493976
18,44.13999938964844,98.08999633789062,2.222247342416012,3.01036559809433
19,44.21500015258789,98.16999816894531,2.220287183764704,3.10613113806267
20,44.279998779296875,98.30999755859375,2.2201897079671693,3.118458702020936
21,44.661598205566406,99.5,2.2278647428160956,2.822750202576847
22,44.61000061035156,99.31999969482422,2.2264065979810237,2.881829422331867
23,44.525001525878906,99.24400329589844,2.228950025711187,2.7586269727181527
24,44.540000915527344,99.4800033569336,2.233498008803437,2.5577785979076335
25,44.55500030517578,99.69000244140625,2.23745935941169,2.3829311996596143
26,44.53499984741211,99.625,2.23700461078567,2.401061746133058
27,44.41999816894531,99.33999633789062,2.2363800187488687,2.4165542473538064
28,44.73500061035156,100.47000122070312,2.2458924745706748,2.024770534858069
29,44.68000030517578,100.37999725341797,2.2466427163786262,1.9858790260529897
30,44.665000915527344,100.42839813232422,2.24848082556316,1.9023264609221027
31,44.595001220703125,100.3499984741211,2.2502521746211737,1.8166789568103692
32,44.625,100.41000366210938,2.250084115677521,1.8269771412713478
33,44.52000045776367,100.13999938964844,2.2493261087149294,1.8509106702599833
34,44.647701263427734,100.4000015258789,2.248716029824352,1.8901806215310213
35,44.959999084472656,100.51000213623047,2.2355427976630566,2.5120627924999663
36,44.79499816894531,100.16000366210938,2.235964008400084,2.4753748383503673
37,44.630001068115234,99.75,2.2350436390928934,2.498701012088892
38,44.73059844970703,99.86000061035156,2.2324762929928026,2.624454500778489
39,44.79499816894531,99.98999786376953,2.2321688123896126,2.645380636690211
40,44.77000045776367,99.94499969482422,2.2324100664040203,2.6317956418944046
41,44.718299865722656,100.0,2.2362209721808255,2.455632874001827
42,44.86000061035156,99.4800033569336,2.217565804802471,3.3077110370327087
43,44.72999954223633,99.27130126953125,2.219345009735452,3.211750277321789
44,44.64500045776367,99.06999969482422,2.219061455460152,3.2138530034893105
45,44.709999084472656,98.81649780273438,2.210165507184105,3.6196818491858576
46,44.63999938964844,98.8499984741211,2.21438171652492,3.422134015484266
47,44.75450134277344,99.06999969482422,2.2136320754877805,3.4704728287889477
48,44.63999938964844,98.7300033569336,2.2116936538271568,3.542129132671766
49,44.730899810791016,99.68000030517578,2.2284371816085997,2.805161058042719
50,44.69990158081055,99.41999816894531,2.2241659299676364,2.9925175680622456
51,44.56999969482422,99.1500015258789,2.224590581215393,2.958083801411595
52,44.61000061035156,99.16999816894531,2.223044089040728,3.0318309482107733
53,44.665000915527344,99.40499877929688,2.2255680452642665,2.9257258139494464
54,44.56999969482422,99.07499694824219,2.222907732255324,3.033088379048314
55,44.529998779296875,98.79000091552734,2.2185044604460513,3.224340621897559
56,44.39339828491211,98.0,2.2075354396400657,3.694212663564775
57,44.42499923706055,98.05000305175781,2.207090708736846,3.7182677421947883
58,44.38999938964844,97.63500213623047,2.1994819436514463,4.051245076564689
59,44.494998931884766,98.16000366210938,2.2060907072360596,3.7723142941580843
60,44.56999969482422,98.45999908447266,2.2091092609073213,3.648086242817845
61,44.59000015258789,98.45999908447266,2.208118384111696,3.6949581377506373
62,44.47999954223633,98.1500015258789,2.20660976924426,3.747164744163916
63,46.31999969482422,101.37999725341797,2.188687347179455,4.8292850115439645
64,46.270599365234375,101.06999969482422,2.184324410778297,5.023510867032661
65,46.32979965209961,100.81999969482422,2.176137182804657,5.412249172861797
66,46.375,100.98500061035156,2.177574137150438,5.353177130700592
67,46.16999816894531,100.73999786376953,2.1819363625517507,5.117749659146332
68,46.22999954223633,100.33000183105469,2.170235838730474,5.668361376659567
69,46.18000030517578,100.19000244140625,2.1695539579755505,5.691185498925938
70,47.915000915527344,104.05999755859375,2.171762403637397,5.887235633185233
71,48.11000061035156,103.44000244140625,2.150072773417293,6.964220551092714
72,48.29999923706055,104.57499694824219,2.165113842652028,6.274495636268574
73,48.168701171875,104.2699966430664,2.164683583038941,6.2717935283808455
74,48.18920135498047,104.48999786376953,2.168328067818668,6.099835329491347
75,48.1349983215332,104.5199966430664,2.1713929632840427,5.942809513173662
76,47.9900016784668,104.26000213623047,2.172535913517422,5.862998426571556
77,48.217899322509766,104.48999786376953,2.167037538588705,6.167090196090518
78,48.125,104.0,2.161038961038961,6.439374678723601
79,48.220001220703125,104.44000244140625,2.165906258761462,6.222011503273171
80,47.810001373291016,104.22000122070312,2.179878649384969,5.481161227603556
