,unp,hon,Ratio,Spread
1375,196.7899932861328,169.54330444335938,0.8615443377593051,-2.396839109212093
1376,196.07000732421875,168.4550018310547,0.8591574210149324,-1.923190528016503
1377,195.97000122070312,167.95089721679688,0.8570235044681614,-1.5044614042723743
1378,195.02999877929688,166.8800048828125,0.8556632616896033,-1.2360517858214144
1379,198.52000427246094,171.86000061035156,0.8657062105160971,-3.2366200544370805
1380,200.2100067138672,172.33999633789062,0.8607961168703852,-2.273855967002786
1381,199.1699981689453,172.08250427246094,0.8639981214765715,-2.904222107620226
1382,199.5399932861328,172.8699951171875,0.8663425926315356,-3.3758470850937647
1383,201.1540069580078,173.5800018310547,0.8629209253946933,-2.7079658092482624
1384,201.1699981689453,174.0800018310547,0.8653377910003256,-3.1943140677074644
1385,200.30999755859375,173.07000732421875,0.8640108303810103,-2.9185044892881513
1386,204.0800018310547,176.91000366210938,0.8668659450942299,-3.5400376265821456
1387,203.77000427246094,177.41000366210938,0.8706384646529938,-4.304683410115328
1388,204.47999572753906,177.58999633789062,0.8684956966378353,-3.87855439325048
1389,203.63999938964844,176.8300018310547,0.8683461125567231,-3.8356671114342453
1390,204.11000061035156,177.0399932861328,0.867375399327465,-3.6444172087456628
1391,204.80999755859375,177.6300048828125,0.86729167032969,-3.636839451242279
1392,205.38999938964844,178.27000427246094,0.8679585413224635,-3.7816896541472977
1393,200.16000366210938,175.35000610351562,0.8760491751365295,-5.326553477884656
1394,200.22999572753906,176.02999877929688,0.8791390028236724,-5.946793731483067
1395,200.60000610351562,177.57000732421875,0.8851944263281193,-7.170923382680994
1396,201.8052978515625,178.14999389648438,0.8827815512926834,-6.721949015722143
1397,201.60000610351562,178.5,0.8854166398603458,-7.247213259208988
1398,202.0399932861328,179.17999267578125,0.88685408151852,-7.551587645554403
1399,200.77000427246094,177.85000610351562,0.8858395294057919,-7.305794249281317
1400,198.86199951171875,175.11740112304688,0.8805976081555359,-6.202058274046718
1401,200.8800048828125,176.58999633789062,0.8790819994299982,-5.9518766546796344
1402,200.4600067138672,175.96470642089844,0.8778045521671918,-5.685140350197284
1403,199.8699951171875,176.08999633789062,0.881022667932952,-6.314124818866813
1404,198.8800048828125,174.6300048828125,0.8780671791802851,-5.699290798108021
1405,198.60000610351562,174.8300018310547,0.8803121674625157,-6.138323488023443
1406,198.22000122070312,175.0399932861328,0.8830591878124291,-6.672726175288486
1407,195.63999938964844,172.5,0.8817215320903706,-6.3352876744056035
1408,195.4499969482422,172.52999877929688,0.8827321640991642,-6.527492069795923
1409,195.14999389648438,172.2895965576172,0.882857299237256,-6.54320329318642
1410,195.02999877929688,172.25,0.8831974623294975,-6.606046903008914
1411,194.85000610351562,171.72999572753906,0.8813445745354821,-6.239702881707498
1412,193.88499450683594,170.83999633789062,0.881140888558383,-6.1735365934563875
1413,195.63999938964844,171.4600067138672,0.8764056800694273,-5.295294388272791
1414,196.0800018310547,172.91200256347656,0.881844150085535,-6.371658921975379
1415,195.25,171.6699981689453,0.8792317447833307,-5.838229414000833
1416,194.72000122070312,170.92959594726562,0.8778224880633986,-5.5502886338076936
1417,194.77000427246094,171.15499877929688,0.8787544027563434,-5.733003720582102
1418,195.1300048828125,172.0800018310547,0.8818736100293711,-6.350673243549889
1419,194.1199951171875,172.17999267578125,0.8869771121302502,-7.312912252463659
1420,194.0500030517578,171.88999938964844,0.8858026111125659,-7.082671388513686
1421,192.1300048828125,172.55499267578125,0.8981157981077926,-9.38677248603622
1422,193.66000366210938,173.52000427246094,0.8960033098791635,-9.045619841976103
1423,194.69000244140625,174.66000366210938,0.8971185036307907,-9.306306390511365
1424,195.0800018310547,174.38999938964844,0.8939409357842613,-8.70335854740051
1425,195.25999450683594,174.83999633789062,0.8954214957317823,-8.999695244483148
1426,192.39999389648438,173.22999572753906,0.900363831719978,-9.831285161054721
1427,192.6199951171875,173.6199951171875,0.9013601885492695,-10.033468892749765
1428,195.1699981689453,174.6699981689453,0.8949633642858645,-8.906527201117596
1429,194.63999938964844,173.3800048828125,0.8907727364698779,-8.068995356471332
1430,193.94000244140625,173.05999755859375,0.8923378126226391,-8.346577386435682
1431,193.19000244140625,172.61000061035156,0.8934727389048172,-8.536857537633436
1432,193.47999572753906,173.4250030517578,0.8963459111089555,-9.104291898903453
1433,192.66000366210938,172.8914031982422,0.897391258755825,-9.27072156701061
1434,192.00999450683594,172.7899932861328,0.8999010375992753,-9.724226290298416
1435,189.75,171.82000732421875,0.9055072849761199,-10.683603965167178
1436,193.3800048828125,174.5399932861328,0.902575182950809,-10.304644597321213
1437,194.4600067138672,175.6300048828125,0.9031677405073755,-10.472655607630882
1438,196.02999877929688,177.22000122070312,0.904045311045626,-10.722345324458784
1439,195.84500122070312,176.5601043701172,0.9015297978994458,-10.220381407499358
1440,197.5500030517578,177.63999938964844,0.899215371528529,-9.844711591127291
1441,196.8300018310547,177.47999572753906,0.9016917851775242,-10.299374986597938
1442,194.9600067138672,175.07000732421875,0.8979790792742433,-9.485806649410504
1443,195.39999389648438,175.33999633789062,0.8973388015087617,-9.380177373646545
1444,194.38999938964844,174.61000061035156,0.8982458004969252,-9.512416783823708
1445,194.16000366210938,174.44000244140625,0.8984342766339187,-9.538766611294788
