,ge,ba,Ratio,Spread
0,90.97821807861328,192.6300048828125,2.1173200459516917,-7.364913092245584
1,89.59418487548828,188.47999572753906,2.1037079135155405,-6.064627391087666
2,92.66098022460938,199.52000427246094,2.1532257028667976,-10.7901063310623
3,92.6709213256836,201.69000244140625,2.1764108908832895,-12.939635779440092
4,93.59693908691406,204.22000122070312,2.1819089728037424,-13.562964597967461
5,94.21428680419922,203.1699981689453,2.1564669760880664,-11.241843002723893
6,94.89137268066406,206.1300048828125,2.1722734012553224,-12.807730342680397
7,94.38355255126953,203.66000366210938,2.15779124812536,-11.383330434099033
8,94.29393768310547,202.7100067138672,2.1497671185937386,-10.61785044041255
9,94.06493377685547,201.32000732421875,2.140223771398149,-9.699369942977963
10,95.82733154296875,207.86000061035156,2.1691097650689315,-12.610587388882461
11,98.94392395019531,213.6300048828125,2.1591018058910407,-11.963529946538724
12,98.94392395019531,213.07000732421875,2.1534420590744943,-11.403532387944974
13,99.52143096923828,211.33999633789062,2.1235626766983993,-8.484434829584355
14,100.96521759033203,215.5,2.1343984110884073,-9.67168278931663
15,98.99370574951172,209.30999755859375,2.1143768280401622,-7.5410219302992205
16,101.3535385131836,216.02000427246094,2.131351380932419,-9.392134537260628
17,101.8016128540039,217.4499969482422,2.1360172088834424,-9.899542440263357
18,102.02066802978516,223.89999389648438,2.19465328173617,-15.898504925777527
19,102.7176742553711,225.9600067138672,2.1998162278489457,-16.523382383523025
20,102.4488296508789,225.00999450683594,2.1963159098411973,-16.126921040158887
21,100.18856048583984,217.0800018310547,2.166714451014951,-12.85082108724188
22,97.82872009277344,214.19000244140625,2.1894388706944596,-14.819731513417533
23,95.88709259033203,205.44000244140625,2.1425198834542623,-10.067541262757256
24,96.49446868896484,204.1999969482422,2.116183442663948,-7.576948782348237
25,90.71934509277344,204.10000610351562,2.2497958499898156,-19.367933620375023
26,88.93701171875,194.27000427246094,2.18435497795688,-13.207755033111933
27,89.5145263671875,189.75,2.1197676812995447,-7.4986484797001625
28,91.70509338378906,190.57000732421875,2.078074404511825,-3.8082797588020556
29,94.07489013671875,200.24000549316406,2.128517027255157,-8.59886797351913
30,97.52999877929688,208.33999633789062,2.1361632210141672,-9.584792397699797
31,97.61962890625,207.52000427246094,2.125802019507315,-8.580251959877781
32,97.89842224121094,206.38999938964844,2.1082055733352494,-6.8762117839123365
33,98.58546447753906,206.4499969482422,2.09412207004693,-5.521589830191229
34,99.47164916992188,211.9199981689453,2.130456265050298,-9.166937352659797
35,98.8841781616211,213.27000427246094,2.156765705468898,-11.726545875530402
36,98.82442474365234,215.86000061035156,2.184277835871912,-14.439574461682607
37,98.36640167236328,218.75,2.2238284239430435,-18.2726430535954
38,96.41481018066406,212.3000030517578,2.201943899012462,-15.840971702015391
39,96.18579864501953,210.0399932861328,2.18369027699505,-14.052496537522583
40,100.48726654052734,217.72999572753906,2.166742147769805,-12.88577941376499
41,100.97517395019531,218.92999267578125,2.168156628120944,-13.081175326693735
42,98.0378189086914,213.5800018310547,2.178547056722822,-13.779196578742098
43,92.29256439208984,209.02999877929688,2.264862832191629,-21.0586687945252
44,93.74630737304688,198.74000549316406,2.1199768936211356,-7.775419667611144
45,92.25273132324219,196.4199981689453,2.129151032728927,-8.530684446708559
46,92.14320373535156,198.42999267578125,2.153495696174191,-10.76619618490852
47,95.956787109375,201.47999572753906,2.0996951002317834,-5.964033580060996
48,95.10047149658203,205.33999633789062,2.159190097656568,-11.58718747343465
49,91.9341049194336,194.91000366210938,2.1201055237652953,-7.676741495560518
50,93.75625610351562,197.80999755859375,2.109832514431817,-6.824927303554998
51,92.0535888671875,188.85000610351562,2.051522471068276,-1.3707265671985995
52,88.75778198242188,180.83999633789062,2.0374551087104145,-0.14678100765300162
53,85.09026336669922,169.1699981689453,1.9881240399962306,3.971798745872806
54,87.85086822509766,173.8000030517578,1.9783527079827516,5.025877449176991
55,90.94035339355469,178.55999755859375,1.9634847556161907,6.627130870364115
56,91.02008819580078,178.38999938964844,1.9598970175231984,6.961302944644134
57,91.96686553955078,176.22999572753906,1.916233577100119,11.070720534264556
58,92.13627624511719,175.52000427246094,1.9050043199652613,12.129528520579644
59,92.03662109375,179.88999938964844,1.954548061976434,7.554343512330777
60,94.3786392211914,188.99000549316406,2.0024658869072676,3.2765511914499
61,95.2058334350586,190.19000244140625,1.9976717348011859,3.7797465850124494
62,95.26561737060547,192.8300018310547,2.024130081274769,1.26284227929884
63,94.49823760986328,185.89999389648438,1.9672323907666296,6.61281579167252
64,94.57797241210938,191.0399932861328,2.0199205841895678,1.6369903073588175
65,93.38203430175781,186.0399932861328,1.9922460961276234,4.17455452543945
66,93.80062103271484,189.0500030517578,2.015445110814595,2.0264145632963873
67,93.7009506225586,188.9499969482422,2.016521664858673,1.9211993579140225
68,91.68780517578125,188.16000366210938,2.0521813484505858,-1.4338725055998198
69,94.32881927490234,193.8000030517578,2.0545153065784354,-1.6360256037561927
70,94.2590560913086,194.91000366210938,2.0678119614660724,-2.8896685632016927
71,91.18949890136719,191.5,2.100022505959059,-5.799881134470437
72,92.17613983154297,190.75999450683594,2.0695159816353828,-3.0283826155871596
73,91.70773315429688,191.17999267578125,2.08466599380582,-4.412829824626752
74,89.79425811767578,182.64999389648438,2.034094358874492,0.17732511392145778
75,89.60490417480469,178.72000122070312,1.9945337017720512,3.7174381459841497
76,89.15642547607422,177.97000122070312,1.996154514611655,3.544020800534841
77,89.43547821044922,175.1999969482422,1.9589541024869552,6.8885944693715
