,mo,cost,Ratio,Spread
0,49.59000015258789,540.760009765625,10.904618029879257,-20.869718216122756
1,49.83000183105469,536.5250244140625,10.767108262069003,-14.066827077389183
2,49.7599983215332,537.60498046875,10.803958975137387,-15.895787965588232
3,49.94499969482422,538.239990234375,10.776654190072056,-14.551369503279664
4,49.9109001159668,537.969970703125,10.778606866499391,-14.646199528280539
5,49.81999969482422,537.4400024414062,10.787635602840854,-15.08882328758222
6,49.790000915527344,536.1599731445312,10.768426657677088,-14.129766908299365
7,50.099998474121094,511.9750061035156,10.219062309312719,13.37202912244316
8,50.244998931884766,510.44500732421875,10.159120672212763,16.453465029232056
9,50.55500030517578,509.5820007324219,10.07975467622045,20.633341426233578
10,50.45000076293945,513.9299926757812,10.18691744110565,15.161903455823728
11,50.41999816894531,514.77001953125,10.209639790274867,14.000862867284974
12,50.45000076293945,515.239990234375,10.212883695590943,13.851905897229978
13,50.540000915527344,518.7999877929688,10.265136098040283,11.254867906890633
14,49.869998931884766,512.5700073242188,10.27812348711528,10.316140297418253
15,49.67499923706055,518.3499755859375,10.434826040202879,2.449766440394507
16,49.46500015258789,516.22998046875,10.436267641287818,2.322869503481053
17,49.494998931884766,518.1699829101562,10.46913817744019,0.703839979666947
18,49.42499923706055,519.5499877929688,10.51188661229948,-1.4251289211792422
19,49.5099983215332,521.4000244140625,10.531206667144884,-2.365715065443231
20,49.47999954223633,522.1900024414062,10.553557139701724,-3.476666010379125
21,48.68000030517578,529.4600219726562,10.876335633801602,-19.306303473069597
22,49.13990020751953,525.8699951171875,10.70148683445469,-10.795562611380722
23,49.31999969482422,526.639892578125,10.678018974793142,-9.638479733385969
24,49.42499923706055,525.4500122070312,10.631259895155061,-7.325153335241742
25,49.459999084472656,526.0701293945312,10.636274547762463,-7.570788513724841
26,49.3650016784668,525.6300048828125,10.647827144956715,-8.147091846207394
27,49.47999954223633,525.7899780273438,10.626313316323444,-7.076641596316625
28,50.08000183105469,522.7899780273438,10.439096623657885,2.343102463872066
29,50.17499923706055,522.0800170898438,10.40518236229931,4.069491245573369
30,50.21500015258789,516.7849731445312,10.291446212768719,9.7925262913273
31,50.35499954223633,518.75,10.301856910253518,9.325427471925929
32,50.28499984741211,517.719970703125,10.295713876387119,9.60649275076724
33,50.29999923706055,518.5689697265625,10.30952241733805,8.917980186125812
34,50.31999969482422,516.97998046875,10.273847050955471,10.720964994159027
35,50.36000061035156,510.0400085449219,10.127879316190526,18.088928018428696
36,50.34000015258789,505.0400085449219,10.032578605762254,22.87493246820798
37,50.525001525878906,504.8999938964844,9.99307231367177,24.994375344578934
38,50.58000183105469,502.9599914550781,9.943850795716559,27.522855345222688
39,50.665000915527344,502.07000732421875,9.90960225504208,29.322289952911937
40,50.67559814453125,502.8699951171875,9.923316419136448,28.63568755733268
41,50.81999969482422,502.989990234375,9.89748117384586,30.060721537619138
42,50.61000061035156,493.17498779296875,9.744615329881992,37.62883192492432
43,50.974998474121094,492.2799987792969,9.657283246986594,42.42912748756071
44,50.69329833984375,492.4508972167969,9.714319512521085,39.244169274817345
45,50.52000045776367,489.0899963378906,9.681116229339416,40.75086381174804
46,50.5890007019043,489.70001220703125,9.679970060934565,40.87911830545175
47,50.560001373291016,488.5848083496094,9.663465092540735,41.68404290047072
48,50.47999954223633,488.05999755859375,9.668383557536222,41.35287149060337
49,49.89649963378906,491.4800109863281,9.849989770695382,31.689681759738328
50,50.45000076293945,488.8299865722656,9.689395028341801,40.26190955933935
51,50.404998779296875,492.510009765625,9.771054889260634,36.1003861741139
52,50.380001068115234,494.5,9.815402729575602,33.84293211357129
53,50.244998931884766,492.67999267578125,9.805552854000231,34.218479677669556
54,50.375,493.7799987792969,9.802084343013338,34.50942424284977
55,50.09000015258789,490.1600036621094,9.78558598859947,35.08005419647787
56,50.154998779296875,493.94000244140625,9.848270650248649,31.995510343790038
57,50.41999816894531,499.4200134277344,9.905196976689641,29.350868970800597
58,50.380001068115234,498.4700012207031,9.894203863687043,29.872930892868162
59,50.48500061035156,494.3132019042969,9.79128842088083,35.15317623632489
60,50.5,492.6600036621094,9.755643636873453,36.966860937308574
61,50.375,487.2149963378906,9.671761713903535,41.07442668425602
62,50.33000183105469,482.8299865722656,9.593283707658227,44.97797707349269
63,50.73500061035156,488.5899963378906,9.630235349562657,43.55126495727375
64,50.499900817871094,491.5899963378906,9.734474491560286,38.03580705910388
65,50.48500061035156,485.37860107421875,9.614313067368679,44.087777066403014
66,50.35499954223633,485.17999267578125,9.635190092074694,42.89543479614468
67,50.29499816894531,484.9649963378906,9.642410060516369,42.46844448337304
68,50.16999816894531,482.5,9.617301527004287,43.59599924399247
69,50.310001373291016,481.6000061035156,9.572649432667108,45.99396199202197
70,50.18000030517578,483.04998779296875,9.62634485562458,43.15302963387301
71,49.64500045776367,478.3299865722656,9.635008201464576,42.148782536474236
72,49.36000061035156,470.2300109863281,9.52653981304274,47.199392958852336
73,49.077301025390625,473.42999267578125,9.646618350728936,40.9746578389666
74,48.94049835205078,476.44000244140625,9.735086860255516,36.500923407689065
75,49.34000015258789,482.2349853515625,9.773712684641515,34.980423043397245
76,49.970001220703125,488.75,9.780868282178577,35.20612537274069
77,48.939998626708984,478.57501220703125,9.778811312549754,34.36056681446933
78,49.54499816894531,475.79998779296875,9.603390965330563,43.60880356466742
79,49.61000061035156,477.7799987792969,9.630719469888575,42.324288320426085
80,49.68000030517578,477.40380859375,9.609577408638078,43.44944252400665
81,49.9900016784668,478.9700012207031,9.581315965968843,45.200119702258284
