,wfc,blk,Ratio,Spread
0,52.13999938964844,763.469970703125,14.642692359806581,35.2710994041629
1,52.22999954223633,764.6300048828125,14.639670909138848,35.48979209500442
2,51.935298919677734,764.4299926757812,14.718890784821243,31.17523787742482
3,51.70500183105469,768.9500122070312,14.871868967717356,23.127260057669673
4,51.724998474121094,771.6300048828125,14.917931902286517,20.753599186038514
5,51.6349983215332,775.3250122070312,15.01549409141163,15.679864991290742
6,51.61000061035156,773.22998046875,14.98217344166551,17.391952755402713
7,51.0099983215332,778.8200073242188,15.267987315252471,2.610393950419848
8,50.7599983215332,776.9000244140625,15.305359537107964,0.7005864911028539
9,50.334999084472656,778.8350219726562,15.473031412310313,-7.745043008002995
10,50.25,776.6300048828125,15.455323480254975,-6.842140618668964
11,50.03499984741211,777.405029296875,15.537224576150042,-10.91078708799705
12,50.005001068115234,776.2650146484375,15.523747586587065,-10.230328583748019
13,50.11000061035156,777.72998046875,15.520454420191905,-10.08678946143732
14,49.649898529052734,780.719970703125,15.72450284558558,-20.125157775543926
15,49.470001220703125,782.260009765625,15.812815655202577,-24.421072754090005
16,49.16999816894531,776.9099731445312,15.800488144724204,-23.66683132673495
17,48.904998779296875,773.7000122070312,15.820468899276701,-24.5164388308026
18,48.97999954223633,772.5599975585938,15.772968656163451,-22.22747538393037
19,48.810001373291016,773.0900268554688,15.83876265323168,-25.36173408182492
20,48.459999084472656,765.47998046875,15.79612040715085,-23.113429275146814
21,48.20500183105469,767.3800048828125,15.91909502611926,-28.91979779073847
22,48.26499938964844,772.1300048828125,15.997721219248868,-32.750685502361534
23,48.15999984741211,770.6300048828125,16.00145364045765,-32.85919044498473
24,48.03839874267578,769.2899780273438,16.014063710744193,-33.38199054886195
25,48.4900016784668,773.22998046875,15.946173514201428,-30.403814692994956
26,48.46500015258789,767.6699829101562,15.839677715737404,-25.226819546533875
27,48.709999084472656,769.3200073242188,15.793882606938004,-23.123665761142206
28,48.40999984741211,786.1950073242188,16.240343106843596,-44.594402516917626
29,47.97010040283203,778.72998046875,16.233653336751736,-43.86826628700669
30,47.974998474121094,783.0050048828125,16.321105362935757,-48.06825635606174
31,48.125,781.4149780273438,16.23719434862013,-44.18033190372364
32,48.525001525878906,780.9249877929688,16.09325014397976,-37.562653703005935
33,48.540000915527344,781.0549926757812,16.0909554582627,-37.462880513724144
34,48.470001220703125,782.239990234375,16.138641851328337,-39.720214700733436
35,48.11000061035156,777.4199829101562,16.159217897471468,-40.41511485863043
36,48.369998931884766,778.1199951171875,16.086830934458895,-37.132170794113335
37,48.31999969482422,772.969970703125,15.996895190086713,-32.748092766352784
38,48.40999984741211,775.75,16.02458174850562,-34.149395192698876
39,48.2400016784668,772.2899780273438,16.00932734569277,-33.293602621062064
40,48.17499923706055,766.635009765625,15.913544824217876,-28.634417255702942
41,48.13999938964844,764.2999877929688,15.876609835548035,-26.835563597254463
42,47.689998626708984,749.030029296875,15.706228787294986,-18.459239453805367
43,47.584999084472656,756.469970703125,15.897236214300293,-27.507685802678566
44,47.494998931884766,752.0499877929688,15.834298446274854,-24.466429763051224
45,47.689998626708984,748.7999877929688,15.701405102863646,-18.229197949899117
46,47.619998931884766,740.5050048828125,15.550294445449788,-11.006551668158295
47,47.689998626708984,742.7100219726562,15.573706088485782,-12.139232129586617
48,47.88999938964844,745.3800048828125,15.564418759293794,-11.745371056571571
49,46.6775016784668,738.530029296875,15.821969958550131,-23.469843699801686
50,46.79999923706055,737.260009765625,15.753419268900215,-20.32326428780641
51,46.90999984741211,739.3099975585938,15.76017906551708,-20.68813496813266
52,47.40999984741211,744.2100219726562,15.697321754226481,-17.928578643248443
53,47.34000015258789,744.3300170898438,15.723067483960584,-19.120910388851485
54,47.679901123046875,750.35498046875,15.737343467477398,-19.938875914803816
55,47.75,748.8599853515625,15.682931630399215,-17.370024782152427
56,48.470001220703125,742.0900268554688,15.310295196330587,0.4297486781728139
57,48.625,742.27001953125,15.265193203727506,2.624207331316825
58,48.86429977416992,742.6599731445312,15.198416360753981,5.900125600167939
59,48.724998474121094,738.3800048828125,15.154028281293476,8.046114752358221
60,48.5099983215332,736.3200073242188,15.178726712043034,6.812490255686384
61,48.725399017333984,738.9400024414062,15.16539663797375,7.492253179921704
62,48.7400016784668,736.0999755859375,15.102584124676888,10.555980559290902
63,49.875,730.3699951171875,14.644009927161655,33.673183592746
64,49.375,728.9600219726562,14.76374728045886,27.423575998330534
65,49.5099983215332,732.6699829101562,14.798424717205025,25.781676147642315
66,49.15999984741211,732.0800170898438,14.891782330393601,21.009958825877447
67,49.30500030517578,732.7899780273438,14.862386644188282,22.521283315227606
68,49.40999984741211,734.5999755859375,14.867435293554506,22.319790699257055
69,49.33000183105469,728.1300048828125,14.760388766586933,27.564258871891525
70,49.154998779296875,733.0999755859375,14.914047274774928,19.91338815976451
71,48.9900016784668,729.3599853515625,14.887935504442888,21.12576116313926
72,48.584999084472656,724.7000122070312,14.916126908781585,19.581434171308615
73,48.75,725.8200073242188,14.88861553485577,20.989114723084754
74,48.36000061035156,716.885009765625,14.82392474602604,23.949648655374176
75,48.220001220703125,712.2000122070312,14.76980493939204,26.489972957136956
76,48.400001525878906,715.8800048828125,14.790908725489192,25.567434022413636
77,48.064998626708984,714.10498046875,14.857068571139681,22.21049492852967
78,48.375,718.5750122070312,14.854263818233203,22.489424286062217
79,48.28499984741211,714.030029296875,14.787822958544428,25.655680325689445
80,48.369998931884766,714.030029296875,14.76183678032288,26.957795026199165
81,48.439998626708984,714.4600219726562,14.749381548882111,27.600138978833456
