,qcom,adi,Ratio,Spread
0,182.97500610351562,169.6199951171875,0.9270118292616822,42.084051675216664
1,181.80999755859375,168.14999389648438,0.9248665978464301,42.198718288224306
2,182.59500122070312,168.61000061035156,0.9234097290897474,42.65196035271338
3,181.5500030517578,168.0800018310547,0.9258055577291123,41.96624085292677
4,181.6674041748047,167.97999572753906,0.9246567731319854,42.202827761571534
5,181.16000366210938,169.35000610351562,0.934809023405513,40.24252345357535
6,180.41000366210938,168.83999633789062,0.9358682606875378,39.88000660967253
7,176.61000061035156,166.3699951171875,0.942019107311164,37.929202791781556
8,176.02000427246094,167.47000122070312,0.9514259581625547,36.142813349154544
9,174.2100067138672,167.30999755859375,0.9603925785583235,34.19712230052604
10,175.34500122070312,168.8300018310547,0.9628446813750445,33.997535239908096
11,177.0,170.47000122070312,0.9631073515293962,34.28290981515641
12,177.08999633789062,169.99000549316406,0.959907442591056,34.867604475454975
13,179.82000732421875,170.39999389648438,0.9476142084081338,37.63362571196739
14,180.5124969482422,171.02000427246094,0.9474136537012006,37.81923616770066
15,181.85000610351562,172.63999938964844,0.9493538278540143,37.75525748846399
16,182.44000244140625,172.08999633789062,0.9432689872560175,38.99164387933319
17,183.2100067138672,172.7449951171875,0.9428796942678809,39.23244405626601
18,183.8249969482422,173.13499450683594,0.9418468509785091,39.55790512540681
19,185.27999877929688,173.39999389648438,0.9358808022394052,40.98560948843424
20,185.47000122070312,173.66000366210938,0.9363239473722748,40.94664263747884
21,189.30499267578125,174.44000244140625,0.9214759736430514,44.628153314005225
22,186.57620239257812,172.77000427246094,0.9260023628786949,43.12356197106299
23,186.41000366210938,173.8699951171875,0.9327288863335245,41.83022070659813
24,186.4199981689453,173.8000030517578,0.9323034264502541,41.91184006957911
25,187.37249755859375,173.94500732421875,0.9283379876485018,42.87494388115453
26,186.10000610351562,173.41000366210938,0.9318108434969765,41.929570669994
27,186.38999938964844,173.75,0.9321852061213621,41.92694347708376
28,189.27000427246094,174.50999450683594,0.9220161175440276,44.5174568313464
29,187.64999389648438,174.3800048828125,0.9292832963213835,42.762776907702225
30,184.7949981689453,171.82000732421875,0.9297871101853935,42.00136147647458
31,184.8000030517578,171.1999969482422,0.9264068945945493,42.62719437702645
32,185.05999755859375,171.02000427246094,0.924132748992999,43.109656553534926
33,185.77999877929688,170.9199981689453,0.9200129146948431,44.04728962232519
34,184.0,169.8300018310547,0.9229891403861668,43.06649089373109
35,188.19000244140625,170.02999877929688,0.9035017619080824,47.74101211097348
36,187.7449951171875,169.92999267578125,0.9051106399385699,47.32331057206829
37,189.0800018310547,170.57000732421875,0.9021049591306073,48.236401099293964
38,186.50999450683594,169.72999572753906,0.9100316375877548,46.08654632655736
39,187.14999389648438,169.76499938964844,0.9071066253069083,46.796097994514405
40,187.63999938964844,170.77000427246094,0.9100938223616399,46.3611502205025
41,188.74000549316406,172.0,0.9113065327648814,46.4108672875773
42,185.5500030517578,169.8000030517578,0.9151172204744904,44.89971488303862
43,183.64999389648438,168.24000549316406,0.9160904496843802,44.249301046535685
44,182.82000732421875,168.02000427246094,0.9190460427806951,43.5037217741021
45,181.1699981689453,167.97999572753906,0.9271954375740168,41.6241611271032
46,181.1999053955078,167.77000427246094,0.9258835091898463,41.86894571683859
47,180.22000122070312,167.24000549316406,0.927976941296081,41.258954539729494
48,178.8800048828125,166.50999450683594,0.9308474394101209,40.430055577418436
49,178.38999938964844,167.08999633789062,0.9366556248084525,39.27999663756315
50,173.8000030517578,164.0,0.9436133321077137,37.03013438552741
51,175.8560028076172,164.77999877929688,0.9370166280849836,38.642021601123865
52,174.75999450683594,165.3300018310547,0.9460403240318689,36.816956673772715
53,173.0399932861328,164.625,0.9513696624327875,35.520962726849
54,174.03199768066406,164.75999450683594,0.9467224229027034,36.54003519467579
55,172.30999755859375,163.0399932861328,0.9462015878137966,36.256715177890264
56,172.71609497070312,163.9499969482422,0.9492456217010471,35.81915257994864
57,174.0050048828125,164.57000732421875,0.9457774357412998,36.69861979810485
58,174.55499267578125,164.4600067138672,0.9421673032253823,37.448459054164026
59,173.1999969482422,164.00999450683594,0.9469399387798343,36.3221114904295
60,171.89999389648438,163.1300048828125,0.9489820283591572,35.6897181076182
61,168.9499969482422,160.94000244140625,0.9525895551848409,34.44778610186827
62,166.49000549316406,158.6300048828125,0.9527899552464469,33.895906322106406
63,166.21499633789062,158.25,0.9520801581483119,33.95597413046578
64,171.7949981689453,162.1999969482422,0.9441485414420082,36.49757728730244
65,168.39999389648438,161.1999969482422,0.9572446721543943,33.54793519772539
66,167.26499938964844,160.33999633789062,0.9585986125188939,33.087518596233956
67,166.4199981689453,160.11000061035156,0.962083898401513,32.33446625691041
68,165.63999938964844,159.50999450683594,0.9629920012955784,32.02704610664505
69,164.86000061035156,159.55999755859375,0.9678514919802504,31.069616801106253
70,163.82000732421875,156.27999877929688,0.9539738236612374,33.13971982589495
71,164.10000610351562,155.5399932861328,0.9478366087812142,34.20546716648811
72,159.39999389648438,152.36000061035156,0.9558344193494471,31.917612221282287
73,163.25999450683594,154.6199951171875,0.9470782820019839,34.148222041546795
74,164.75,156.8865966796875,0.952270693048179,33.61504640055113
75,167.79559326171875,159.58999633789062,0.9510976613609305,34.45479495921227
76,170.22000122070312,161.49000549316406,0.9487134551466725,35.37526641269201
77,167.9600067138672,158.33999633789062,0.9427243987173387,35.89606844183074
78,166.88999938964844,157.39999389648438,0.9431361643725149,35.591257732876294
79,166.44000244140625,156.99000549316406,0.9432228021531724,35.47773372079978
