,nem,lin,Ratio,Spread
0,58.189998626708984,327.32000732421875,5.625021739972685,-9.799040815835424
1,58.369998931884766,328.3399963378906,5.625149945968802,-9.819661544079038
2,58.470001220703125,328.9599914550781,5.62613279608757,-9.884440291951462
3,58.880001068115234,329.2699890136719,5.592221179356916,-7.918103684700652
4,58.52000045776367,330.19000244140625,5.642344495190463,-10.836853683291492
5,58.690101623535156,330.19000244140625,5.625991322342466,-9.892445782313855
6,58.70000076293945,330.29998779296875,5.626916243611113,-9.947470749425731
7,57.84000015258789,330.510009765625,5.714211772021187,-14.932247601497222
8,58.0099983215332,330.6700134277344,5.700224495696809,-14.14841520477931
9,58.375,333.2799987792969,5.709293340972966,-14.73189787218483
10,58.560001373291016,333.0899963378906,5.688012099156331,-13.51476103204986
11,58.21500015258789,332.0150146484375,5.7032554114607885,-14.355238752890655
12,58.214500427246094,332.4599914550781,5.710948114560768,-14.802990052927482
13,58.18000030517578,332.8599853515625,5.7212097560259165,-15.39452989044126
14,57.58000183105469,332.760009765625,5.779089947617146,-18.625767803038613
15,57.83000183105469,334.44000244140625,5.78315738979991,-18.917751324540504
16,57.75429916381836,334.69000244140625,5.795066467555393,-19.588055305050077
17,57.790000915527344,334.739990234375,5.79235135717804,-19.43982566523532
18,57.84000015258789,334.4049987792969,5.781552522425691,-18.8272366151691
19,58.505001068115234,334.739990234375,5.721561988258909,-15.470118636822788
20,58.5099983215332,335.29998779296875,5.730644290064347,-16.002371261454968
21,59.40999984741211,338.05999755859375,5.69028780385226,-13.765539599938718
22,59.439998626708984,339.44000244140625,5.710632743670372,-14.978990161626127
23,59.619998931884766,339.70001220703125,5.697752738894461,-14.239631641822923
24,59.560001373291016,339.5899963378906,5.701645206646616,-14.462724414932422
25,59.3650016784668,340.42999267578125,5.734523423744194,-16.385366198813855
26,59.54499816894531,340.04998779296875,5.710806923331406,-15.00601420991198
27,59.540000915527344,339.0799865722656,5.69499464827582,-14.063757923170426
28,59.91960144042969,341.6099853515625,5.7011391454461045,-14.486200688332515
29,60.04159927368164,342.25,5.700214586889265,-14.448878899346182
30,60.119998931884766,342.35418701171875,5.694514189855558,-14.117788137951704
31,60.01499938964844,342.6199951171875,5.708906083506244,-14.966557546697102
32,60.119998931884766,343.18939208984375,5.708406490137719,-14.952993216076704
33,60.08000183105469,343.4700012207031,5.716877342756126,-15.4556677153232
34,60.209999084472656,343.5,5.705032473395004,-14.763916983518795
35,60.709999084472656,344.1600036621094,5.668917951773328,-12.647902337069509
36,60.68000030517578,344.95001220703125,5.684739790246973,-13.604465203116417
37,60.400001525878906,343.7449951171875,5.691142159489963,-13.954011588677117
38,60.470001220703125,343.3599853515625,5.678187174138939,-13.180360954201019
39,60.150001525878906,343.70001220703125,5.714048270791114,-15.297037832800227
40,60.21500015258789,343.69000244140625,5.707714050825844,-14.926153311624587
41,60.29999923706055,343.8800048828125,5.702819390277254,-14.644237723617193
42,60.625,344.7699890136719,5.686927653833763,-13.729805718045652
43,60.869998931884766,344.5199890136719,5.659930919322003,-12.119562677066751
44,60.93000030517578,344.3299865722656,5.651238878182248,-11.596430414071433
45,60.86000061035156,344.8800048828125,5.666776231089168,-12.535089593469406
46,60.70500183105469,345.260009765625,5.6875051371632,-13.775653374546705
47,60.72999954223633,346.0299987792969,5.697842934094556,-14.406854180393948
48,60.6150016784668,345.4200134277344,5.698589521782415,-14.435341179370182
49,61.10900115966797,344.4049987792969,5.635912750061519,-10.67762332246677
50,61.10900115966797,344.32000732421875,5.634521932776582,-10.592631867388645
51,61.33000183105469,344.55999755859375,5.618131212644517,-9.605618281817028
52,61.189998626708984,344.1499938964844,5.6242850403703954,-9.972917536748794
53,61.38999938964844,345.1099853515625,5.621599426335144,-9.822497432535654
54,61.51499938964844,345.32000732421875,5.613590356018571,-9.338514828052196
55,61.59000015258789,344.2900085449219,5.590030974053431,-7.892109066603764
56,61.45000076293945,344.95001220703125,5.613507045146709,-9.329394466415335
57,61.45000076293945,345.1300048828125,5.616436136660892,-9.509387142196585
58,61.5,345.739990234375,5.621788459095528,-9.841774898770991
59,61.790000915527344,346.56500244140625,5.608755418456664,-9.056691403796874
60,61.845001220703125,346.20001220703125,5.5978657187112795,-8.386337461133321
61,62.10499954223633,346.7900085449219,5.583930619129578,-7.5328135974825
62,62.0099983215332,346.4700012207031,5.587324795981975,-7.740256529278367
63,61.68000030517578,343.8999938964844,5.575551105625181,-7.002410275452162
64,61.220001220703125,340.7699890136719,5.56631790622101,-6.426337153472316
65,61.07500076293945,339.489990234375,5.558575292566821,-5.951386225178153
66,61.02000045776367,338.79559326171875,5.55220568207343,-5.562352960810456
67,61.130001068115234,339.1650085449219,5.548257854060905,-5.321040827436418
68,61.02000045776367,339.010009765625,5.555719554611905,-5.776769464716706
69,60.970001220703125,338.7200012207031,5.555519016550167,-5.764358514782925
70,61.22999954223633,342.8999938964844,5.600195924547617,-8.50083098902273
71,61.025001525878906,341.42999267578125,5.594919854790841,-8.168986261572497
72,61.15999984741211,342.55999755859375,5.601046409634494,-8.54947551998326
73,61.0,342.67999267578125,5.617704797963627,-9.55779564873596
74,61.06999969482422,343.260009765625,5.620763246781493,-9.749171869728611
75,60.724998474121094,344.5199890136719,5.673445824136076,-12.924610528069463
76,60.43000030517578,344.79998779296875,5.705775046362806,-14.842449943333277
77,61.119998931884766,349.3900146484375,5.716459763649792,-15.601579157553017
78,61.334999084472656,350.07000732421875,5.707508152761042,-15.087883113480457
79,61.68989944458008,351.5400085449219,5.6985018894500294,-14.587464539439038
