,bmy,jnj,Ratio,Spread
0,66.7750015258789,156.77670288085938,2.347835257182285,-3.3006336273460977
1,67.12000274658203,158.1699981689453,2.356525502034486,-3.888920477380576
2,68.60310363769531,162.8699951171875,2.3740907696732165,-5.128324650343341
3,68.93000030517578,164.91000366210938,2.3924271424923624,-6.405569008065083
4,68.95099639892578,166.3000030517578,2.411857866267886,-7.74657717211603
5,69.08499908447266,166.6199951171875,2.4118114977964376,-7.753894133478166
6,69.05500030517578,166.22000122070312,2.407066837826727,-7.423897874729715
7,68.88500213623047,166.01499938964844,2.4100311278401176,-7.61556119220803
8,68.80000305175781,166.0,2.412790590650399,-7.79889437682608
9,67.94499969482422,163.39500427246094,2.4048127898499017,-7.188920334981656
10,68.3949966430664,164.88780212402344,2.4108167295412692,-7.631718016416993
11,68.41999816894531,164.18499755859375,2.399663869519286,-6.870576152192637
12,68.31999969482422,163.8350067138672,2.3980533876711796,-6.753916700600552
13,68.2699966430664,163.34500122070312,2.3926323312232456,-6.380585805025799
14,68.51000213623047,163.8300018310547,2.391329685047779,-6.3055697094016345
15,68.6500015258789,164.60000610351562,2.3976693728326657,-6.748906471065492
16,68.56999969482422,163.72999572753906,2.3877788603796315,-6.0655683304141625
17,68.48500061035156,163.44650268554688,2.386602923689568,-5.980407862688491
18,68.43499755859375,163.16000366210938,2.3841602905357377,-5.8105834368403
19,68.36000061035156,163.00999450683594,2.3845815250351503,-5.835568375906671
20,68.66000366210938,163.52999877929688,2.3817359460693175,-5.655560666920035
21,68.69499969482422,163.6199951171875,2.3818326784200474,-5.663899028133482
22,68.62000274658203,163.91000366210938,2.388662155369467,-6.128901667395166
23,68.76000213623047,165.82899475097656,2.411707236751223,-7.7212252454652734
24,68.94999694824219,167.25999450683594,2.425815836255814,-8.708900694982429
25,69.1500015258789,167.00999450683594,2.415184249046381,-7.992220106669304
26,69.18499755859375,166.58999633789062,2.407891916116687,-7.4905639610468135
27,69.06999969482422,166.38999938964844,2.4090053586914513,-7.558897224807065
28,68.7699966430664,166.17999267578125,2.416460677441897,-8.048902492387423
29,68.86000061035156,166.07000732421875,2.411704993497398,-7.728906425572983
30,69.23999786376953,167.4499969482422,2.4183997994584274,-8.222229634867812
31,68.83000183105469,167.24000549316406,2.4297544826986885,-8.96890223225422
32,68.8550033569336,167.69500732421875,2.435480344905569,-9.365566764514238
33,69.11499786376953,168.80999755859375,2.442451027652927,-9.873898937148493
34,69.2699966430664,169.27000427246094,2.443626569590776,-9.972239321350639
35,69.36499786376953,169.02000427246094,2.436675693473103,-9.500568267157444
36,69.11000061035156,168.57000732421875,2.4391550547746585,-9.645569041714747
37,68.8550033569336,167.27999877929688,2.4294530625776525,-8.950558219592363
38,68.9000015258789,168.50999450683594,2.4457182986206965,-10.075557490527569
39,69.2300033569336,169.38999938964844,2.4467715033366892,-10.185552754156571
40,69.26000213623047,169.3699951171875,2.445422897678322,-10.09555084395971
41,69.43000030517578,169.72000122070312,2.4444764579390483,-10.048891798942332
42,69.45999908447266,169.14999389648438,2.4352144561760696,-9.408886836987659
43,69.3499984741211,169.47500610351562,2.4437636601644277,-9.990568917080065
44,68.58499908447266,169.5800018310547,2.472552367059036,-11.880575615061826
45,68.76000213623047,170.26499938964844,2.4762215546810427,-12.157229884137148
46,68.58999633789062,170.44000244140625,2.484910505050595,-12.728915886472134
47,68.78500366210938,172.53500366210938,2.5083229552425146,-14.368896857803417
48,68.70999908447266,172.6649932861328,2.5129529266018036,-14.673898378210833
49,68.68000030517578,172.69000244140625,2.5144147011366886,-14.768905171220194
50,68.7699966430664,172.2100067138672,2.5041444688107295,-14.07891653047336
51,67.55999755859375,170.8699951171875,2.529159284959929,-15.56225573542228
52,68.04499816894531,170.7100067138672,2.5087811199585954,-14.270591383253457
53,68.19499969482422,170.84190368652344,2.505196927209456,-14.05248236518592
54,67.99500274658203,170.97000122070312,2.514449508266215,-14.647242685634534
55,68.12999725341797,170.0,2.4952298085036455,-13.362252095119754
56,68.05999755859375,169.63999938964844,2.49250669225492,-13.165585240166745
57,67.7300033569336,168.6999969482422,2.490772015161464,-12.995574615899795
58,68.19499969482422,169.22000122070312,2.481413622376574,-12.430579899365608
59,68.375,169.2899932861328,2.4759048378227835,-12.080568336335585
60,68.52999877929688,169.8800048828125,2.478914459489729,-12.30891360335023
61,68.27999877929688,169.27000427246094,2.4790569317318907,-12.282250376856904
62,68.19499969482422,169.47999572753906,2.4852261380741973,-12.690574406201545
63,68.39099884033203,169.72000122070312,2.4816131376723605,-12.47324538424969
64,68.12999725341797,169.39999389648438,2.4864230254755495,-12.762245991604129
65,68.20999908447266,168.72999572753906,2.473684181091696,-11.905575587333583
66,68.0999984741211,168.32000732421875,2.471659487454799,-11.752257057074427
67,68.41000366210938,169.03500366210938,2.4709106068318154,-11.7439029335908
68,68.56999969482422,169.2899932861328,2.468863847740561,-11.625565889007913
69,68.6050033569336,169.47999572753906,2.470373696299958,-11.733892551692815
70,68.51000213623047,169.42999267578125,2.473069440851481,-11.905560554128197
71,68.41999816894531,169.66000366210938,2.4796844227206543,-12.345582255708262
72,69.1780014038086,170.42999267578125,2.4636443553918315,-11.346884773455212
73,69.33999633789062,171.27000427246094,2.470003076404418,-11.808905565952085
74,69.3499984741211,170.7100067138672,2.4615718885353686,-11.225569527431627
75,69.37249755859375,171.25,2.4685575123680383,-11.713064585262526
76,69.20999908447266,170.60000610351562,2.4649618315309287,-11.442236427877173
77,69.09500122070312,170.0500030517578,2.461104277407629,-11.160563588121772
