,adm,pep,Ratio,Spread
0,65.04000091552734,169.1300048828125,2.600399792467334,-37.583336938948825
1,64.88999938964844,169.27000427246094,2.6085684368100597,-38.031459386588686
2,64.76000213623047,169.36000061035156,2.615194487703728,-38.38848734978401
3,64.73999786376953,169.5500030517578,2.6189374211679293,-38.619581223876985
4,64.55999755859375,169.4600067138672,2.6248453085839674,-38.899329421218106
5,64.66999816894531,169.52000427246094,2.62130832027555,-38.73337111540413
6,64.5999984741211,169.97000122070312,2.631114632127948,-39.32715673447034
7,65.33000183105469,170.53500366210938,2.610362756503787,-38.39263531860623
8,65.4000015258789,170.1699981689453,2.601987678878092,-37.883841154618146
9,65.56500244140625,169.7100067138672,2.588423707686622,-37.08491590292845
10,65.33000183105469,169.41000366210938,2.5931424906463136,-37.26763531860623
11,65.52999877929688,169.5399932861328,2.587211909726087,-36.98680464650095
12,65.58000183105469,169.86500549316406,2.5901951928998934,-37.20910394360515
13,65.44000244140625,169.77999877929688,2.5944375373658444,-37.41167457138601
14,65.47000122070312,170.42999267578125,2.6031768672380498,-38.00004699063006
15,65.5999984741211,170.58999633789062,2.600457321735878,-37.89301902743474
16,65.80500030517578,170.77999877929688,2.595243491942731,-37.66192047864569
17,65.80899810791016,170.82000732421875,2.5956937840645593,-37.693717005746116
18,65.86000061035156,170.92999267578125,2.5953536454859263,-37.69893644292622
19,65.83999633789062,171.16000366210938,2.5996356801679763,-37.97003886194107
20,66.08999633789062,171.49000549316406,2.594795203443606,-37.78650748693996
21,66.5,171.91000366210938,2.585112837024201,-37.36430367549473
22,66.41000366210938,172.7100067138672,2.600662508507102,-38.34917115897354
23,66.44000244140625,172.4550018310547,2.59565014289612,-38.03254479892072
24,66.62999725341797,172.3300018310547,2.5863726389725246,-37.51727021913532
25,66.71499633789062,172.0800018310547,2.5793301547904344,-37.09267080969112
26,66.80999755859375,172.02000427246094,2.5747644148855993,-36.837528125309824
27,66.94999694824219,172.39999389648438,2.575056038161789,-36.929940407685216
28,67.36000061035156,172.46499633789062,2.560347309607759,-36.152740868700896
29,67.16999816894531,172.25999450683594,2.5645377281918234,-36.33802928922133
30,66.88999938964844,172.8300018310547,2.5837943400818895,-37.4831912967362
31,67.0999984741211,172.77020263671875,2.574816789352867,-36.99202608992817
32,67.11000061035156,172.89500427246094,2.5762926940845876,-37.096282009327005
33,67.2300033569336,173.33099365234375,2.578179161052618,-37.285769808458745
34,67.01000213623047,172.92999267578125,2.5806594114743766,-37.33668056071166
35,67.02790069580078,172.72999572753906,2.5769865076254788,-37.0999175937498
36,66.88999938964844,172.44000244140625,2.5779638812209678,-37.093191907087764
37,66.97000122070312,172.62879943847656,2.577703393935583,-37.117654516990676
38,66.93000030517578,172.47999572753906,2.5770206923815144,-37.051017999636876
39,66.97000122070312,172.7667999267578,2.5797640253491383,-37.255655005271926
40,66.9749984741211,172.8699951171875,2.5811123412564743,-37.348585173424816
41,66.9000015258789,172.6699981689453,2.5810163562126593,-37.30264191828345
42,67.02999877929688,172.7100067138672,2.576607636269434,-37.07561883790063
43,67.13999938964844,172.39999389648438,2.5677687736628845,-36.53965015611009
44,66.94000244140625,172.21499633789062,2.5726768756638965,-36.76547289364509
45,67.38999938964844,172.92999267578125,2.566107645674567,-36.5561157293512
46,67.36000061035156,173.0500030517578,2.569032088535408,-36.73774758256808
47,67.54000091552734,173.6199951171875,2.570624707783688,-36.937995112766025
48,67.5999984741211,173.72999572753906,2.5699704090089157,-36.924752768636914
49,67.88999938964844,171.39999389648438,2.52467219675095,-33.99905053794276
50,67.62999725341797,171.49000549316406,2.535709189083208,-34.62314105702159
51,67.56999969482422,171.83999633789062,2.543140404232581,-35.09637485622883
52,67.66000366210938,171.8800048828125,2.5403487375077973,-34.95150329763995
53,67.69000244140625,172.0800018310547,2.542177509596198,-35.08987876864179
54,67.79000091552734,172.22999572753906,2.5406401150835456,-35.03446251706182
55,67.93000030517578,172.97000122070312,2.546297665885982,-35.48689066857781
56,69.16999816894531,173.10000610351562,2.502530153040121,-33.069775237454756
57,69.30000305175781,174.1699981689453,2.5132754761765836,-33.87272000579002
58,69.1050033569336,173.64999389648438,2.512842565097153,-33.753271007181006
59,69.08999633789062,173.44859313964844,2.5104733294728088,-33.58269666075497
60,69.30000305175781,173.6199951171875,2.5053389245526674,-33.32271695403221
61,69.18000030517578,173.67999267578125,2.5105520657649834,-33.62921609337703
62,69.13999938964844,173.22000122070312,2.5053515005763427,-33.25139183188261
63,69.6500015258789,174.9600067138672,2.511988555360759,-33.943785196591755
64,68.83000183105469,174.67999267578125,2.5378466951742724,-35.348159447497174
65,69.45999908447266,174.25999450683594,2.508781986808155,-33.6340632411356
66,69.22000122070312,174.61000061035156,2.5225368033961715,-34.477056834363644
67,68.93000030517578,174.46429443359375,2.531035741494022,-34.9270510572453
68,68.83999633789062,174.30999755859375,2.532103527475796,-34.95763428575605
69,68.62000274658203,173.82000732421875,2.5330807398266497,-34.91954010840677
70,69.05000305175781,174.69000244140625,2.5299057888594714,-34.90625748430673
71,69.05000305175781,174.37899780273438,2.5254017392587964,-34.59525284563485
72,69.3499984741211,174.38330078125,2.5145393600307506,-33.983325379957385
73,69.5,174.51499938964844,2.5110071854625673,-33.8069009303644
74,69.62000274658203,174.4600067138672,2.5058891098999885,-33.50540667383208
75,69.40499877929688,173.66000366210938,2.5021253038896556,-33.14705032861291
76,69.2300033569336,173.8800048828125,2.511627855719263,-33.72651539048123
77,69.51000213623047,174.25,2.506833472087843,-33.52135582437261
