,ko,pep,Ratio,Spread
0,60.136199951171875,171.14999389648438,2.84603939117289,-6.437171935855442
1,59.9900016784668,170.89999389648438,2.848807953239787,-6.594379874189453
2,60.0099983215332,171.13999938964844,2.8518580932577495,-6.778688458997433
3,59.32500076293945,169.0500030517578,2.849557536918971,-6.5966246735075025
4,59.650001525878906,169.57000732421875,2.842749421400291,-6.211400120861068
5,60.619998931884766,172.14999389648438,2.8398217903289558,-6.08964038258193
6,60.724998474121094,171.9199981689453,2.831123960294733,-5.567188073108294
7,60.25,170.97999572753906,2.8378422527392377,-5.950205020233565
8,59.599998474121094,169.2550048828125,2.839849147920779,-6.035671825721774
9,59.564998626708984,168.88999938964844,2.835389965306203,-5.768151859869246
10,59.78499984741211,169.50999450683594,2.8353265022910836,-5.775374733883947
11,59.649898529052734,169.3699951171875,2.83940122772707,-6.011674792220813
12,59.70000076293945,169.1699981689453,2.8336682748245896,-5.672127444446229
13,59.869998931884766,169.75999450683594,2.835476825379187,-5.78862568543104
14,59.959999084472656,170.22999572753906,2.8390593450095984,-6.007948318029431
15,60.08000183105469,170.60000610351562,2.839547285355347,-6.04371349311597
16,60.04999923706055,170.31500244140625,2.8362198935099134,-5.842276443791885
17,60.4900016784668,171.6300048828125,2.837328486038202,-5.931734398852537
18,60.84000015258789,172.6699981689453,2.8380998970395406,-5.9968724118700685
19,60.39120101928711,171.5500030517578,2.8406456595716647,-6.1269233206445755
20,60.584999084472656,172.17999267578125,2.8419575023136265,-6.217124689190339
21,60.84000015258789,172.44000244140625,2.8343195596469988,-5.766876684331006
22,60.974998474121094,173.08999633789062,2.838704398022301,-6.0408580112211006
23,61.03499984741211,172.92999267578125,2.833292260311417,-5.713731748666699
24,60.84000015258789,172.96499633789062,2.842948650626086,-6.291870580815381
25,61.0,173.5,2.8442622950819674,-6.381224600196983
26,60.31999969482422,170.42999267578125,2.825430927354681,-5.205230913852713
27,60.20100021362305,170.41000366210938,2.8306839264698267,-5.516692693040024
28,60.31999969482422,170.8000030517578,2.8315650516558835,-5.575241289829275
29,60.334999084472656,170.72999572753906,2.8297008091192097,-5.4634559717806574
30,60.625,171.5500030517578,2.8296907719877575,-5.475719998203569
31,60.48500061035156,172.35000610351562,2.8494668821086067,-6.665665159207489
32,60.529998779296875,172.3000030517578,2.8465224934167637,-6.490328125960101
33,60.84000015258789,174.57000732421875,2.869329501748748,-7.896881567143506
34,60.849998474121094,174.92999267578125,2.874773986233989,-8.229018464527964
35,60.755001068115234,174.4499969482422,2.871368510925681,-8.01362023961985
36,60.88990020751953,174.39999389648438,2.864185904429304,-7.587880871533169
37,61.04499816894531,174.77090454101562,2.8629848436939542,-7.526795159723033
38,61.13999938964844,175.05999755859375,2.86326462718665,-7.551280049544598
39,61.16999816894531,175.4600067138672,2.8683997378790904,-7.867733217158328
40,61.150001525878906,174.77999877929688,2.8582174066721704,-7.243422190944099
41,61.599998474121094,175.57000732421875,2.8501625271626887,-6.780048420467917
42,61.690101623535156,176.11000061035156,2.854752966449394,-7.06907624010503
43,61.584999084472656,175.8300018310547,2.85507841917605,-7.081820921133723
44,61.54999923706055,176.0399932861328,2.8601136550483566,-7.3892979035233814
45,61.54999923706055,175.89999389648438,2.857839091419051,-7.249298513874944
46,61.61000061035156,175.3800048828125,2.8466158601749076,-6.562186899758043
47,60.76499938964844,171.91000366210938,2.829095785219327,-5.445778499308997
48,61.099998474121094,172.8699951171875,2.8292962264214556,-5.472692675101708
49,61.32500076293945,173.36000061035156,2.8269058043798383,-5.335996385441145
50,61.2400016784668,173.11000061035156,2.8267471565276017,-5.3227454338940525
51,61.095699310302734,172.8249969482422,2.8287587980697397,-5.439669022699174
52,61.31999969482422,173.4152069091797,2.8280366564290276,-5.405132223921097
53,60.959999084472656,172.4600067138672,2.829068394093777,-5.4526463810275025
54,61.16999816894531,171.875,2.8097924659945015,-4.282726503291141
55,61.24620056152344,171.63499450683594,2.802377828065008,-3.830473501290552
56,61.31999969482422,171.6199951171875,2.798760534430878,-3.6099204319289098
57,61.38999938964844,171.99000549316406,2.8015964685310775,-3.7849597532824046
58,61.470001220703125,172.2449951171875,2.8020984495958543,-3.81711924337915
59,61.64500045776367,172.10499572753906,2.7918727301406627,-3.189692217173072
60,61.599998474121094,171.8000030517578,2.7889611575872535,-3.01004414800698
61,62.185001373291016,171.3249969482422,2.755085521664517,-0.9056219092478526
62,62.03499984741211,171.6999969482422,2.7677923328858514,-1.6984230977975838
63,62.029998779296875,171.83999633789062,2.770272444294226,-1.8523520270978477
64,62.03499984741211,171.7967071533203,2.769351294847905,-1.7951333028757088
65,62.100399017333984,171.8000030517578,2.766487909422346,-1.616272048154738
66,62.224998474121094,172.35000610351562,2.769787229085987,-1.8192266226835128
67,62.0,172.0,2.774193548387097,-2.09591167686693
68,61.45500183105469,171.30999755859375,2.787568016506456,-2.923899678615268
69,61.279998779296875,171.3300018310547,2.7958551769576343,-3.431342212759429
70,61.38999938964844,171.5,2.7936146229856176,-3.294954260118342
71,61.220001220703125,171.67999267578125,2.8043121406819447,-3.948445032805435
72,61.220001220703125,171.8000030517578,2.8062724538734445,-4.068455408781997
73,61.099998474121094,171.5,2.806874047184123,-4.102697557914208
74,61.04999923706055,171.97999572753906,2.817035182256615,-4.721956806594644
75,62.06999969482422,169.49000549316406,2.7306268137020338,0.609053884592075
76,62.150001525878906,168.97999572753906,2.718905737390477,1.341893784143767
77,62.189998626708984,170.02000427246094,2.733880174093488,0.4132896810596409
78,61.4900016784668,168.72000122070312,2.7438607353264595,-0.2364178134131092
