,ge,de,Ratio,Spread
0,79.35206604003906,379.6600036621094,4.784500550628921,93.45126159471086
1,79.3442611694336,380.92999267578125,4.800977248528843,92.13414463159309
2,79.67213439941406,381.7099914550781,4.791009985266384,93.33393434441622
3,79.60187530517578,381.1600036621094,4.788329448280297,93.45967845561809
4,79.38890838623047,381.29998779296875,4.802937784934992,92.03374165532206
5,79.5628433227539,379.760009765625,4.773082432776993,94.62398653649605
6,79.15690612792969,378.4700012207031,4.781263186424159,93.46283495808497
7,77.91178894042969,379.17999267578125,4.866785859142539,85.23448441251254
8,77.93130493164062,378.0899963378906,4.851580461401764,86.44232365820638
9,77.86042022705078,375.0150146484375,4.816503861074041,89.08928405899663
10,77.501953125,376.6600036621094,4.860006599506061,85.27977236231693
11,77.82981872558594,380.44000244140625,4.888100841950691,83.47951600676335
12,77.59562683105469,379.1499938964844,4.886228894342072,83.35540965804667
13,77.6268539428711,379.8699951171875,4.893538457667626,82.82396630350401
14,78.35285186767578,377.2900085449219,4.815268360392274,89.78772747339993
15,78.8758773803711,378.7850036621094,4.802292110621556,91.4509038579878
16,79.18032836914062,377.2099914550781,4.763935679787989,94.86427464042454
17,79.55113220214844,380.6700134277344,4.785224331696609,93.64326791602936
18,79.74238586425781,380.92999267578125,4.777007717379095,94.53813073710326
19,79.70335388183594,381.8399963378906,4.790764475281515,93.39244125938747
20,79.46916198730469,380.70001220703125,4.7905376461356,93.11831049660829
21,79.70335388183594,376.30999755859375,4.721382215816055,98.92244003868434
22,79.74629211425781,375.6650085449219,4.710752043576918,99.826701876874
23,79.86729431152344,376.30999755859375,4.711690821662139,99.91235731893273
24,79.95316314697266,377.5199890136719,4.7217642699101425,99.2208654445134
25,79.79719543457031,377.4200134277344,4.729740329498169,98.37906520393757
26,79.85167694091797,376.760009765625,4.718247934159087,99.36804314463286
27,79.8126449584961,376.260009765625,4.7142906986892426,99.63235732902645
28,80.37471008300781,381.22119140625,4.743049038839952,98.06507907416007
29,80.56205749511719,382.69000244140625,4.750251102568983,97.72752309921323
30,80.312255859375,380.614990234375,4.739189382263443,98.29416451371408
31,80.33567810058594,381.364990234375,4.747143476611713,97.68559443042865
32,80.19515991210938,380.29998779296875,4.742181301337412,97.90210950830102
33,80.12100219726562,380.989990234375,4.755182533742413,96.7643224445933
34,79.98439025878906,380.5400085449219,4.757678433425406,96.38940377942392
35,80.1873550415039,375.3399963378906,4.680787839225021,102.81497301393325
36,80.04683685302734,375.1499938964844,4.686631085564206,102.15648809180563
37,80.02342224121094,376.760009765625,4.70812168754761,100.4050883743272
38,79.71116638183594,373.86749267578125,4.690277531316814,101.41211893931957
39,79.8126449584961,375.4700012207031,4.704392410700758,100.42236587394832
40,80.07025909423828,378.25,4.7239762213685434,99.19791190500457
41,80.53083801269531,379.4200134277344,4.711487211494317,100.80900031510141
42,80.2810287475586,382.6300048828125,4.766132308617789,96.09059199911606
43,80.39812469482422,384.6499938964844,4.784315496866894,94.77766043226349
44,80.3434829711914,384.1300048828125,4.781097242455236,94.96770773143705
45,80.08586883544922,380.6199951171875,4.752648633921167,96.92217268670892
46,80.46057891845703,380.5,4.72902389113579,99.30477006106885
47,80.38251495361328,382.8999938964844,4.763473674809084,96.43340453337164
48,80.32786560058594,383.8599853515625,4.778665317216676,95.14342529541842
49,78.96174621582031,375.54998779296875,4.756100337073419,95.2044193077872
50,79.57064819335938,377.375,4.742640767270941,97.05612425156694
51,79.8750991821289,379.07000732421875,4.745784496115294,97.19947550275369
52,79.5003890991211,377.5791931152344,4.749400567643368,96.42768745456563
53,78.7197494506836,376.6099853515625,4.784186788951881,92.683178906109
54,78.9071044921875,377.622802734375,4.785662902784159,92.8016626518827
55,78.54801177978516,375.8900146484375,4.785480957841065,92.36615044791644
56,78.74317169189453,373.510009765625,4.743395544531672,95.92458440876108
57,79.10226440429688,379.343994140625,4.795614853726221,92.25890032366483
58,78.85246276855469,379.42999267578125,4.811897807040884,90.66453099597813
59,78.57189178466797,377.2200012207031,4.8009535299786625,91.18035789497215
60,78.2825927734375,374.29998779296875,4.7813948737780505,92.35350454358611
61,77.61904907226562,371.7008056640625,4.788783296198309,90.94602780718311
62,76.68228149414062,366.9800109863281,4.785721079704305,90.01036291036321
63,75.3395767211914,365.4700012207031,4.8509696646318465,83.41275297810104
64,76.61592864990234,370.2799987792969,4.832937553642363,86.30971844453889
65,75.87041473388672,368.1000061035156,4.851693606718979,83.9880936148867
66,75.7494125366211,365.8800048828125,4.83013653348041,85.47745037985915
67,75.4722900390625,364.6300048828125,4.831309672650578,85.05410873007959
68,75.20687103271484,363.1400146484375,4.828548371470903,84.94142620465551
69,75.16783905029297,364.1000061035156,4.843826970466787,83.74574893397097
70,73.10694885253906,351.92999267578125,4.813906177176733,83.47154208401066
71,73.73926544189453,353.4100036621094,4.792697642758474,85.80963209683127
72,72.45901489257812,350.0899963378906,4.83155887306646,81.39913545548389
73,73.0991439819336,351.1600036621094,4.803886674088801,84.19440314823659
74,73.77049255371094,355.9599914550781,4.82523539063956,83.44820217002304
75,74.61358642578125,360.3999938964844,4.830219416606884,84.09903177306633
76,75.58938598632812,363.9800109863281,4.815226453250477,86.41116007338327
77,70.26151275634766,353.7200012207031,5.034335119531666,64.50000994035419
78,70.51522064208984,356.239990234375,5.051958811027798,63.511978728124085
79,70.94457244873047,359.3699951171875,5.0655037124495115,62.97451781698228
80,70.53083801269531,364.0450134277344,5.161501318929565,55.80125750203333
81,71.31147766113281,366.25,5.135919378089381,58.30998724189626
