,t,cmcsa,Ratio,Spread
0,20.1812686920166,51.46500015258789,2.5501370076375154,-10.301309542720276
1,20.298337936401367,51.869998931884766,2.5553815831820095,-10.455073524509139
2,20.377643585205078,51.70500183105469,2.5373395905596476,-10.119883656798656
3,20.411630630493164,51.429901123046875,2.5196370664387375,-9.77184553054986
4,20.441843032836914,51.46500015258789,2.5176301407811756,-9.742107660997931
5,20.441843032836914,51.60499954223633,2.52447880845872,-9.882107050646368
6,20.536252975463867,51.68000030517578,2.5165253060975425,-9.75450069039752
7,20.385196685791016,50.41590118408203,2.4731623619419456,-8.814573785052765
8,20.569561004638672,50.564998626708984,2.4582439370147955,-8.568018786623902
9,20.460725784301758,50.44499969482422,2.4654550491814677,-8.681584141301165
10,20.504606246948242,50.44219970703125,2.4600423485107745,-8.584615106757418
11,20.630664825439453,50.43000030517578,2.44441954400767,-8.301889473970647
12,20.672204971313477,50.345001220703125,2.435395802748965,-8.127743746483766
13,20.634441375732422,50.189998626708984,2.432341041504327,-8.053783183117233
14,20.385196685791016,49.81999969482422,2.4439302922963693,-8.218672295794953
15,20.61178207397461,50.2599983215332,2.438411105898204,-8.172410552261162
16,20.653324127197266,50.47359848022461,2.44384865939128,-8.296859974699764
17,20.623111724853516,50.529998779296875,2.450163653935972,-8.418097172864975
18,20.599472045898438,50.439998626708984,2.4486063775965605,-8.378828619226454
19,20.645771026611328,50.525001525878906,2.447232484597199,-8.364472245127295
20,20.626888275146484,50.33000183105469,2.4400191225982324,-8.20999561223617
21,20.581571578979492,51.1349983215332,2.4845040683753585,-9.112243358115528
22,20.632326126098633,51.3125,2.486995391910407,-9.180823957992466
23,20.649547576904297,51.244998931884766,2.4816523820212057,-9.076365038746538
24,20.626888275146484,51.2599983215332,2.485105733727991,-9.139992102714686
25,20.600452423095703,51.19499969482422,2.485139580596209,-9.13172576271203
26,20.495315551757812,50.630001068115234,2.47032064181968,-8.792354632960205
27,20.40030288696289,50.22999954223633,2.462218321980726,-8.596253693660593
28,20.2379150390625,50.38999938964844,2.489880963151958,-9.104743687220129
29,20.347431182861328,50.45000076293945,2.4794284993298596,-8.929719487776367
30,20.336103439331055,50.290000915527344,2.472941833009363,-8.794029384285537
31,20.173715591430664,49.85499954223633,2.4712849408570823,-8.707518157141948
32,20.120845794677734,49.95000076293945,2.48250005355898,-8.91597985801915
33,20.0,49.78499984741211,2.4892499923706053,-9.010318352386435
34,20.10573959350586,49.709999084472656,2.4724282761788556,-8.708396629098829
35,19.848941802978516,50.68000030517578,2.553284744760085,-10.229495119137674
36,19.792295455932617,50.48500061035156,2.55074004542606,-10.156060516874149
37,19.560422897338867,49.255001068115234,2.5180948963437912,-9.423667802221864
38,19.581268310546875,49.04999923706055,2.504944953470721,-9.173930966736194
39,19.592145919799805,49.20000076293945,2.5112104087188314,-9.300588752998493
40,19.724319458007812,49.564998626708984,2.512887642700709,-9.381937462952123
41,19.901813507080078,50.06999969482422,2.515851114623891,-9.506029935373455
42,19.611026763916016,49.23500061035156,2.510577401329297,-9.295069631716089
43,19.743202209472656,49.2400016784668,2.4940230645483523,-9.016417452776842
