,bac,gs,Ratio,Spread
0,44.73500061035156,387.43499755859375,8.660668207724184,8.450821849547943
1,44.68000030517578,387.25,8.667188839637062,8.137960929158233
2,44.665000915527344,386.6300964355469,8.656220497269457,8.622091186678126
3,44.595001220703125,387.05999755859375,8.679448076321659,7.55855827771456
4,44.625,387.7749938964844,8.689635717568278,7.115108553690341
5,44.52000045776367,386.54998779296875,8.682614191787588,7.389666978330872
6,44.647701263427734,388.0400085449219,8.691153129148377,7.055583973808162
7,44.959999084472656,390.1000061035156,8.676601735924862,7.822481969309429
8,44.79499816894531,387.75,8.656100364991476,8.67891263587456
9,44.630001068115234,386.9049987792969,8.669168485763521,8.030372949969781
10,44.73059844970703,387.489990234375,8.662749966782815,8.355981158456196
11,44.79499816894531,388.20001220703125,8.666146401947076,8.22890042884331
12,44.77000045776367,388.6099853515625,8.680142536924471,7.592649949537595
13,44.718299865722656,387.7799987792969,8.671617658625186,7.954646789131296
14,44.86000061035156,386.5899963378906,8.61769931070139,10.427313335151332
15,44.72999954223633,386.7900085449219,8.647216912660488,9.050541584127934
16,44.64500045776367,386.44000244140625,8.655840485588016,8.631142594793637
17,44.709999084472656,386.8500061035156,8.652427063857061,8.809501439509013
18,44.63999938964844,386.5299987792969,8.658826255919019,8.495876977811072
19,44.75450134277344,387.239990234375,8.652537255828527,8.822348284916934
20,44.63999938964844,386.44000244140625,8.656810208895696,8.585873315701697
21,44.730899810791016,387.2900085449219,8.658220831307554,8.558690744971337
22,44.69990158081055,386.41668701171875,8.644687646865101,9.15141871455814
23,44.56999969482422,386.30999755859375,8.66748934717751,8.08224641259745
24,44.61000061035156,386.44000244140625,8.66263163313507,8.314326701835235
25,44.665000915527344,386.7749938964844,8.65946459125731,8.477193725740626
26,44.56999969482422,385.7799987792969,8.655597967708678,8.612245191894324
27,44.529998779296875,385.6400146484375,8.660229625421218,8.390144150703414
28,44.39339828491211,382.20001220703125,8.609388489570279,10.59364955549433
29,44.42499923706055,382.79998779296875,8.61676971000658,10.279723327297127
30,44.38999938964844,381.260009765625,8.588871705516024,11.502885461682531
31,44.494998931884766,382.8599853515625,8.604562187711574,10.853357554620068
32,44.56999969482422,383.489990234375,8.604217923719405,10.9022537368162
33,44.59000015258789,383.5899963378906,8.602601368585733,10.983290219325745
34,44.47999954223633,382.4800109863281,8.598921198799502,11.097558612921212
35,46.31999969482422,395.6300048828125,8.54123504942553,14.603102796981723
36,46.270599365234375,394.7449951171875,8.53122718383849,15.040944626496533
37,46.32979965209961,396.8800048828125,8.56640883109941,13.441811247010044
38,46.375,398.5,8.59299191374663,12.23096615877774
39,46.16999816894531,396.2200012207031,8.581763416382527,12.655304329073836
40,46.22999954223633,395.8299865722656,8.562188849053095,13.588446735586736
41,46.18000030517578,395.29998779296875,8.559982355579676,13.665856314992034
42,47.915000915527344,407.989990234375,8.514869715929853,16.680944275255577
43,48.11000061035156,404.8599853515625,8.415297863547543,21.576071208884976
44,48.29999923706055,408.54010009765625,8.458387299190344,19.61580923451624
45,48.168701171875,406.9100036621094,8.447601736450768,20.057405809601683
46,48.18920135498047,407.1199951171875,8.448365685045964,20.03298041542366
47,48.1349983215332,408.010009765625,8.476369045246265,18.652324129596998
48,47.9900016784668,407.4700012207031,8.490726963311102,17.879834353936083
49,48.217899322509766,409.6600036621094,8.496015160719912,17.752743637556314
50,48.125,406.4100036621094,8.444883192978896,20.161826205271332
51,48.220001220703125,409.7099914550781,8.496681482437836,17.721782063336384
52,47.810001373291016,407.1083984375,8.51513044852014,16.612088393255483
53,47.71009826660156,403.8800048828125,8.465293922178738,18.936166806723755
54,47.34000015258789,399.3999938964844,8.43683972558354,20.066078488536682
55,47.18000030517578,398.70001220703125,8.450614871303694,19.317754020131254
56,47.36000061035156,389.37469482421875,8.22159395705566,30.27242014682748
57,47.59000015258789,391.8699951171875,8.23429278967712,29.859057797633973
58,47.80500030517578,395.2900085449219,8.268800460652322,28.38520900674167
59,48.04499816894531,395.4200134277344,8.230201446512297,30.42764609554576
60,47.95000076293945,397.072998046875,8.2809800152031,27.914752355713922
61,48.01499938964844,397.5400085449219,8.279496274046139,28.036104364491855
62,48.130001068115234,396.95001220703125,8.247454880486163,29.667086939441397
63,48.94499969482422,398.1099853515625,8.133823431071782,35.8844178911362
64,48.90999984741211,397.739990234375,8.1320791550855,35.93759711536536
65,49.14500045776367,399.875,8.136636408085124,35.92979457260754
66,49.169898986816406,399.32000732421875,8.121228954147043,36.71016679425686
67,49.185001373291016,398.5299987792969,8.102673328290503,37.63688096536095
68,49.119998931884766,397.06500244140625,8.083571072385825,38.51348026608424
69,49.16999816894531,397.510009765625,8.084401557222012,38.521062141757064
70,48.650001525878906,396.5,8.150051131839854,34.82410279209865
71,48.70500183105469,398.3999938964844,8.17985789793075,33.421967374597735
72,48.650001525878906,396.0899963378906,8.141623513150238,35.234106454208025
73,48.58980178833008,396.5,8.160148537490604,34.27917945621028
74,48.769798278808594,398.29998779296875,8.166939414347295,34.108505876782665
75,48.67499923706055,397.1600036621094,8.15942495916295,34.3903764647638
76,48.91999816894531,399.1199951171875,8.158626534261629,34.64809626039415
77,48.915000915527344,398.56500244140625,8.148113972842381,35.15785418742605
78,48.974998474121094,399.05999755859375,8.148239101415415,35.205952297971415
79,48.845001220703125,397.86138916015625,8.145386000963416,35.2278356827593
80,48.939998626708984,399.5299987792969,8.163670003890305,34.41913518430989
81,49.060001373291016,401.8599853515625,8.191193927897869,33.17540412819512
82,49.150001525878906,402.81500244140625,8.195625431045254,33.03506141029323
