,pep,cost,Ratio,Spread
0,162.16000366210938,500.5199890136719,3.086581016960253,-24.65184948209269
1,163.7899932861328,505.5899963378906,3.0868185912594215,-24.908875221463166
2,166.32000732421875,508.3999938964844,3.056757885450463,-20.248327694832415
3,167.4600067138672,515.9500122070312,3.0810342262114934,-24.43219201994923
4,167.8300018310547,517.614990234375,3.0841624535965257,-25.004660218235575
5,167.75,515.5999755859375,3.0736213149683307,-23.225872435261113
6,168.3000030517578,515.9099731445312,3.0654186796768617,-21.911838453588633
7,167.97000122070312,515.2899780273438,3.067750040379423,-22.266262260560882
8,168.38999938964844,517.6099853515625,3.0738760450603215,-23.346112332849362
9,162.50999450683594,511.9200134277344,3.150083260917227,-35.01843204738048
10,163.7100067138672,518.0399780273438,3.1643757667958288,-37.59503872071172
11,162.66000366210938,516.6900024414062,3.1765030788682194,-39.34547879243376
12,162.19000244140625,514.3400268554688,3.171219058593222,-38.383307881299395
13,161.7097930908203,512.0573120117188,3.1665201112720145,-37.5185399540071
14,162.33999633789062,515.239990234375,3.173832708249954,-38.84037404725472
15,163.75,519.469970703125,3.1723356989503815,-38.90694049159526
16,162.44000244140625,526.5499877929688,3.24150443166178,-49.85507676010274
17,163.25,528.280029296875,3.2360185561830015,-49.19338320273862
18,162.1999969482422,524.0599975585938,3.230949490867257,-48.073767122116855
19,161.52999877929688,523.5150146484375,3.240977023492282,-49.50713352258759
20,162.1999969482422,524.4299926757812,3.2332305952084957,-48.443762239304355
21,162.22000122070312,522.4500122070312,3.220626360964139,-46.40471379027172
22,162.27000427246094,523.0800170898438,3.2235163820638193,-46.887071250211356
23,164.38499450683594,527.8599853515625,3.2111202542249773,-45.42196353098358
24,164.77000427246094,530.3300170898438,3.2186077765276915,-46.7551506632447
25,165.47000122070312,530.7999877929688,3.207832138013888,-45.15819261315254
26,165.58999633789062,528.3099975585938,3.190470494851414,-42.31388460841679
27,165.05999755859375,527.25,3.1942930316161817,-42.81885060980658
28,165.02999877929688,528.135009765625,3.2002364035155035,-43.792439818021755
29,164.47000122070312,527.8800048828125,3.2095823005099127,-45.19097793778297
30,164.67999267578125,534.4400024414062,3.2453244244041306,-51.13091939824539
31,163.8300018310547,532.5,3.250320417801902,-51.70074292300722
32,163.75,530.3699951171875,3.2389007335400763,-49.80696490565776
33,164.0749969482422,533.72998046875,3.252963525192789,-52.20730959204814
34,164.21499633789062,535.5900268554688,3.261517150074605,-53.65397022812345
35,163.6300048828125,533.1475219726562,3.258250357900328,-52.93880953148726
36,163.33999633789062,533.3400268554688,3.265213902369531,-53.987642433561795
37,161.97000122070312,514.919921875,3.1791067357798015,-39.612815516937125
38,163.0800018310547,519.5800170898438,3.1860437285750765,-40.99533618894099
39,165.24000549316406,525.3101196289062,3.179073482000327,-40.34744852750401
40,165.96499633789062,528.1599731445312,3.182357634433001,-41.05657210630931
41,166.35000610351562,527.5999755859375,3.1716258264374493,-39.35972994169537
42,165.4600067138672,525.2449951171875,3.1744528816894264,-39.632711399678776
43,165.75,525.5,3.170437405731523,-39.03143331889691
44,164.1999969482422,535.4000244140625,3.2606579437564,-53.50825750801231
45,162.89999389648438,544.135009765625,3.3403009831381474,-66.081850575931
46,162.74000549316406,532.4000244140625,3.271476013538823,-54.81927389962697
47,162.8800048828125,528.4099731445312,3.2441672231328034,-50.41583687945228
48,162.63999938964844,529.4099731445312,3.2551031427157437,-52.124517475841394
49,162.67999267578125,529.5,3.254856305872139,-52.09645342641249
50,162.4499969482422,528.3499755859375,3.2523852601503824,-51.62555309076395
51,160.24000549316406,535.25,3.340301932421202,-65.05117007253112
52,158.5,530.1199951171875,3.3446056474270507,-65.05899813828778
53,160.69000244140625,532.4340209960938,3.3134234420728177,-60.90645437410438
54,160.38999938964844,531.9849853515625,3.3168214188913874,-61.34325821114265
55,159.30999755859375,528.0399780273438,3.314543883745477,-60.58724598717361
56,158.52999877929688,524.5,3.3085220717764665,-59.35042357851005
57,157.89999389648438,523.3699951171875,3.3145662783261214,-60.08067710142682
58,157.44000244140625,516.530029296875,3.280805521386534,-54.598959437942305
59,157.4499969482422,524.4450073242188,3.3308670529642317,-62.484426002978516
60,158.22999572753906,526.2100219726562,3.3256022004750156,-61.94628503273582
61,157.91000366210938,527.739990234375,3.3420301310588,-64.42111570063916
62,157.39999389648438,525.90087890625,3.341174709651601,-64.08794500788262
63,158.11160278320312,530.2000122070312,3.3533276677615,-66.28586219236887
64,157.3699951171875,527.6500244140625,3.3529264839917,-65.92566995828535
65,154.58999633789062,521.25,3.371822319347837,-67.73433763247634
66,153.8000030517578,519.6373291015625,3.378656168990391,-68.45433381502657
67,154.25,529.1699829101562,3.430599565057739,-76.65825092909982
68,154.4199981689453,527.9000244140625,3.4185988257589943,-74.88632723977246
69,155.0399932861328,531.02001953125,3.4250518738815363,-76.1756204692059
70,154.25900268554688,531.7423095703125,3.447074727004789,-79.20399474534547
71,154.5,532.6300048828125,3.4474433972997574,-79.38008084305942
72,156.2100067138672,535.2000122070312,3.4261570271062545,-76.90083466129919
73,155.7100067138672,534.4650268554688,3.432438531953839,-77.64223342713005
74,154.58999633789062,531.5399780273438,3.438385345876751,-78.02431565982009
75,155.19000244140625,532.6599731445312,3.4323085557373005,-77.37263181386855
76,154.9250030517578,533.0,3.4403743069279384,-78.49514044932907
77,154.42999267578125,528.9299926757812,3.425047061850516,-75.88678403918367
78,153.72999572753906,527.4299926757812,3.430885366123105,-76.45371279240082
79,156.7100067138672,528.635009765625,3.3733328257132054,-68.85944810249963
