,aapl,avgo,Ratio,Spread
0,177.381103515625,632.8099975585938,3.5675164096769265,12.423920231364832
1,177.8300018310547,632.8699951171875,3.5588482741986263,13.99681599124392
2,177.1649932861328,632.3599853515625,3.569328080126194,12.087819107911287
3,177.09500122070312,632.1199951171875,3.5693836119598505,12.073209197759525
4,177.85000610351562,635.9453125,3.5757396158302917,10.994265294604247
5,178.77999877929688,640.47998046875,3.5825035509672407,9.84249891918796
6,178.99000549316406,641.9600219726562,3.5865690947597284,9.126368858299543
7,178.90499877929688,638.8099975585938,3.5706660066365776,11.967176484666652
8,177.64999389648438,636.1500244140625,3.5809177949352673,10.061997528251027
9,177.76119995117188,636.5999755859375,3.5812088113761678,10.016564746023164
10,178.1999969482422,636.6599731445312,3.5727271832077965,11.552716382144581
11,178.00999450683594,636.5700073242188,3.5760352057073583,10.951537445611962
12,177.1925048828125,628.8200073242188,3.5487957447189613,15.727872143012178
13,177.7899932861328,631.4299926757812,3.551549673887249,15.29128506030463
14,176.2259063720703,636.3300170898438,3.610876687712099,4.7018049639706305
15,176.47000122070312,637.5650024414062,3.612880365111078,4.35472859692868
16,176.74000549316406,636.2000122070312,3.599637843349723,6.7018748281212766
17,176.61000061035156,635.7750244140625,3.599881219732005,6.6539624180447845
18,176.4250030517578,634.0499877929688,3.5938782872343635,7.706059830016329
19,176.46499633789062,635.1599731445312,3.5993539020528655,6.74155234608088
20,174.67999267578125,629.530029296875,3.603904600942642,5.8784431946006634
21,173.25,628.969970703125,3.630418301316739,1.2368215737272976
22,172.9250030517578,624.2899780273438,3.610177631978927,4.734619246614102
23,172.85000610351562,622.5,3.6013883599587495,6.251791581708062
24,172.3350067138672,618.9400024414062,3.591493186692187,7.938449380562247
25,173.35499572753906,624.2000122070312,3.6007039173424364,6.3887080389706625
26,173.03500366210938,622.1900024414062,3.5957464632784664,7.234728349424017
27,174.25999450683594,627.0999755859375,3.5986456751629095,6.780729524221101
28,177.36000061035156,631.030029296875,3.557904979281135,14.127125467166707
29,177.64500427246094,631.9299926757812,3.557262954079846,14.263879223528079
30,177.66000366210938,631.7750244140625,3.556090348932065,14.473408623696741
31,177.22959899902344,630.72998046875,3.5588298118996784,13.952830969561091
32,177.49000549316406,630.760009765625,3.55377762264996,14.870045201461949
33,178.2899932861328,634.1799926757812,3.5570139466997617,14.36006368159417
34,178.46499633789062,634.6400146484375,3.556103592700405,14.536625327333013
35,176.90989685058594,619.2999877929688,3.500652020141165,24.219888779825396
36,176.49000549316406,614.4400024414062,3.4814436133337034,27.552495283101507
37,175.26499938964844,614.3699951171875,3.505377555454313,23.166472783273207
38,175.64199829101562,618.52001953125,3.5214813401658294,20.387803453323386
39,175.3800048828125,618.2999877929688,3.525487345071702,19.654819172087286
40,174.86000061035156,615.0800170898438,3.517556988121339,20.98324456774992
41,175.0399932861328,614.2999877929688,3.509483611489806,22.418007526024212
42,171.1300048828125,601.1649780273438,3.512913930196013,21.330210656750523
43,170.8350067138672,602.8200073242188,3.5286679171903357,18.602108633880903
44,170.97500610351562,602.0599975585938,3.5213333883087024,19.871374193278257
45,171.7100067138672,603.0900268554688,3.512259060477712,21.514951689887766
46,171.3800048828125,602.0499877929688,3.512953498890626,21.354590201770407
47,171.6699981689453,603.5499877929688,3.5157569419846912,20.909457380042113
48,171.60000610351562,601.5800170898438,3.5057109306100367,22.62482793864035
49,172.0800018310547,601.0399780273438,3.49279388442496,24.910878936257063
50,170.86000061035156,596.75,3.492625528902438,24.763032687276677
51,170.89999389648438,595.6790161132812,3.485541470961604,25.979494441622364
52,171.19000244140625,598.3400268554688,3.4951809002997387,24.373406382425287
53,171.67999267578125,600.3200073242188,3.496738309267795,24.175793439519225
54,172.65220642089844,605.3900146484375,3.506413426148714,22.642269265186542
55,172.1699981689453,602.75,3.5009003102186207,23.528223794300516
56,170.27999877929688,590.744384765625,3.4692529304707125,28.658858060389548
57,170.89999389648438,591.3400268554688,3.4601524164690645,30.318483699434864
58,171.65499877929688,592.5399780273438,3.451923813702589,31.8649060072172
59,170.82000732421875,590.4600219726562,3.456620984987753,30.90753284699349
60,169.95010375976562,588.0050048828125,3.459868466535283,30.198225925615247
61,170.74000549316406,588.5900268554688,3.4472883209496805,32.4865167242084
62,170.13999938964844,586.9000244140625,3.4495123223197233,31.993962618179694
63,166.47999572753906,584.0399780273438,3.5081691074955503,21.540536175925922
64,166.44000244140625,583.0900268554688,3.5033046040764177,22.345009480173985
65,166.55999755859375,585.4400024414062,3.5148895954771833,20.431523001836013
66,166.91000366210938,585.7100219726562,3.5091367151267976,21.4346707073762
67,166.6649932861328,583.010009765625,3.4980951804600333,23.243443646766877
68,166.1300048828125,583.8699951171875,3.51453667583437,20.437407354010702
69,165.77999877929688,581.010009765625,3.504705115477316,22.0242254687829
70,169.5749969482422,591.8800048828125,3.4903730829107227,24.958753426617363
71,169.0800018310547,592.5499877929688,3.5045539471016016,22.488197442894375
72,167.86000061035156,589.2899780273438,3.510603931160736,21.31038293219524
73,168.11000061035156,590.3300170898438,3.5115698943938587,21.17973318034001
74,166.93080139160156,584.6199951171875,3.5021697029161944,22.600350494388522
75,167.11000061035156,583.0499877929688,3.4890191231131618,24.822205234635817
76,167.63999938964844,585.1300048828125,3.4903961286875522,24.670089042981544
77,168.69000244140625,593.8200073242188,3.5201849471220417,19.79953280722725
78,169.69000244140625,595.469970703125,3.5091635460889337,21.787126670900193
79,170.44009399414062,594.0,3.4850954730195145,25.985598334271685
80,170.55999755859375,593.010009765625,3.476841101395442,27.411744647934142
