,ko,cost,Ratio,Spread
0,62.11000061035156,566.5599975585938,9.121880405587502,-59.62341833814594
1,62.060001373291016,569.6436767578125,9.17891821064271,-63.11518708735707
2,61.845001220703125,566.3870239257812,9.158169823694312,-61.613347342006364
3,61.82500076293945,565.906005859375,9.153352185619434,-61.295571322644435
4,61.83000183105469,568.3099975585938,9.191492491160737,-63.658744726292866
5,62.0,569.1699829101562,9.180161014679939,-63.13121938083384
6,62.15999984741211,569.97998046875,9.169562127862196,-62.635311698309806
7,61.580101013183594,574.8300170898438,9.334671551882957,-72.21843362658245
8,61.994998931884766,575.5499877929688,9.283813173790644,-69.55204255921666
9,61.76499938964844,576.4949951171875,9.333684138492936,-72.37428672158995
10,61.70500183105469,575.6099853515625,9.328416956012008,-71.97897196186108
11,62.02000045776367,576.0800170898438,9.288616782293655,-69.87801151347702
12,61.91999816894531,575.4299926757812,9.293120311563191,-70.04419733463618
13,62.209999084472656,576.47998046875,9.26667720547575,-68.72722214831737
14,62.30500030517578,580.1500244140625,9.311452075634906,-71.62187415397852
15,62.33000183105469,585.3400268554688,9.390983630034722,-76.60781625277014
16,62.380001068115234,583.1699829101562,9.348669011296897,-74.0296827574652
17,62.494998931884766,585.1799926757812,9.363629133166112,-75.10108967163137
18,62.60499954223633,584.6199951171875,9.33823176091192,-73.64327642191222
19,62.31999969482422,581.27001953125,9.327182644057771,-72.61944551969196
20,62.0,575.5999755859375,9.283870573966734,-69.56121205661509
21,62.26499938964844,579.4299926757812,9.305870045059562,-71.22832650978592
22,62.31999969482422,578.0621948242188,9.275709204989418,-69.41162081266071
23,62.189998626708984,575.3099975585938,9.250844352189985,-67.7204812852055
24,62.27000045776367,573.989990234375,9.217761137222078,-65.7475057728094
25,62.560001373291016,576.2299194335938,9.21083610588931,-65.62047199274059
26,62.63999938964844,573.6599731445312,9.158045637518498,-62.39758865073759
27,62.86000061035156,575.5700073242188,9.156379283099083,-62.511991448174285
28,62.334999084472656,575.8101196289062,9.237348649810725,-67.03712186587421
29,62.34000015258789,579.6649780273438,9.298443641458356,-70.8511619687414
30,62.439998626708984,578.2249755859375,9.260489883140375,-68.59498042735032
31,62.46500015258789,574.125,9.191147019891815,-64.29094449879818
32,62.52000045776367,573.239990234375,9.168905726762365,-62.95702688761048
33,62.44499969482422,572.8150024414062,9.173112422785138,-63.14418898724881
34,62.529998779296875,575.1900024414062,9.198624878781327,-64.82543363873805
35,62.900001525878906,580.8200073242188,9.234022149987586,-67.43550735408564
36,62.97999954223633,580.72998046875,9.220863523177618,-66.69254344567639
37,62.939998626708984,579.6080932617188,9.208899045252894,-65.89714033273378
38,62.939998626708984,579.6635131835938,9.20977956516208,-65.95256025460878
39,62.75,578.5999755859375,9.22071674240538,-66.43977540101844
40,62.720001220703125,576.5399780273438,9.192282634028947,-64.62462534537275
41,62.47999954223633,575.3300170898438,9.208226973512092,-65.37353783716793
42,62.7599983215332,576.8049926757812,9.190647037953747,-64.56318703495845
43,62.9900016784668,579.4249877929688,9.198681891622268,-65.3059141787545
44,63.08000183105469,579.9000244140625,9.193088262222815,-65.04637715576723
45,63.189998626708984,583.6699829101562,9.236746250908322,-67.91855109597248
46,62.900001525878906,582.844970703125,9.266215525659812,-69.4604707329919
47,62.814998626708984,584.2000122070312,9.300326752831113,-71.5092987206458
48,63.099998474121094,584.780029296875,9.267512574294406,-69.76317112677225
49,62.83000183105469,599.9199829101562,9.548304399597146,-87.1068145370599
50,63.119998931884766,597.1500244140625,9.460551877677789,-81.96992419691549
51,63.31999969482422,601.1400146484375,9.493683157701827,-84.32752509608395
52,63.36000061035156,607.02001953125,9.580492640211196,-89.8810458848078
53,63.45500183105469,607.5880737304688,9.575101350530842,-89.67370814437515
54,63.470001220703125,607.5499877929688,9.5722384765733,-89.51319845540115
55,63.459999084472656,607.739990234375,9.576741238609257,-89.78483748794804
56,63.224998474121094,598.3699951171875,9.464136173322471,-82.33289750448535
57,63.755001068115234,601.4650268554688,9.434005439241846,-81.10209283418385
58,63.78499984741211,604.3300170898438,9.474484887285968,-83.72223556561084
59,63.869998931884766,602.7449951171875,9.437059733788239,-81.44345824444383
60,63.91999816894531,601.8599243164062,9.41583137605301,-80.1502978936702
61,63.940101623535156,601.8699951171875,9.413028441225537,-79.9962859960109
62,63.84000015258789,600.1099853515625,9.4002190463221,-79.05329598176684
63,63.869998931884766,586.3223266601562,9.179933246678923,-65.02078978741258
64,64.0999984741211,589.7899780273438,9.201091919923492,-66.61120431644554
65,64.04499816894531,589.7050170898438,9.207667014592639,-66.97515122450818
66,63.880001068115234,587.8900146484375,9.203037019701526,-66.5068411845532
67,64.03500366210938,589.0700073242188,9.199187532377417,-66.42171577955003
68,63.849998474121094,584.47998046875,9.153954493916618,-63.341685643050596
69,63.849998474121094,584.6699829101562,9.156930256578276,-63.531688084456846
70,64.18499755859375,586.6300048828125,9.139674802468983,-62.757475823403524
71,64.62000274658203,589.7952880859375,9.127131894421558,-62.37228342236028
72,64.63500213623047,586.559814453125,9.074956216708085,-59.01438603807378
73,64.63719940185547,585.6900024414062,9.061190891024179,-58.12664012990308
74,64.71499633789062,583.8400268554688,9.02171150264951,-55.641692522713925
75,64.41500091552734,579.2708129882812,8.9927936777945,-53.521015955480834
76,64.55000305175781,581.1799926757812,9.003562590226007,-54.32831960924079
77,64.45999908447266,585.510009765625,9.083307758014918,-59.39294147840246
78,64.58000183105469,588.8699951171875,9.11845739270352,-61.773474547698925
79,64.69000244140625,588.530029296875,9.097696816906804,-60.53569303626102
