,adi,txn,Ratio,Spread
0,168.35000610351562,187.82000732421875,1.1156519187099485,-11.339226871009771
1,168.3000030517578,188.67999267578125,1.1210932219517304,-12.251630264029501
2,168.40499877929688,188.69000244140625,1.1204536908592237,-12.15157333961261
3,167.9600067138672,188.07000732421875,1.1197308871546456,-11.998062001191528
4,169.0500030517578,189.44500732421875,1.1206448027464195,-12.230422277829746
5,170.67999267578125,191.16000366210938,1.119990695249392,-12.23670563354554
6,170.24000549316406,191.1300048828125,1.1227091089966352,-12.667944030147225
7,169.14999389648438,189.8699951171875,1.1224948387132858,-12.550589983624462
8,167.8000030517578,188.82000732421875,1.125268199583866,-12.915793335558533
9,167.83999633789062,188.67059326171875,1.1241098509195184,-12.724454437337016
10,168.2581024169922,188.91929626464844,1.1227946443640011,-12.534858156174579
11,167.33999633789062,188.1699981689453,1.1244771261318485,-12.748007767655082
12,166.08999633789062,187.02999877929688,1.1260762412132652,-12.918379435735432
13,166.5,187.5,1.1261261261261262,-12.9585751105258
14,166.8699951171875,185.82000732421875,1.1135615315007545,-10.890717720293765
15,167.30999755859375,186.08999633789062,1.1122467219732037,-10.699453562326653
16,166.5222930908203,186.18499755859375,1.1180785113080896,-11.620202892320947
17,166.66000366210938,186.09750366210938,1.1166296626238414,-11.388347438268198
18,166.64999389648438,185.8699951171875,1.1153315447022563,-11.171332099082036
19,166.91000366210938,185.3000030517578,1.1101791323836823,-10.328772616370856
20,165.16000366210938,183.27000427246094,1.109651248539578,-10.1332933178943
21,164.67999267578125,182.0500030517578,1.1054773569863723,-9.416486100292133
22,164.1699981689453,180.94000244140625,1.1021502373119547,-8.84111112302736
23,163.8000030517578,180.3800048828125,1.1012210105137525,-8.668978278884396
24,163.4499969482422,180.1699981689453,1.1022942889744909,-8.825881859477448
25,164.5399932861328,181.26499938964844,1.1016470571651906,-8.778243356818763
26,164.16000366210938,180.8300018310547,1.1015472575357466,-8.741587722671056
27,165.42959594726562,182.08999633789062,1.1007099140587628,-8.670672641039403
28,163.1699981689453,182.27000427246094,1.1170558700609874,-11.219409800265083
29,162.5050048828125,182.2100067138672,1.1212578150763084,-11.856522606257244
30,162.0050048828125,181.97000122070312,1.1232369108123077,-12.140665536184684
31,162.0050048828125,180.82000732421875,1.1161384023599532,-10.99067163970031
32,162.92999267578125,181.2100067138672,1.1121955125503615,-10.411009243221827
33,164.47500610351562,181.8350067138672,1.1055479554104755,-9.416376539617431
34,164.52000427246094,182.74000549316406,1.1107464183536553,-10.274203880324933
35,156.7899932861328,177.36000061035156,1.1311946438232168,-12.997545135440362
36,156.99000549316406,176.75,1.1258678502797834,-12.177872359259851
37,158.44000244140625,177.0500030517578,1.117457714741161,-10.957848183200355
38,160.8300018310547,178.50999450683594,1.109929692684785,-9.912410815730652
39,161.32000732421875,177.91000366210938,1.1028390502397405,-8.798748757907845
40,160.30999755859375,177.5500030517578,1.1075416739798951,-9.49753819947503
41,159.97999572753906,177.2100067138672,1.10770103416975,-9.503481740313674
42,162.86000061035156,177.77000427246094,1.0915510475637422,-7.044379263263352
43,162.6699981689453,177.7675018310547,1.0928106217006868,-7.241055781950337
44,162.1699981689453,177.02000427246094,1.0915706127593663,-7.017706646448119
45,162.41000366210938,178.3800048828125,1.0983313888344488,-8.126110255249188
46,162.24000549316406,177.1300048828125,1.0917776065427698,-7.054318799611451
47,161.3000030517578,177.33999633789062,1.0994419899730932,-8.249711849420095
48,160.17999267578125,177.1999969482422,1.1062554941359684,-9.283815804600152
49,162.38999938964844,177.52999877929688,1.0932323384848386,-7.297074567464534
50,161.05999755859375,176.22999572753906,1.0941884912386544,-7.391308240619026
51,159.48500061035156,175.4774932861328,1.1002758417066039,-8.289870132802946
52,160.47000122070312,177.16000366210938,1.1040069939206367,-8.939807475459588
53,160.83999633789062,177.2449951171875,1.1019957669287275,-8.636934216086956
54,162.3000030517578,178.52999877929688,1.099999971795215,-8.39141744464331
55,161.24000549316406,177.63999938964844,1.1017116927422808,-8.612610152630396
56,159.6199951171875,175.25,1.0979200937284674,-7.920862530901985
57,159.68499755859375,176.17999267578125,1.1032970871990335,-8.782713352362862
58,160.30999755859375,177.1300048828125,1.1049217614645088,-9.077540030529718
59,159.47999572753906,176.02999877929688,1.1037747899117856,-8.847622228834865
60,158.85000610351562,174.24000549316406,1.0968838451263228,-7.718045078693848
61,159.11500549316406,174.61000061035156,1.0973823623307055,-7.810242171472453
62,158.82000732421875,174.1199951171875,1.0963353928182047,-7.629482328443544
63,157.0749969482422,173.10000610351562,1.102021387659513,-8.438782188464558
64,156.25999450683594,172.19000244140625,1.101945529851362,-8.383143015312811
65,155.91000366210938,172.44000244140625,1.1060226950871026,-9.000037314032625
66,156.5,172.75999450683594,1.103897728478185,-8.701538079192034
67,155.75999450683594,172.57000732421875,1.1079225308822482,-9.287296321216843
68,155.3699951171875,172.5,1.1102529794758134,-9.62612412717985
69,154.88999938964844,171.94000244140625,1.1100781400926087,-9.569304575946632
70,157.86000061035156,174.3699951171875,1.1045863071265776,-8.885854338905062
71,158.32000732421875,174.75,1.1037771091188415,-8.783635634347547
72,157.92999267578125,174.11000061035156,1.102450507724563,-8.552487370621321
73,158.17999267578125,174.4199981689453,1.1026678862379955,-8.60041071766932
74,155.8000030517578,172.8800048828125,1.1096277374614723,-9.555353048348621
75,155.14999389648438,172.72000122070312,1.1132452981979581,-10.076751933702468
76,155.5,173.02999877929688,1.1127331111208802,-10.019839197835978
77,157.1699981689453,174.41000366210938,1.1096901806579678,-9.649190267011676
