,ctva,nue,Ratio,Spread
0,49.77000045776367,119.97000122070312,2.410488248287506,-7.919018803703039
1,50.04999923706055,120.94000244140625,2.416383701997217,-8.245711884129506
2,50.56999969482422,125.51000213623047,2.4819063257593075,-11.62099020099987
3,50.959999084472656,127.55000305175781,2.502943589938601,-12.76495227416585
4,51.34000015258789,128.92340087890625,2.511168689048156,-13.26528279349877
5,51.53499984741211,129.0749969482422,2.50460846668119,-12.968859441654033
6,51.70000076293945,129.63999938964844,2.507543471499895,-13.154765829933211
7,51.67499923706055,129.50999450683594,2.5062408595828924,-13.082202930109446
8,51.84000015258789,130.11000061035156,2.5098379673491644,-13.303112980498014
9,51.52000045776367,132.27000427246094,2.5673525445889016,-16.19832844989959
10,51.83000183105469,133.07000732421875,2.5674320398053303,-16.286091228911047
11,51.63999938964844,133.2949981689453,2.581235471425376,-16.9476201097534
12,51.60499954223633,132.13999938964844,2.5606046034647845,-15.873034847991107
13,51.459999084472656,131.06500244140625,2.5469297468556173,-15.13118211936822
14,51.70000076293945,131.13999938964844,2.5365570107235786,-14.654765829933211
15,52.02000045776367,131.63999938964844,2.530565133241977,-14.419554022641009
16,51.57500076293945,134.1999969482422,2.6020357724294025,-18.001955774638475
17,51.119998931884766,131.10000610351562,2.564554163590669,-15.947349422277568
18,50.43000030517578,129.8300018310547,2.5744596677650593,-16.262643965962425
19,50.25,129.11000061035156,2.5693532459771453,-15.956200482413166
20,50.56999969482422,130.4001007080078,2.5786059223835456,-16.511088772777214
21,50.400001525878906,130.25,2.5843253185839785,-16.751565502961355
22,50.369998931884766,131.0,2.6007544724618916,-17.570497635431053
23,51.56999969482422,134.4199981689453,2.606554178095841,-18.233447144822577
24,51.48500061035156,135.75999450683594,2.6368843915200433,-19.768732201809172
25,51.599998474121094,137.8300018310547,2.671124145481912,-21.57452743887832
26,51.45000076293945,138.49000549316406,2.691739619815932,-22.579156705671878
27,51.619998931884766,137.98500061035156,2.6730918920093325,-21.683574384667423
28,51.3650016784668,138.24000549316406,2.6913267979336397,-22.524445424767848
29,51.31999969482422,138.00999450683594,2.6892048972625906,-22.39782825493623
30,51.66999816894531,136.85000610351562,2.6485390159306252,-20.433704676270096
31,51.06370162963867,136.35000610351562,2.670194321055147,-21.32669467478715
32,51.244998931884766,136.10499572753906,2.6559664077357255,-20.665146660189478
33,51.46500015258789,137.5,2.67171863581712,-21.554689528481006
34,51.42499923706055,138.10000610351562,2.6854644268811354,-22.246599299012175
35,51.310001373291016,138.91000366210938,2.7072695370150153,-23.320808944755512
36,51.52000045776367,137.52999877929688,2.6694487103517126,-21.45832295673553
37,50.79999923706055,136.5500030517578,2.6879922264278178,-22.13255817781196
38,50.29999923706055,136.08999633789062,2.705566568629704,-22.82132100839084
39,50.369998931884766,137.42999267578125,2.728409680167504,-24.000490311212303
40,50.779998779296875,136.97999572753906,2.697518688861925,-22.60850268710098
41,50.97999954223633,137.1999969482422,2.691251435468798,-22.368994337142453
42,51.165000915527344,137.802001953125,2.693286416248366,-22.545951455390437
43,51.47999954223633,138.72000122070312,2.694638742311788,-22.740229065157322
44,53.29999923706055,135.5399932861328,2.542964263156859,-15.378700689956574
45,53.935001373291016,137.36000061035156,2.5467692057642775,-15.739765784655816
46,52.54499816894531,132.97999572753906,2.530783145143047,-14.55334759751291
47,51.630001068115234,132.2100067138672,2.5607205883928437,-15.885600189221122
48,51.34000015258789,131.57000732421875,2.5627192624304405,-15.91188923881127
49,51.63999938964844,131.60569763183594,2.5485224474696087,-15.258319572644027
50,51.25,131.89999389648438,2.573658417492378,-16.448654679653828
51,51.36000061035156,128.61000061035156,2.5040887671724508,-12.90593069143631
52,51.060001373291016,127.45999908447266,2.496278802513815,-12.445189139341835
53,50.849998474121094,128.77999877929688,2.532546757987346,-14.247678703789632
54,50.24250030517578,127.7300033569336,2.5422700419185817,-14.593434071008602
55,49.94499969482422,127.63999938964844,2.5556111756844344,-15.186949384975435
56,50.39500045776367,126.76319885253906,2.5153923544217447,-13.276254504981381
57,50.08000183105469,125.91999816894531,2.5143768683103787,-13.15677547919887
58,50.34000015258789,129.50999450683594,2.5727054849875293,-16.14941551032061
59,51.040000915527344,130.69000244140625,2.5605407542547254,-15.7211443297832
60,51.41999816894531,130.6999969482422,2.5418125554733564,-14.8580802932197
61,51.5,128.44000244140625,2.4939806299302183,-12.414278452352676
62,51.61000061035156,128.25,2.4849835009356025,-11.971545308861707
63,51.81999969482422,130.24459838867188,2.5134040747916235,-13.483662592326098
64,51.54999923706055,130.00999450683594,2.5220173895437927,-13.869395316220974
65,52.84000015258789,130.22999572753906,2.4646100558567263,-11.125569008793363
66,52.52000045776367,131.3300018310547,2.5005712240362534,-12.96078691960119
67,52.7599983215332,132.0800018310547,2.5034117898587613,-13.159382446340075
68,52.650001525878906,132.38999938964844,2.514529830062306,-13.72210194260245
69,53.11869812011719,133.5500030517578,2.5141806515995837,-13.805256858618762
70,53.290000915527344,133.63999938964844,2.5077875228692137,-13.501678328018045
71,53.560001373291016,133.57000732421875,2.493838758391568,-12.811349656857558
72,53.560001373291016,134.83999633789062,2.5175502778297507,-14.081338670529433
73,53.90999984741211,135.7899932861328,2.518827558346789,-14.2272004434258
74,53.970001220703125,136.32000732421875,2.5258477717418657,-14.619358980988409
75,54.290000915527344,138.0399932861328,2.542641203873186,-15.604133135610283
76,54.209999084472656,137.7550048828125,2.5411364547000996,-15.502952066321058
77,53.97999954223633,136.47000122070312,2.5281586213042293,-14.746381342926938
