,t,dis,Ratio,Spread
0,17.756797790527344,147.92999267578125,8.330893577821612,-42.101864927889494
1,17.852041244506836,149.5,8.374392482764508,-43.07035897129572
2,17.842750549316406,149.04420471191406,8.353207892469486,-42.67323938543943
3,17.911630630493164,149.7100067138672,8.358256699364796,-42.90402688634154
4,17.90921401977539,149.02000427246094,8.320856744908667,-42.22928663231467
5,17.911630630493164,149.02000427246094,8.319734107221144,-42.21402444493529
6,17.960725784301758,148.74000549316406,8.281402838585038,-41.6239635479231
7,18.172204971313477,146.94000244140625,8.085975404380743,-38.488356480477506
8,18.072280883789062,145.61000061035156,8.057090388682735,-37.78942863096857
9,18.08912467956543,145.49000549316406,8.042954430930447,-37.56305594728752
10,18.145771026611328,145.38499450683594,8.012059354966201,-37.10029302490551
11,18.281721115112305,146.02000427246094,7.987213203452477,-36.876705371556355
12,18.232627868652344,146.27000427246094,8.022431287809331,-37.43675544334636
13,18.27794647216797,146.47000122070312,8.013482337511745,-37.350541206005175
14,18.67069435119629,149.99000549316406,8.033445498696931,-38.39013285822081
15,18.636707305908203,150.52000427246094,8.076534218292045,-39.13477798077989
16,18.674470901489258,151.19500732421875,8.096347581775996,-39.57128375714355
17,18.629154205322266,150.66000366210938,8.087323879635205,-39.322479234692224
18,18.53474235534668,150.50999450683594,8.120425502619335,-39.76873133679216
19,18.5372371673584,150.72999572753906,8.131200694403073,-39.9729764871778
20,18.474319458007812,151.0500030517578,8.176214739335592,-40.69034274989987
21,18.450830459594727,151.39999389648438,8.205592383932721,-41.188679164931955
22,18.587614059448242,151.86500549316406,8.170225883077759,-40.789829273273014
23,18.598941802978516,151.63999938964844,8.153151990903275,-40.49328241928687
24,18.602718353271484,151.831298828125,8.161780227212,-40.66073092563148
25,18.655590057373047,151.4990997314453,8.12084202459037,-39.99461877910453
26,18.704002380371094,151.61500549316406,8.106019364725721,-39.80477486437222
27,18.712236404418945,151.8800048828125,8.116614262469751,-40.01777199441783
28,18.83308219909668,152.60000610351562,8.102763238129711,-39.974567478749265
29,18.83685874938965,153.30999755859375,8.138830343119778,-40.66070800169544
30,18.8034725189209,153.57000732421875,8.167108876814627,-41.13156964410712
31,18.787763595581055,154.03579711914062,8.19872979215953,-41.69656967995763
32,18.80453109741211,153.8699951171875,8.182602071814658,-41.42487194852373
33,18.825529098510742,153.88999938964844,8.174537808970396,-41.31226262914598
34,18.783912658691406,153.6199951171875,8.178274564437286,-41.30508840122391
35,18.82930564880371,153.55520629882812,8.155117834022946,-40.953618606193714
36,18.876434326171875,153.6649932861328,8.140573088693914,-40.765762824787146
37,18.81110191345215,152.9499969482422,8.13083665443676,-40.463375566853884
38,18.757553100585938,152.65499877929688,8.13832155829154,-40.50656675124415
39,18.795316696166992,152.77000427246094,8.128088860754124,-40.38307496901405
40,18.72356414794922,152.47149658203125,8.143294480539987,-40.537722943166045
41,18.723037719726562,152.8300018310547,8.162671256600271,-40.89955286757757
42,18.920089721679688,156.1123046875,8.25113976645776,-42.937367087449275
43,18.867597579956055,155.06739807128906,8.218714513819425,-42.22397638194708
44,18.795316696166992,154.72999572753906,8.232369702985308,-42.34306642409217
45,18.78255271911621,155.5800018310547,8.283219227848136,-43.27368385984366
46,18.744335174560547,155.25999450683594,8.28303554438953,-43.19504074124502
47,18.71978759765625,155.20199584960938,8.29079897621493,-43.29207314287612
48,18.761329650878906,155.2100067138672,8.27286816031166,-43.03772375368251
49,18.69713020324707,155.11000061035156,8.295925573830262,-43.343171450484675
50,18.651813507080078,155.57000732421875,8.340744306990075,-44.089377304009915
51,18.667221069335938,154.9532012939453,8.300817819556555,-43.37526428900826
52,18.61284065246582,154.82000732421875,8.317913972132366,-43.585511696056415
53,18.621601104736328,155.2386932373047,8.336484728900157,-43.94887067415142
54,18.651208877563477,154.9499969482422,8.307772325398153,-43.473185486359526
55,18.613595962524414,154.88999938964844,8.32133671008522,-43.65073357505972
56,18.738670349121094,156.7899932861328,8.367188832770452,-44.76081591873982
57,18.70090675354004,156.33999633789062,8.360022238402735,-44.54931624589179
58,18.674470901489258,156.1699981689453,8.36275356837505,-44.54627460187011
59,18.704153060913086,156.27000427246094,8.354829206302071,-44.458822015568884
60,18.71978759765625,156.5,8.360137591496715,-44.590077293266745
61,18.718730926513672,156.32000732421875,8.350993875487747,-44.416758060112315
62,18.72635841369629,155.92999267578125,8.32676536628368,-43.978571756323475
63,18.56117820739746,155.91000366210938,8.399790246072431,-45.00178396714196
64,18.625377655029297,155.6999969482422,8.359561874773554,-44.38632345295699
65,18.610271453857422,155.55099487304688,8.358340997804481,-44.33272510628946
66,18.61782455444336,155.77000427246094,8.366713512470211,-44.50403264143962
67,18.66314125061035,155.9499969482422,8.356042257524148,-44.39782617756282
68,18.648263931274414,155.65499877929688,8.346889520276083,-44.19678622610701
69,18.580060958862305,154.91000366210938,8.337432476948926,-43.882529306482226
70,19.131420135498047,157.3300018310547,8.22364470158341,-42.82039979749108
71,19.104984283447266,156.19000244140625,8.175353621030231,-41.847356932766274
72,19.142749786376953,155.71499633789062,8.134411099533155,-41.133841507931166
73,19.219560623168945,156.1199951171875,8.12297420207342,-41.053738828699935
74,19.214502334594727,156.65989685058594,8.15321126316802,-41.625586356044806
75,19.271148681640625,157.09559631347656,8.151854303482153,-41.70353388288153
76,19.20694923400879,156.75169372558594,8.161196857230898,-41.76508509530869
77,19.44486427307129,158.16000366210938,8.13376742779024,-41.67083449122072
78,19.452417373657227,157.25,8.083828193659388,-40.71312896484744
79,19.4675235748291,157.69000244140625,8.100157261157474,-41.05772767772591
